Date,Open_RCL,High_RCL,Low_RCL,Close_RCL,Volume_RCL,AdjClose_RCL
2015-06-05,77.510002,79.110001,77.239998,78.769997,1523400,77.382307
2015-06-08,78.599998,78.919998,78.010002,78.190002,1567300,76.81253
2015-06-09,77.470001,77.739998,76.610001,77.620003,1772800,76.252572
2015-06-10,77.110001,77.989998,76.339996,76.629997,2543200,75.280008
2015-06-11,77.080002,77.720001,76.75,77.629997,1605500,76.262391
2015-06-12,77.099998,77.489998,76.650002,76.800003,1149000,75.447018
2015-06-15,75.919998,76.830002,75.510002,76.639999,1445800,75.289833
2015-06-16,76.379997,77.220001,76.230003,77.050003,1154600,75.692614
2015-06-17,77.029999,77.379997,76.550003,77.019997,1769400,75.663136
2015-06-18,77.220001,79.860001,77.220001,79.620003,2053100,78.217338
2015-06-19,79.209999,80.199997,79.18,79.800003,3920600,78.394167
2015-06-22,81.029999,81.82,80.300003,81.379997,2075800,79.946327
2015-06-23,81.480003,81.739998,79.790001,80.5,1883000,79.081833
2015-06-24,80.949997,81.599998,79.900002,79.93,2182400,78.521875
2015-06-25,80.57,80.949997,79.769997,79.949997,1492100,78.541519
2015-06-26,80.290001,80.919998,79.730003,79.800003,1352400,78.394167
2015-06-29,78.959999,79.470001,76.809998,76.910004,1699800,75.555081
2015-06-30,77.870003,79.269997,77.610001,78.690002,2202200,77.303722
2015-07-01,79.959999,80.470001,78.220001,79.0,2196100,77.608258
2015-07-02,79.220001,80.0,78.099998,78.779999,1323600,77.392133
2015-07-06,78.25,79.709999,77.910004,78.400002,1814800,77.01883
2015-07-07,78.440002,80.099998,77.739998,80.0,2196600,78.590641
2015-07-08,78.860001,79.440002,78.330002,78.470001,1879100,77.087596
2015-07-09,79.669998,79.900002,78.370003,78.510002,1057000,77.126892
2015-07-10,79.709999,82.68,79.599998,82.410004,2411700,80.958188
2015-07-13,83.160004,83.5,82.209999,83.139999,1840500,81.675323
2015-07-14,83.190002,84.220001,82.970001,83.620003,1295700,82.14687
2015-07-15,83.410004,84.400002,83.029999,83.589996,1505400,82.117392
