Date,Open_PDCO,High_PDCO,Low_PDCO,Close_PDCO,Volume_PDCO,AdjClose_PDCO
2015-06-05,48.049999,48.049999,47.52,47.82,749900,46.887706
2015-06-08,47.919998,48.41,47.75,48.009998,551400,47.074
2015-06-09,47.91,48.169998,47.740002,47.82,712000,46.887706
2015-06-10,47.830002,48.349998,47.830002,48.23,509800,47.289712
2015-06-11,48.400002,48.77,48.09,48.599998,596000,47.652498
2015-06-12,48.349998,48.689999,48.349998,48.389999,522600,47.446593
2015-06-15,48.119999,48.119999,47.720001,47.880001,743600,46.946537
2015-06-16,48.0,48.43,47.880001,48.419998,685500,47.476007
2015-06-17,48.5,49.009998,48.41,48.91,797100,47.956455
2015-06-18,49.049999,49.619999,49.049999,49.369999,869800,48.407486
2015-06-19,49.349998,49.459999,49.139999,49.27,849500,48.309437
2015-06-22,49.639999,49.779999,49.380001,49.549999,416200,48.583977
2015-06-23,49.599998,49.720001,49.200001,49.27,761600,48.309437
2015-06-24,49.27,49.349998,48.700001,48.720001,620300,47.770161
2015-06-25,48.830002,49.02,48.41,48.68,1268600,47.73094
2015-06-26,48.650002,48.889999,48.5,48.810001,1379600,47.858406
2015-06-29,48.650002,49.009998,48.040001,48.139999,1180100,47.201467
2015-06-30,48.599998,48.889999,48.310001,48.650002,1245500,47.701526
2015-07-01,50.0,50.939999,48.91,49.27,1790700,48.309437
2015-07-02,49.220001,49.400002,48.779999,48.950001,878400,47.995676
2015-07-06,48.700001,49.16,48.459999,49.139999,1070400,48.181971
2015-07-07,49.360001,49.59,48.57,49.580002,808600,48.613395
2015-07-08,49.259998,49.459999,48.549999,48.59,792400,47.642694
2015-07-09,49.02,49.02,48.610001,48.73,635500,47.779964
2015-07-10,49.18,49.549999,48.889999,49.189999,698100,48.230995
2015-07-13,49.400002,49.610001,48.860001,49.139999,1155800,48.181971
2015-07-14,49.16,49.360001,48.93,49.040001,977500,48.083922
2015-07-15,49.130001,49.279999,48.669998,48.740002,888800,48.005129
2015-07-16,49.119999,49.240002,48.799999,49.23,1581400,48.487739
2015-07-17,49.259998,49.299999,49.0,49.110001,618500,48.369549
2015-07-20,49.18,49.23,48.900002,48.98,346000,48.241508
2015-07-21,48.970001,49.200001,48.77,49.02,810200,48.280906
