Date,Open_VZ,High_VZ,Low_VZ,Close_VZ,Volume_VZ,AdjClose_VZ
2015-06-05,47.959999,47.970001,47.110001,47.23,23574500,45.046215
2015-06-08,47.25,47.779999,47.049999,47.439999,16598600,45.246504
2015-06-09,47.470001,47.619999,47.169998,47.34,12295100,45.15113
2015-06-10,47.560001,47.68,47.360001,47.470001,13007300,45.27512
2015-06-11,47.610001,47.880001,47.52,47.759998,10029700,45.551708
2015-06-12,47.75,47.75,47.209999,47.25,10619100,45.065291
2015-06-15,47.139999,47.220001,46.93,47.0,10875800,44.82685
2015-06-16,46.990002,47.490002,46.91,47.419998,10862000,45.227429
2015-06-17,47.5,47.509998,46.900002,47.27,18216400,45.084367
2015-06-18,47.419998,47.919998,47.389999,47.77,14527300,45.561248
2015-06-19,47.650002,47.709999,47.369999,47.459999,26861700,45.26558
2015-06-22,47.630001,47.779999,47.41,47.529999,9191900,45.332343
2015-06-23,47.860001,48.110001,47.709999,47.77,14411400,45.561248
2015-06-24,47.599998,47.790001,47.290001,47.290001,17742300,45.103442
2015-06-25,47.630001,47.919998,47.43,47.439999,14445400,45.246504
2015-06-26,47.59,48.490002,47.380001,47.619999,18492800,45.418182
2015-06-29,47.279999,47.720001,46.75,46.77,15032400,44.607485
2015-06-30,47.139999,47.25,46.599998,46.610001,15044100,44.454883
2015-07-01,46.639999,47.110001,46.57,47.0,12545900,44.82685
2015-07-02,47.23,47.380001,47.110001,47.200001,9872400,45.017603
2015-07-06,47.060001,47.139999,46.799999,47.040001,12051700,44.865002
2015-07-07,47.220001,47.450001,46.830002,47.25,18025800,45.065291
2015-07-08,46.580002,46.830002,46.299999,46.580002,17859600,44.949495
2015-07-09,47.009998,47.16,46.23,46.259998,16304500,44.640693
2015-07-10,46.84,47.330002,46.720001,47.0,14727100,45.354791
2015-07-13,47.380001,47.419998,46.950001,47.200001,10184400,45.547791
2015-07-14,47.189999,47.439999,47.049999,47.41,9973600,45.750439
2015-07-15,47.48,47.5,47.040001,47.330002,9624000,45.673242
2015-07-16,47.48,47.860001,47.450001,47.830002,11011400,46.15574
2015-07-17,47.779999,47.950001,47.5,47.59,10160400,45.924139
2015-07-20,47.630001,48.259998,47.419998,48.099998,17246700,46.416285
2015-07-21,46.98,47.349998,46.57,46.970001,31961600,45.325843
2015-07-22,46.790001,46.84,46.110001,46.450001,21026600,44.824045
2015-07-23,46.459999,46.619999,46.169998,46.349998,13698200,44.727543
2015-07-24,46.439999,46.48,45.959999,46.040001,19528700,44.428397
2015-07-27,45.939999,46.25,45.709999,45.830002,15747800,44.225748
2015-07-28,45.990002,46.040001,45.66,45.889999,16150900,44.283646
2015-07-29,46.0,46.900002,45.970001,46.560001,15968700,44.930195
2015-07-30,46.66,46.799999,46.41,46.669998,9592300,45.036341
2015-07-31,46.849998,47.169998,46.709999,46.790001,12562900,45.152143
2015-08-03,47.18,47.200001,46.599998,46.970001,10321300,45.325843
2015-08-04,47.02,47.080002,46.560001,46.669998,9371900,45.036341
2015-08-05,46.900002,47.150002,46.599998,46.639999,11946100,45.007392
2015-08-06,46.59,46.700001,46.290001,46.630001,9917200,44.997744
2015-08-07,46.57,46.75,46.169998,46.360001,10538000,44.737195
2015-08-10,46.52,47.34,46.52,47.23,13529500,45.57674
2015-08-11,47.540001,48.209999,47.48,47.599998,18511000,45.933787
2015-08-12,47.299999,47.889999,47.099998,47.849998,15939800,46.175036
2015-08-13,47.77,47.939999,47.490002,47.66,11168500,45.991688
2015-08-14,47.619999,47.630001,47.43,47.490002,8769500,45.827641
2015-08-17,47.279999,47.619999,47.200001,47.52,7784300,45.85659
2015-08-18,47.560001,47.689999,47.330002,47.459999,8581400,45.798689
2015-08-19,47.389999,47.700001,47.080002,47.439999,12578000,45.779388
2015-08-20,47.049999,47.389999,46.880001,46.880001,13785900,45.238993
2015-08-21,46.450001,46.849998,46.099998,46.099998,21305300,44.486294
2015-08-24,44.349998,45.869999,38.060001,44.740002,36096800,43.173903
2015-08-25,45.759998,45.759998,43.5,43.5,27851500,41.977307
2015-08-26,44.380001,45.310001,44.0,45.16,30856900,43.579199
2015-08-27,45.779999,46.290001,45.169998,46.189999,21488000,44.573144
2015-08-28,46.060001,46.16,45.650002,46.07,12783900,44.457345
2015-08-31,45.950001,46.099998,45.610001,46.009998,14785800,44.399444
