Date,Open_MPC,High_MPC,Low_MPC,Close_MPC,Volume_MPC,AdjClose_MPC
2015-06-05,100.150002,101.5,99.959999,100.919998,5814000,48.908187
2015-06-08,100.809998,102.150002,100.279999,100.459999,3041800,48.685261
2015-06-09,100.790001,101.239998,99.309998,99.330002,4973800,48.137638
2015-06-10,99.82,102.239998,99.82,101.790001,2399800,49.329811
2015-06-11,51.200001,52.450001,50.919998,52.029999,4141700,50.429904
2015-06-12,51.689999,51.689999,50.400002,51.029999,4201700,49.460657
2015-06-15,50.619999,51.200001,50.5,51.060001,3648800,49.489737
2015-06-16,50.93,51.400002,50.470001,51.189999,3049600,49.615736
2015-06-17,51.599998,52.450001,50.610001,51.299999,4327200,49.722354
2015-06-18,51.549999,52.509998,51.369999,51.939999,3742900,50.342672
2015-06-19,51.799999,52.779999,51.740002,51.900002,4295600,50.303904
2015-06-22,52.16,52.209999,51.540001,51.889999,2555400,50.29421
2015-06-23,51.959999,52.490002,51.689999,52.189999,4048400,50.584983
2015-06-24,52.080002,52.599998,51.66,51.68,3531400,50.090669
2015-06-25,51.779999,52.029999,51.029999,51.439999,2812700,49.858048
2015-06-26,51.23,52.27,51.169998,51.970001,9232200,50.371751
2015-06-29,51.189999,51.919998,50.799999,50.849998,2832500,49.286192
2015-06-30,51.349998,52.869999,51.32,52.310001,3946700,50.701295
2015-07-01,52.779999,54.360001,52.41,53.77,7556800,52.116395
2015-07-02,53.880001,54.740002,53.799999,54.009998,3549800,52.349012
2015-07-06,53.439999,55.32,53.419998,54.759998,4622000,53.075947
2015-07-07,54.939999,55.900002,53.900002,55.540001,6941600,53.831962
2015-07-08,55.400002,55.529999,53.799999,53.970001,3632800,52.310245
2015-07-09,54.68,54.709999,53.23,53.380001,5963200,51.738389
2015-07-10,53.869999,54.66,53.810001,54.490002,4473800,52.814254
2015-07-13,59.330002,60.380001,58.299999,58.779999,14320800,56.972319
2015-07-14,58.93,59.509998,58.220001,58.790001,7000600,56.982014
2015-07-15,58.48,58.889999,57.25,57.509998,5316100,55.741375
2015-07-16,57.990002,58.59,57.619999,58.48,5930000,56.681546
2015-07-17,58.220001,58.610001,57.5,58.580002,4507200,56.778473
2015-07-20,58.610001,59.049999,57.43,57.529999,4103500,55.760761
2015-07-21,57.509998,58.150002,56.709999,57.150002,3330400,55.39245
2015-07-22,57.150002,57.990002,56.77,57.07,4207300,55.314908
2015-07-23,57.09,57.490002,56.189999,56.330002,4170000,54.597668
2015-07-24,56.490002,56.790001,55.509998,56.32,5449000,54.587973
2015-07-27,55.290001,55.639999,54.07,54.459999,8150900,52.785174
2015-07-28,54.5,54.93,53.790001,54.509998,6126100,52.833635
2015-07-29,54.700001,55.939999,54.23,55.810001,6782300,54.093659
2015-07-30,53.259998,54.630001,52.75,53.939999,8237400,52.281165
2015-07-31,54.0,55.139999,53.830002,54.669998,6042900,52.988715
2015-08-03,54.73,55.189999,53.099998,53.200001,6816000,51.563924
2015-08-04,53.27,53.549999,51.919998,52.189999,6719300,50.584983
2015-08-05,52.529999,53.200001,51.59,51.68,6923700,50.090669
2015-08-06,51.810001,52.34,51.099998,52.150002,6241700,50.546216
2015-08-07,51.740002,52.419998,51.110001,51.169998,5200100,49.596351
2015-08-10,52.209999,53.57,51.650002,53.259998,4898000,51.622077
2015-08-11,52.369999,55.919998,52.259998,55.860001,7974900,54.14212
2015-08-12,55.639999,58.07,54.889999,57.799999,8110900,56.022458
2015-08-13,57.540001,58.27,56.610001,56.990002,4881400,55.23737
2015-08-14,56.75,57.119999,55.189999,55.66,4516400,53.94827
2015-08-17,55.060001,56.299999,54.77,55.869999,2646400,54.464938
2015-08-18,55.560001,55.889999,54.830002,55.48,2965600,54.084747
2015-08-19,55.389999,55.560001,53.75,54.5,4168400,53.129393
2015-08-20,54.189999,54.810001,53.25,53.290001,4835700,51.949824
2015-08-21,51.860001,52.080002,48.380001,48.380001,12564700,47.163305
2015-08-24,44.5,46.419998,43.529999,45.82,13158000,44.667684
2015-08-25,47.48,47.73,43.700001,43.77,8947400,42.66924
2015-08-26,45.09,45.599998,43.419998,45.52,10292600,44.375229
2015-08-27,46.349998,47.220001,45.290001,46.669998,7755100,45.496306
2015-08-28,46.720001,47.77,46.720001,47.220001,7196700,46.032477
2015-08-31,47.27,48.09,46.43,47.310001,7783900,46.120214
2015-09-01,46.200001,46.91,45.689999,46.060001,6551700,44.90165
2015-09-02,46.68,46.869999,45.389999,46.810001,4970500,45.632788
2015-09-03,47.02,47.970001,46.720001,46.98,5438000,45.798511
2015-09-04,46.240002,46.950001,46.110001,46.34,3597200,45.174607
2015-09-08,46.619999,47.82,46.59,47.720001,4154200,46.519903
2015-09-09,48.049999,48.959999,47.360001,47.450001,5960300,46.256693
2015-09-10,47.580002,48.610001,47.220001,48.16,5334600,46.948836
2015-09-11,47.669998,47.919998,46.810001,47.869999,3643800,46.666128
2015-09-14,47.709999,47.740002,46.369999,46.52,4081000,45.350081
2015-09-15,46.59,47.389999,46.200001,47.25,3755400,46.061722
2015-09-16,47.34,47.459999,45.709999,46.669998,7669200,45.496306
2015-09-17,46.509998,47.84,45.98,46.830002,5194200,45.652286
