Date,Open_NOC,High_NOC,Low_NOC,Close_NOC,Volume_NOC,AdjClose_NOC
2015-06-05,157.470001,157.779999,156.509995,157.289993,928700,154.550518
2015-06-08,157.029999,157.649994,156.490005,156.660004,942700,153.931501
2015-06-09,156.940002,157.779999,156.179993,157.220001,938000,154.481745
2015-06-10,157.839996,159.110001,156.440002,158.559998,1271400,155.798403
2015-06-11,158.820007,161.050003,158.770004,160.770004,923900,157.969919
2015-06-12,159.610001,161.360001,159.100006,161.059998,1027400,158.254861
2015-06-15,159.669998,160.550003,159.0,159.960007,924100,157.174029
2015-06-16,159.039993,163.5,159.039993,161.490005,871700,158.67738
2015-06-17,162.0,163.380005,161.119995,162.869995,831400,160.033335
2015-06-18,163.279999,165.919998,163.220001,165.160004,1150100,162.283459
2015-06-19,164.5,165.970001,164.5,165.050003,1943500,162.175374
2015-06-22,165.789993,166.550003,165.350006,165.470001,960400,162.588057
2015-06-23,165.660004,166.210007,163.729996,164.369995,1249800,161.50721
2015-06-24,164.240005,164.679993,162.889999,163.210007,869100,160.367424
2015-06-25,163.619995,164.100006,162.009995,162.130005,891000,159.306233
2015-06-26,162.419998,162.839996,161.449997,161.770004,2037500,158.952502
2015-06-29,160.800003,161.580002,158.639999,158.679993,1055400,155.916308
2015-06-30,159.990005,160.240005,158.160004,158.630005,900600,155.867191
2015-07-01,159.639999,160.509995,159.039993,160.100006,734400,157.31159
2015-07-02,160.660004,161.229996,158.419998,159.5,975900,156.722034
2015-07-06,158.350006,159.589996,158.100006,159.25,967300,156.476388
2015-07-07,159.830002,161.509995,158.130005,161.389999,986300,158.579116
2015-07-08,160.220001,161.75,160.179993,160.660004,888500,157.861834
2015-07-09,163.009995,164.0,162.550003,162.690002,1228800,159.856477
2015-07-10,164.300003,165.949997,163.679993,165.369995,1167100,162.489793
2015-07-13,167.020004,167.619995,166.0,167.300003,942900,164.386186
2015-07-14,167.160004,168.820007,167.039993,168.490005,1169800,165.555463
2015-07-15,168.210007,169.050003,167.740005,168.589996,991000,165.653712
2015-07-16,169.320007,170.070007,168.470001,169.860001,876600,166.901597
2015-07-17,169.210007,169.970001,168.309998,168.990005,792100,166.046755
2015-07-20,169.539993,170.350006,168.979996,169.830002,877700,166.872121
2015-07-21,169.110001,169.470001,165.979996,166.770004,833800,163.865419
2015-07-22,166.75,167.240005,165.75,166.279999,905400,163.383947
2015-07-23,166.610001,167.589996,165.139999,165.5,1222600,162.617534
2015-07-24,165.589996,165.979996,164.190002,164.800003,665500,161.929728
2015-07-27,163.919998,164.25,162.160004,162.559998,970500,159.728736
2015-07-28,163.410004,164.580002,162.0,163.339996,1584000,160.49515
2015-07-29,170.600006,176.5,167.179993,173.440002,3107200,170.419247
2015-07-30,172.860001,176.020004,172.360001,175.410004,1656800,172.354938
2015-07-31,175.850006,175.850006,172.729996,173.009995,1742300,169.996729
2015-08-03,172.850006,173.360001,170.669998,172.160004,1346300,169.161542
2015-08-04,172.600006,173.210007,171.580002,172.119995,1392300,169.12223
2015-08-05,173.050003,174.520004,172.910004,173.679993,1120900,170.655058
2015-08-06,173.940002,174.110001,171.699997,172.869995,875200,169.859168
2015-08-07,172.720001,173.320007,171.029999,172.649994,872300,169.642998
2015-08-10,174.139999,175.839996,173.740005,175.25,828300,172.197721
2015-08-11,173.270004,173.699997,172.169998,173.270004,767200,170.25221
2015-08-12,171.979996,172.300003,169.610001,171.559998,1152800,168.571986
2015-08-13,172.089996,173.619995,172.0,172.860001,626000,169.849347
2015-08-14,173.029999,174.350006,172.259995,174.179993,718200,171.146349
2015-08-17,173.600006,174.869995,172.350006,174.710007,685700,171.667132
2015-08-18,174.429993,175.779999,174.339996,175.5,727100,172.443366
