Date,Open_OXY,High_OXY,Low_OXY,Close_OXY,Volume_OXY,AdjClose_OXY
2015-06-05,76.919998,79.559998,76.900002,79.089996,5369600,75.840711
2015-06-08,78.010002,78.160004,77.089996,77.230003,4815500,74.766128
2015-06-09,77.830002,78.18,77.400002,77.480003,4066900,75.008152
2015-06-10,78.559998,78.93,78.18,78.830002,4643600,76.315081
2015-06-11,78.790001,79.400002,78.540001,78.889999,3355600,76.373165
2015-06-12,78.550003,78.610001,77.349998,77.779999,3671300,75.298577
2015-06-15,77.239998,78.099998,77.110001,77.449997,3037100,74.979103
2015-06-16,77.169998,78.760002,77.169998,78.510002,3747300,76.005291
2015-06-17,79.220001,79.510002,77.860001,78.800003,4163800,76.28604
2015-06-18,79.050003,79.360001,78.5,79.099998,4335100,76.576464
2015-06-19,78.720001,79.480003,77.940002,77.970001,5622200,75.482517
2015-06-22,78.110001,79.0,77.839996,78.790001,3588700,76.276357
2015-06-23,79.0,79.43,78.529999,79.400002,4640600,76.866896
2015-06-24,79.220001,79.75,78.760002,79.32,3859700,76.789447
2015-06-25,79.0,79.330002,78.349998,78.529999,4244400,76.024649
2015-06-26,78.300003,79.269997,77.400002,79.209999,5961600,76.682956
2015-06-29,78.019997,78.110001,77.099998,77.370003,4893600,74.901661
2015-06-30,78.18,78.279999,77.389999,77.769997,4075200,75.288894
2015-07-01,77.529999,77.760002,75.57,75.949997,4242700,73.526958
2015-07-02,76.410004,76.889999,75.709999,75.730003,3007400,73.313982
2015-07-06,74.519997,74.690002,73.699997,73.900002,4217400,71.542363
2015-07-07,73.639999,74.550003,72.68,74.199997,4817400,71.832788
2015-07-08,73.690002,74.139999,72.129997,72.540001,3446600,70.225751
2015-07-09,73.720001,74.25,73.089996,73.120003,3554500,70.787249
2015-07-10,73.669998,74.18,73.110001,73.309998,3371600,70.971182
2015-07-13,73.470001,73.550003,72.790001,73.449997,3107700,71.106715
2015-07-14,73.25,74.379997,73.190002,74.279999,3365200,71.910237
2015-07-15,73.879997,74.230003,72.440002,73.089996,4156200,70.7582
2015-07-16,73.220001,73.440002,72.410004,72.5,4419900,70.187026
2015-07-17,72.190002,72.279999,71.709999,71.919998,4105200,69.625528
2015-07-20,71.699997,71.919998,69.830002,70.260002,5401500,68.018491
2015-07-21,70.379997,71.089996,70.0,70.220001,4009000,67.979766
2015-07-22,70.010002,70.400002,69.330002,69.470001,4960400,67.253694
2015-07-23,69.440002,69.790001,68.900002,69.690002,3708000,67.466676
2015-07-24,69.459999,69.639999,67.860001,68.419998,4835800,66.237189
2015-07-27,67.830002,68.290001,67.300003,67.760002,6065600,65.598249
2015-07-28,67.949997,69.849998,67.510002,69.620003,5107900,67.39891
2015-07-29,69.5,70.959999,69.209999,70.860001,5591700,68.599348
2015-07-30,70.730003,71.699997,69.639999,71.400002,4943600,69.122121
2015-07-31,71.25,71.370003,69.919998,70.199997,4917100,67.9604
2015-08-03,69.470001,70.0,68.690002,69.400002,3998900,67.185927
2015-08-04,69.709999,70.550003,68.669998,69.029999,3649700,66.827729
2015-08-05,69.760002,70.389999,68.480003,68.660004,3938600,66.469538
2015-08-06,68.370003,69.639999,67.800003,69.419998,5514100,67.205286
