Date,Open_STI,High_STI,Low_STI,Close_STI,Volume_STI,AdjClose_STI
2015-06-05,43.0,43.490002,42.82,43.02,2927000,41.987059
2015-06-08,43.110001,43.540001,42.810001,42.84,3213900,41.811381
2015-06-09,42.93,43.529999,42.790001,43.41,2855600,42.367695
2015-06-10,43.639999,44.299999,43.529999,44.009998,2985000,42.953287
2015-06-11,44.049999,44.150002,43.740002,43.869999,2261800,42.816649
2015-06-12,43.779999,43.91,43.419998,43.740002,1982400,42.689773
2015-06-15,43.369999,44.169998,43.080002,43.919998,3333800,42.865447
2015-06-16,43.790001,44.439999,43.709999,44.299999,2738400,43.236324
2015-06-17,44.459999,44.580002,43.779999,43.889999,3399200,42.836169
2015-06-18,43.900002,44.16,43.419998,43.869999,4423500,42.816649
2015-06-19,43.720001,43.889999,43.529999,43.59,3200400,42.543373
2015-06-22,44.049999,44.200001,43.880001,44.16,2380800,43.099687
2015-06-23,44.529999,44.689999,44.27,44.5,2899300,43.431523
2015-06-24,44.369999,44.59,44.049999,44.130001,3131600,43.070408
2015-06-25,44.290001,44.470001,43.779999,43.810001,2611200,42.758092
2015-06-26,44.009998,44.240002,43.790001,43.869999,2752500,42.816649
2015-06-29,43.049999,43.450001,42.610001,42.630001,3605000,41.606424
2015-06-30,43.220001,43.66,42.75,43.02,3512800,41.987059
2015-07-01,43.709999,43.889999,43.52,43.810001,2669900,42.758092
2015-07-02,43.439999,43.830002,43.259998,43.540001,3099500,42.494574
2015-07-06,42.869999,43.610001,42.869999,43.5,3935800,42.455534
2015-07-07,43.450001,43.529999,42.32,43.060001,4312700,42.0261
2015-07-08,42.57,42.77,42.32,42.439999,3234200,41.420984
2015-07-09,43.060001,43.43,42.990002,43.209999,3850400,42.172496
2015-07-10,43.959999,44.110001,43.330002,43.869999,3608700,42.816649
2015-07-13,44.330002,44.509998,44.0,44.330002,3920900,43.265607
2015-07-14,44.060001,44.779999,43.91,44.759998,3972500,43.685279
2015-07-15,44.93,45.509998,44.669998,45.259998,4019400,44.173273
2015-07-16,45.459999,45.529999,45.060001,45.349998,4454200,44.261112
2015-07-17,45.779999,45.84,44.299999,44.75,3820000,43.67552
2015-07-20,44.77,44.939999,44.549999,44.66,4193900,43.587681
2015-07-21,44.75,45.32,44.639999,44.779999,3856900,43.704799
2015-07-22,44.740002,45.139999,44.369999,44.700001,5172900,43.626722
2015-07-23,44.639999,45.040001,44.080002,44.34,3594800,43.275365
2015-07-24,44.27,44.650002,44.080002,44.310001,3390900,43.246086
2015-07-27,43.98,44.200001,43.75,43.919998,3274700,42.865447
2015-07-28,44.279999,44.380001,43.75,44.189999,3143100,43.128965
2015-07-29,44.279999,44.549999,44.07,44.48,2640900,43.412003
2015-07-30,44.34,44.779999,44.310001,44.689999,1897200,43.61696
2015-07-31,44.639999,44.720001,44.279999,44.34,2393000,43.275365
2015-08-03,44.349998,44.59,43.709999,44.009998,3661300,42.953287
2015-08-04,44.220001,44.669998,44.09,44.150002,3590300,43.089928
2015-08-05,44.439999,45.02,44.380001,44.639999,2270300,43.568161
2015-08-06,44.720001,44.900002,44.240002,44.419998,2075700,43.353442
2015-08-07,44.450001,44.75,43.689999,43.869999,2656000,42.816649
2015-08-10,44.16,44.700001,44.119999,44.689999,2722100,43.61696
2015-08-11,44.200001,44.349998,43.73,43.990002,2298100,42.93377
2015-08-12,43.599998,43.669998,42.32,42.950001,4864800,41.91874
2015-08-13,42.990002,43.389999,42.830002,43.369999,3240000,42.328654
2015-08-14,43.369999,44.18,43.279999,44.139999,3023700,43.080166
2015-08-17,43.799999,44.509998,43.669998,44.16,2981300,43.099687
2015-08-18,44.25,44.490002,44.040001,44.259998,2272600,43.197284
2015-08-19,44.07,44.200001,43.610001,43.830002,3993200,42.777612
2015-08-20,43.27,43.490002,42.380001,42.380001,3669200,41.362427
2015-08-21,41.880001,42.029999,40.700001,40.73,6065200,39.752043
2015-08-24,37.950001,39.709999,37.470001,38.310001,8193400,37.390151
2015-08-25,39.540001,39.599998,37.610001,37.639999,6532100,36.736236
2015-08-26,38.700001,39.080002,37.799999,39.029999,4969700,38.09286
2015-08-27,39.220001,40.5,39.220001,40.459999,6257200,39.732847
2015-08-28,40.16,40.630001,40.09,40.509998,4069300,39.781948
2015-08-31,40.23,40.540001,40.07,40.369999,3338300,39.644465
2015-09-01,39.310001,39.509998,38.189999,38.470001,4311000,37.778614
2015-09-02,39.150002,39.200001,38.25,38.950001,3932200,38.249987
2015-09-03,39.139999,39.77,38.950001,39.330002,4299600,38.623159
2015-09-04,38.77,39.029999,38.529999,38.810001,4439600,38.112504
2015-09-08,39.66,39.939999,39.369999,39.919998,3396200,39.202552
2015-09-09,40.459999,40.68,39.349998,39.419998,4263800,38.711538
2015-09-10,39.23,39.900002,39.110001,39.650002,3631100,38.937407
2015-09-11,39.400002,39.57,39.119999,39.509998,3307200,38.79992
2015-09-14,39.450001,39.84,39.220001,39.599998,3823000,38.888303
2015-09-15,39.810001,40.209999,39.68,40.119999,4297700,39.398958
2015-09-16,40.18,40.5,39.490002,40.060001,3506400,39.340039
2015-09-17,39.970001,40.34,38.860001,39.049999,4967200,38.348188
2015-09-18,38.419998,38.580002,37.700001,37.790001,6034900,37.110835
2015-09-21,38.150002,38.529999,38.040001,38.32,4731600,37.631308
