Date,Open_TAP,High_TAP,Low_TAP,Close_TAP,Volume_TAP,AdjClose_TAP
2015-06-05,74.709999,75.120003,71.620003,72.610001,5433600,71.232095
2015-06-08,72.639999,73.959999,72.230003,72.839996,1812500,71.457726
2015-06-09,72.949997,73.120003,71.989998,72.459999,1424000,71.08494
2015-06-10,72.809998,73.129997,72.5,72.650002,1118700,71.271336
2015-06-11,72.809998,72.839996,72.43,72.720001,912300,71.340008
2015-06-12,72.5,72.830002,72.349998,72.769997,909500,71.389054
2015-06-15,72.410004,72.650002,71.279999,71.400002,2043400,70.045057
2015-06-16,71.459999,72.720001,70.900002,72.510002,1440100,71.133994
2015-06-17,72.5,73.110001,72.239998,72.970001,1177400,71.585264
2015-06-18,73.410004,74.120003,73.010002,73.720001,1168800,72.321031
2015-06-19,73.43,73.660004,73.019997,73.18,1394300,71.791278
2015-06-22,73.769997,74.150002,73.610001,73.849998,1125500,72.448561
2015-06-23,72.709999,73.589996,72.220001,72.230003,2154500,70.859308
2015-06-24,72.129997,73.889999,72.129997,72.57,2284700,71.192853
2015-06-25,72.529999,72.800003,72.080002,72.169998,1497900,70.800442
2015-06-26,72.599998,73.07,72.209999,72.290001,992300,70.918167
2015-06-29,71.559998,71.75,70.550003,70.589996,1254300,69.250424
2015-06-30,71.25,71.470001,69.690002,69.809998,1575900,68.485227
2015-07-01,70.360001,70.959999,70.129997,70.25,1181400,68.916879
2015-07-02,70.040001,70.370003,69.510002,70.059998,1053900,68.730482
2015-07-06,69.400002,69.57,69.0,69.419998,1705700,68.102628
2015-07-07,69.389999,70.349998,68.5,70.160004,1320000,68.828591
2015-07-08,70.300003,71.169998,69.790001,70.089996,1869600,68.759912
2015-07-09,71.169998,71.709999,70.660004,71.190002,1999100,69.839043
2015-07-10,72.029999,72.290001,70.809998,71.089996,912900,69.740935
2015-07-13,71.400002,72.379997,71.129997,72.169998,1679500,70.800442
2015-07-14,72.220001,72.220001,71.400002,71.639999,1111800,70.280501
2015-07-15,71.769997,72.080002,71.18,71.68,1075000,70.319743
2015-07-16,72.199997,72.379997,71.919998,72.18,784200,70.810254
2015-07-17,71.800003,72.18,71.339996,71.650002,1913200,70.290313
2015-07-20,71.599998,72.050003,71.440002,71.720001,828900,70.358985
2015-07-21,71.739998,72.339996,71.050003,71.32,686400,69.966574
2015-07-22,71.269997,71.940002,71.169998,71.360001,739700,70.005816
2015-07-23,71.260002,71.260002,70.699997,70.82,1164800,69.476062
2015-07-24,70.860001,71.010002,69.68,70.0,715800,68.671623
2015-07-27,69.519997,69.709999,68.57,69.540001,1404100,68.220354
2015-07-28,69.639999,69.709999,68.629997,69.309998,1337100,67.994715
2015-07-29,69.589996,70.199997,69.099998,70.040001,2291600,69.119741
2015-07-30,69.57,70.169998,69.07,70.07,1197600,69.149345
2015-07-31,70.199997,71.209999,69.879997,71.139999,1478000,70.205286
2015-08-03,71.110001,71.349998,69.669998,70.18,1653500,69.2579
2015-08-04,70.209999,70.25,69.470001,69.589996,1699600,68.675649
2015-08-05,69.889999,70.699997,69.760002,70.410004,3451100,69.484882
2015-08-06,72.300003,74.099998,71.82,73.760002,3842000,72.790864
2015-08-07,73.489998,73.489998,72.389999,72.989998,1695800,72.030977
2015-08-10,73.43,73.639999,72.489998,72.75,1243800,71.794133
2015-08-11,72.160004,72.879997,71.830002,72.519997,1555600,71.567151
2015-08-12,71.959999,72.419998,71.690002,72.230003,1114900,71.280968
2015-08-13,72.169998,72.410004,71.480003,71.620003,834300,70.678983
2015-08-14,71.519997,71.82,70.849998,71.629997,681300,70.688846
2015-08-17,71.269997,73.260002,71.059998,73.230003,1830900,72.267829
2015-08-18,73.160004,74.330002,73.120003,73.269997,1557800,72.307297
2015-08-19,72.959999,73.75,72.449997,73.400002,1709500,72.435594
2015-08-20,72.769997,72.839996,71.980003,71.989998,1617300,71.044116
2015-08-21,71.43,71.639999,69.980003,69.980003,2143900,69.060531
2015-08-24,66.519997,68.0,63.91,66.480003,5034500,65.606518
2015-08-25,68.029999,68.18,65.139999,65.190002,2716100,64.333466
2015-08-26,66.5,66.800003,64.620003,66.68,2206200,65.803887
2015-08-27,67.029999,68.050003,66.139999,67.099998,1596900,66.218367
2015-08-28,66.830002,67.389999,66.650002,67.139999,1147300,66.257842
2015-08-31,67.050003,68.779999,67.029999,68.089996,1813700,67.195357
2015-09-01,66.830002,67.32,66.010002,66.300003,1823300,65.428883
