Date,Open_RTN,High_RTN,Low_RTN,Close_RTN,Volume_RTN,AdjClose_RTN
2015-06-05,99.419998,102.019997,99.309998,101.5,2619300,99.046233
2015-06-08,101.5,101.879997,101.059998,101.07,2284600,98.626628
2015-06-09,101.139999,101.349998,99.830002,99.900002,1728800,97.484914
2015-06-10,100.529999,102.0,100.129997,100.959999,1708500,98.519286
2015-06-11,101.089996,102.239998,100.739998,102.160004,1554700,99.690281
2015-06-12,101.510002,102.010002,101.230003,101.669998,1084000,99.212121
2015-06-15,100.900002,101.010002,100.019997,100.25,1492000,97.826451
2015-06-16,100.019997,100.239998,99.370003,99.790001,2592300,97.377573
2015-06-17,100.18,100.879997,99.790001,100.660004,1685700,98.226543
2015-06-18,100.760002,101.75,100.75,101.239998,2134700,98.792516
2015-06-19,100.910004,101.25,100.489998,100.599998,1414500,98.167989
2015-06-22,101.050003,101.370003,100.5,100.650002,1214000,98.216783
2015-06-23,100.699997,100.959999,100.07,100.360001,1418900,97.933793
2015-06-24,100.480003,100.480003,99.260002,99.309998,1298600,96.909174
2015-06-25,99.790001,99.790001,98.239998,98.239998,1523400,95.865041
2015-06-26,98.419998,98.739998,97.580002,97.790001,1880900,95.425923
2015-06-29,96.519997,97.07,95.889999,95.919998,1512400,94.246848
2015-06-30,96.790001,96.809998,95.459999,95.68,1839900,94.011037
2015-07-01,95.830002,96.949997,95.830002,96.339996,1559200,94.65952
2015-07-02,96.550003,97.230003,95.510002,95.57,2163400,93.902955
2015-07-06,95.470001,96.940002,95.32,96.75,1827100,95.062372
2015-07-07,96.610001,98.089996,96.379997,97.949997,2165900,96.241438
2015-07-08,97.309998,98.239998,97.089996,98.010002,2242800,96.300396
2015-07-09,98.739998,99.239998,98.620003,98.629997,1970800,96.909576
2015-07-10,99.410004,99.599998,97.919998,98.709999,2825100,96.988183
2015-07-13,99.550003,100.720001,99.330002,100.510002,1948100,98.756788
2015-07-14,100.209999,100.620003,99.639999,100.550003,1466200,98.796091
