Date,Open_EFX,High_EFX,Low_EFX,Close_EFX,Volume_EFX,AdjClose_EFX
2015-06-05,97.480003,97.949997,96.849998,97.82,320100,96.727895
2015-06-08,97.919998,97.949997,97.139999,97.290001,485800,96.203814
2015-06-09,97.199997,98.260002,96.879997,98.129997,538300,97.034432
2015-06-10,98.300003,99.07,98.230003,98.82,432800,97.716731
2015-06-11,99.129997,99.580002,98.919998,99.370003,278300,98.260594
2015-06-12,99.0,99.059998,98.389999,98.540001,281400,97.439858
2015-06-15,98.129997,98.709999,97.160004,97.550003,517900,96.460913
2015-06-16,97.339996,97.790001,97.029999,97.5,456300,96.411468
2015-06-17,97.779999,97.989998,97.209999,97.650002,653400,96.559795
2015-06-18,98.089996,99.360001,97.68,99.300003,677100,98.191375
2015-06-19,99.150002,100.169998,98.809998,99.709999,528300,98.596794
2015-06-22,100.150002,101.129997,100.050003,100.589996,409400,99.466967
2015-06-23,100.839996,100.839996,99.93,100.220001,405200,99.101102
2015-06-24,99.919998,100.400002,99.279999,99.300003,396700,98.191375
2015-06-25,97.480003,99.919998,97.480003,99.629997,502600,98.517685
2015-06-26,99.980003,100.510002,99.529999,99.900002,1601700,98.784675
2015-06-29,99.25,99.760002,97.400002,97.440002,548400,96.352141
2015-06-30,98.120003,98.120003,97.029999,97.089996,635000,96.006042
2015-07-01,97.940002,98.419998,97.449997,98.400002,543800,97.301422
2015-07-02,98.470001,98.940002,97.5,98.209999,369600,97.113541
2015-07-06,97.449997,98.010002,97.239998,97.800003,490900,96.708122
2015-07-07,98.029999,98.620003,96.75,97.949997,846300,96.856441
2015-07-08,97.43,97.43,96.160004,96.290001,651800,95.214978
2015-07-09,96.989998,97.489998,96.230003,96.459999,708000,95.383078
2015-07-10,97.0,97.989998,96.730003,97.769997,678900,96.678451
2015-07-13,98.260002,99.440002,98.260002,99.300003,572400,98.191375
2015-07-14,99.550003,99.550003,98.5,98.559998,704700,97.459632
2015-07-15,98.440002,99.029999,97.660004,98.629997,596800,97.52885
2015-07-16,99.07,100.209999,98.720001,100.129997,610500,99.012103
2015-07-17,100.18,100.18,97.970001,98.550003,788800,97.449749
2015-07-20,98.580002,99.290001,98.529999,98.75,415100,97.647513
2015-07-21,98.639999,98.93,97.970001,98.089996,596300,96.994878
2015-07-22,97.919998,98.93,97.879997,98.839996,487800,97.736504
2015-07-23,101.809998,102.959999,99.190002,100.129997,1993800,99.012103
2015-07-24,99.199997,100.150002,98.910004,100.040001,1072300,98.923112
2015-07-27,99.870003,99.949997,98.269997,98.510002,645200,97.410194
2015-07-28,98.989998,100.419998,98.269997,100.18,928300,99.061548
2015-07-29,100.610001,102.379997,100.459999,102.209999,661400,101.068883
2015-07-30,101.760002,102.309998,101.120003,102.160004,508800,101.019446
2015-07-31,102.669998,102.699997,101.669998,102.129997,759600,100.989774
2015-08-03,102.309998,102.389999,101.300003,102.0,469000,100.861228
2015-08-04,102.709999,103.019997,102.169998,102.620003,627500,101.474309
2015-08-05,103.580002,104.0,103.080002,103.519997,390600,102.364255
2015-08-06,103.860001,103.860001,102.110001,102.309998,470800,101.167765
2015-08-07,102.190002,103.160004,101.830002,103.089996,452500,101.939056
2015-08-10,104.220001,105.18,103.959999,104.639999,499400,103.471754
2015-08-11,103.489998,104.419998,103.220001,103.529999,436800,102.374146
2015-08-12,102.839996,103.370003,101.82,102.669998,719300,101.523746
2015-08-13,102.910004,104.610001,102.639999,103.860001,441000,102.700463
2015-08-14,103.650002,104.5,103.220001,104.480003,356500,103.313544
2015-08-17,104.080002,105.589996,103.190002,105.470001,505900,104.292489
2015-08-18,105.580002,105.860001,105.120003,105.209999,516500,104.03539
2015-08-19,104.669998,105.330002,103.919998,104.730003,468100,103.846998
2015-08-20,103.730003,104.0,101.779999,101.82,588800,100.961529
2015-08-21,101.129997,101.980003,99.260002,99.360001,712800,98.522271
2015-08-24,96.370003,97.400002,90.940002,93.830002,1459300,93.038897
2015-08-25,96.419998,96.529999,92.620003,92.699997,1115900,91.91842
2015-08-26,94.5,96.550003,93.610001,96.370003,1202400,95.557483
2015-08-27,97.160004,98.949997,96.760002,98.849998,933300,98.016569
2015-08-28,98.480003,98.519997,97.190002,98.449997,656800,97.61994
2015-08-31,97.940002,98.760002,97.370003,97.900002,772400,97.074582
2015-09-01,95.93,96.870003,94.610001,95.239998,749200,94.437005
2015-09-02,96.269997,97.580002,95.93,97.580002,841000,96.75728
2015-09-03,97.699997,99.089996,97.089996,98.309998,530700,97.481121
2015-09-04,96.839996,98.209999,96.57,97.010002,461700,96.192086
2015-09-08,98.849998,99.650002,97.660004,99.440002,541400,98.601598
2015-09-09,100.0,100.5,98.269997,98.5,470600,97.669521
2015-09-10,98.449997,98.68,97.449997,97.860001,919600,97.034918
2015-09-11,97.489998,98.330002,97.080002,98.0,616500,97.173737
2015-09-14,98.400002,98.660004,97.589996,97.830002,480500,97.005172
2015-09-15,98.160004,99.610001,97.720001,99.43,491600,98.591681
2015-09-16,99.550003,99.68,98.940002,99.220001,793200,98.383452
2015-09-17,99.389999,99.699997,98.139999,98.360001,826400,97.530702
2015-09-18,98.919998,99.07,96.839996,97.040001,1206000,96.221832
2015-09-21,97.730003,99.169998,97.559998,98.120003,416600,97.292728
2015-09-22,97.050003,98.550003,96.739998,97.730003,575700,96.906017
2015-09-23,97.610001,98.43,97.419998,98.150002,476500,97.322474
2015-09-24,97.190002,97.75,96.519997,97.389999,555800,96.568879
2015-09-25,98.209999,98.540001,96.769997,97.449997,633900,96.628371
2015-09-28,97.269997,97.370003,95.120003,95.330002,703200,94.52625
2015-09-29,95.330002,96.400002,94.589996,95.800003,659400,94.992289
2015-09-30,97.059998,97.669998,96.0,97.18,880900,96.360651
2015-10-01,97.239998,98.440002,96.870003,98.379997,568000,97.55053
2015-10-02,96.830002,99.32,96.220001,99.32,785100,98.482607
2015-10-05,100.0,101.099998,98.800003,100.949997,706400,100.098862
2015-10-06,100.730003,101.190002,100.050003,100.940002,757700,100.088951
2015-10-07,101.239998,102.739998,101.239998,102.730003,486100,101.86386
2015-10-08,102.550003,104.93,102.220001,104.699997,558400,103.817244
2015-10-09,104.699997,105.720001,104.260002,105.480003,498600,104.590674
2015-10-12,105.389999,105.900002,105.209999,105.779999,532300,104.888141
2015-10-13,105.190002,105.849998,104.010002,104.080002,586200,103.202477
2015-10-14,104.120003,105.370003,103.849998,104.18,665400,103.301632
2015-10-15,104.769997,105.860001,104.129997,105.830002,503600,104.937722
2015-10-16,106.050003,106.699997,105.639999,106.360001,850600,105.463252
2015-10-19,106.25,106.900002,105.769997,106.860001,501000,105.959037
2015-10-20,106.919998,107.940002,106.410004,107.669998,615500,106.762205
2015-10-21,108.0,108.620003,105.699997,105.900002,939100,105.007132
2015-10-22,104.400002,105.839996,102.230003,103.290001,1580800,102.419136
2015-10-23,105.290001,106.989998,103.949997,106.029999,1093400,105.136033
2015-10-26,106.18,106.709999,105.599998,106.660004,981000,105.760726
2015-10-27,106.550003,106.989998,106.169998,106.919998,752700,106.018528
2015-10-28,106.949997,107.080002,105.559998,106.849998,709100,105.949119
2015-10-29,106.620003,106.809998,105.910004,106.660004,469600,105.760726
2015-10-30,106.660004,107.5,106.459999,106.57,734400,105.671481
2015-11-02,106.57,108.150002,106.57,107.669998,646600,106.762205
2015-11-03,107.669998,107.669998,106.370003,106.720001,611700,105.820218
2015-11-04,106.989998,107.400002,106.199997,106.349998,548800,105.453334
2015-11-05,106.330002,106.769997,105.599998,106.089996,388600,105.195524
2015-11-06,105.699997,106.75,105.25,106.059998,566900,105.165779
2015-11-09,105.639999,106.300003,104.0,104.910004,399700,104.025481
2015-11-10,104.849998,105.459999,104.169998,105.440002,418100,104.551011
2015-11-11,105.720001,107.290001,105.279999,106.720001,527400,105.820218
2015-11-12,106.269997,107.620003,105.650002,105.949997,504900,105.056705
2015-11-13,105.470001,106.169998,104.480003,104.669998,322400,103.787499
2015-11-16,104.699997,106.989998,104.660004,106.949997,423200,106.048274
2015-11-17,106.830002,108.57,106.699997,107.529999,542200,106.623386
2015-11-18,108.059998,110.660004,107.459999,110.559998,811300,109.627838
2015-11-19,110.040001,110.160004,108.800003,109.879997,466600,109.240105
2015-11-20,110.040001,110.459999,109.5,110.220001,522400,109.578129
2015-11-23,110.0,111.370003,109.739998,111.040001,716400,110.393354
2015-11-24,110.110001,110.669998,109.0,110.050003,590900,109.409121
2015-11-25,110.330002,111.339996,110.050003,110.980003,521100,110.333705
2015-11-27,111.269997,112.419998,110.769997,112.32,248900,111.665898
2015-11-30,112.610001,112.629997,111.43,111.5,799900,110.850674
2015-12-01,112.379997,112.739998,111.68,112.519997,486500,111.864731
2015-12-02,112.550003,112.839996,111.860001,111.959999,617000,111.307994
2015-12-03,112.07,112.330002,108.910004,109.349998,666300,108.713193
2015-12-04,109.779999,112.220001,109.779999,111.769997,441300,111.119098
2015-12-07,111.540001,112.129997,110.510002,111.43,227900,110.781082
2015-12-08,110.68,112.260002,110.260002,111.959999,441100,111.307994
2015-12-09,111.279999,112.010002,109.709999,109.910004,453000,109.269937
2015-12-10,110.139999,111.879997,109.639999,110.970001,379400,110.323762
2015-12-11,109.529999,110.150002,107.330002,107.779999,590300,107.152336
2015-12-14,108.029999,109.300003,107.199997,108.400002,712200,107.768728
2015-12-15,109.410004,109.989998,108.610001,109.239998,809000,108.603833
2015-12-16,110.419998,113.199997,109.959999,112.949997,962200,112.292227
2015-12-17,113.050003,113.82,111.739998,113.199997,954100,112.540771
2015-12-18,112.980003,112.980003,109.580002,109.629997,1629500,108.991561
2015-12-21,110.599998,111.489998,110.07,110.989998,730900,110.343642
2015-12-22,111.480003,112.370003,110.5,111.639999,476600,110.989858
2015-12-23,112.040001,112.93,111.5,112.889999,551800,112.232579
2015-12-24,113.040001,113.349998,112.389999,112.75,292000,112.093394
2015-12-28,112.550003,113.199997,112.139999,113.07,461700,112.411531
2015-12-29,114.25,114.459999,113.019997,113.610001,779700,112.948387
2015-12-30,113.730003,113.849998,112.559998,112.769997,916100,112.113275
2015-12-31,112.5,112.720001,111.349998,111.370003,708200,110.721434
2016-01-04,109.919998,110.239998,108.349998,109.449997,1198500,108.812609
2016-01-05,110.169998,110.769997,109.160004,110.110001,1078000,109.468769
2016-01-06,108.419998,109.68,108.239998,109.230003,575100,108.593897
2016-01-07,107.339996,108.440002,105.139999,105.290001,1087900,104.676839
2016-01-08,105.75,105.93,102.040001,102.239998,1421200,101.644598
2016-01-11,103.019997,103.120003,100.75,101.830002,1380100,101.236989
2016-01-12,102.470001,103.150002,100.959999,102.419998,1186100,101.82355
2016-01-13,102.839996,103.730003,100.629997,101.040001,1011400,100.451589
2016-01-14,101.0,104.150002,100.349998,103.459999,1263200,102.857494
2016-01-15,100.68,103.300003,100.510002,102.860001,953700,102.26099
2016-01-19,103.940002,104.300003,102.93,103.860001,1054400,103.255166
2016-01-20,102.199997,102.82,98.400002,101.68,886500,101.087861
2016-01-21,102.0,103.32,100.879997,102.620003,863000,102.02239
2016-01-22,103.870003,104.870003,103.709999,104.839996,708800,104.229455
2016-01-25,104.629997,104.699997,103.720001,104.139999,1024000,103.533535
2016-01-26,104.309998,105.379997,104.010002,104.849998,691100,104.239399
2016-01-27,104.709999,105.18,102.470001,102.980003,827800,102.380294
2016-01-28,103.559998,103.68,101.650002,101.769997,931500,101.177334
2016-01-29,102.760002,105.860001,102.220001,105.800003,1238100,105.183871
2016-02-01,105.050003,107.389999,104.739998,106.919998,986600,106.297344
2016-02-02,106.010002,106.510002,103.290001,103.75,854600,103.145806
2016-02-03,104.489998,104.839996,100.870003,103.169998,766700,102.569182
2016-02-04,103.120003,104.160004,102.599998,103.669998,584100,103.06627
2016-02-05,103.269997,103.760002,99.529999,99.879997,1049000,99.298341
2016-02-08,99.120003,99.300003,92.809998,93.900002,1683700,93.35317
2016-02-09,92.650002,94.220001,92.260002,93.220001,1781700,92.67713
2016-02-10,93.940002,95.510002,93.010002,94.519997,1549200,93.969554
2016-02-11,93.959999,96.629997,91.720001,93.449997,1635800,92.905786
2016-02-12,95.300003,99.139999,95.300003,97.470001,1402600,96.90238
2016-02-16,98.970001,99.940002,97.610001,99.169998,1327800,98.592476
2016-02-17,100.089996,101.959999,99.489998,101.790001,1054600,101.197221
2016-02-18,102.220001,102.550003,100.410004,100.889999,768100,100.302461
2016-02-19,100.440002,101.139999,99.790001,100.989998,1542500,100.401877
2016-02-22,101.830002,103.669998,101.830002,103.360001,923200,102.758078
2016-02-23,103.260002,103.800003,102.080002,103.139999,624200,102.539358
2016-02-24,102.449997,104.540001,101.290001,104.440002,788900,103.831791
2016-02-25,103.800003,106.580002,103.800003,106.529999,924600,105.909616
2016-02-26,106.730003,107.080002,105.93,106.370003,629900,105.750551
2016-02-29,106.029999,106.529999,104.779999,104.879997,652900,104.269223
2016-03-01,105.589996,107.089996,105.18,106.489998,637900,106.204014
2016-03-02,105.989998,107.040001,105.410004,107.0,595200,106.712646
2016-03-03,106.699997,107.169998,105.919998,107.129997,513100,106.842295
2016-03-04,107.0,108.639999,105.970001,107.660004,814800,107.370878
2016-03-07,106.82,107.449997,105.129997,106.080002,562100,105.795119
2016-03-08,105.120003,106.139999,104.660004,106.0,673500,105.715332
2016-03-09,106.599998,107.0,106.040001,106.760002,550000,106.473293
2016-03-10,107.160004,107.68,105.519997,106.779999,579000,106.493236
2016-03-11,107.599998,108.550003,106.809998,108.449997,1310800,108.158749
2016-03-14,108.059998,110.0,107.519997,109.709999,711200,109.415368
2016-03-15,109.0,110.239998,108.629997,109.5,650900,109.205933
2016-03-16,108.82,110.400002,108.650002,110.129997,575300,109.834238
2016-03-17,109.919998,111.540001,109.830002,111.309998,540800,111.011069
2016-03-18,111.860001,113.029999,111.18,112.510002,959300,112.207851
2016-03-21,111.940002,112.589996,111.540001,112.220001,590900,111.918629
2016-03-22,111.580002,112.970001,111.089996,112.510002,410400,112.207851
2016-03-23,112.089996,112.660004,111.269997,111.540001,1042200,111.240455
2016-03-24,110.730003,111.25,109.089996,111.230003,962900,110.93129
2016-03-28,111.660004,112.309998,110.919998,111.949997,367400,111.64935
2016-03-29,111.550003,112.940002,111.07,112.849998,308000,112.546935
2016-03-30,113.57,114.18,112.879997,113.900002,401000,113.594118
2016-03-31,114.010002,114.669998,113.400002,114.290001,532900,113.98307
2016-04-01,113.839996,116.800003,113.57,116.589996,726400,116.276888
2016-04-04,116.589996,116.790001,115.129997,115.419998,374100,115.110032
