Date,Open_VNO,High_VNO,Low_VNO,Close_VNO,Volume_VNO,AdjClose_VNO
2015-06-05,98.75,99.169998,97.730003,98.190002,1061300,95.617671
2015-06-08,97.970001,98.43,97.610001,97.790001,576700,95.228148
2015-06-09,97.699997,98.07,97.129997,97.300003,502800,94.750987
2015-06-10,97.480003,99.480003,96.989998,98.25,777800,95.676096
2015-06-11,98.610001,98.910004,98.209999,98.360001,601800,95.783215
2015-06-12,98.18,98.529999,97.599998,98.029999,563200,95.461859
2015-06-15,97.800003,98.349998,97.449997,97.730003,1032300,95.169722
2015-06-16,97.790001,98.699997,97.550003,98.459999,517000,95.880594
2015-06-17,98.449997,99.550003,97.629997,99.300003,552900,96.698592
2015-06-18,99.489998,101.580002,99.160004,101.290001,1000400,98.636457
2015-06-19,100.699997,101.129997,99.769997,100.099998,1248800,97.477629
2015-06-22,100.290001,100.870003,99.349998,99.510002,1179800,96.90309
2015-06-23,99.370003,100.910004,98.610001,98.760002,867700,96.172738
2015-06-24,98.93,99.110001,97.230003,97.230003,1190500,94.682821
2015-06-25,97.349998,97.360001,96.059998,96.059998,1159500,93.543466
2015-06-26,96.18,97.050003,95.650002,96.690002,1214900,94.156967
2015-06-29,96.589996,97.040001,94.82,94.889999,892800,92.404119
2015-06-30,96.389999,96.389999,94.550003,94.93,939900,92.443072
2015-07-01,93.940002,96.419998,93.419998,96.419998,912600,93.894036
2015-07-02,96.900002,97.769997,95.940002,96.269997,692100,93.747964
2015-07-06,95.800003,97.099998,95.800003,96.5,725200,93.971942
2015-07-07,97.120003,98.32,96.93,97.980003,940200,95.413173
2015-07-08,97.449997,98.379997,97.110001,97.260002,413500,94.712034
2015-07-09,97.68,98.400002,96.639999,96.870003,528800,94.332252
2015-07-10,97.470001,98.110001,96.889999,97.129997,713400,94.585435
2015-07-13,97.07,98.349998,96.279999,96.839996,793800,94.303031
2015-07-14,97.010002,97.410004,96.300003,97.040001,481700,94.497796
2015-07-15,96.860001,97.480003,96.529999,97.25,472100,94.702294
2015-07-16,97.639999,98.959999,97.459999,98.230003,514000,95.656624
2015-07-17,98.129997,98.279999,97.110001,97.309998,1161900,94.76072
2015-07-20,97.220001,97.290001,96.510002,96.790001,830700,94.254346
2015-07-21,96.870003,97.459999,96.440002,96.470001,925200,93.942729
2015-07-22,96.559998,97.300003,96.379997,96.940002,1085800,94.400417
2015-07-23,96.769997,96.800003,95.139999,95.889999,715000,93.377922
2015-07-24,95.720001,96.43,95.419998,96.029999,595300,93.514254
2015-07-27,95.910004,96.970001,95.830002,96.309998,788200,93.786917
2015-07-28,96.230003,96.660004,95.720001,96.269997,498300,93.747964
2015-07-29,96.220001,97.309998,95.400002,97.050003,693200,94.507536
2015-07-30,97.0,97.150002,96.129997,96.43,454600,93.903776
2015-07-31,97.650002,98.120003,97.160004,97.550003,1084300,94.994438
2015-08-03,97.580002,98.129997,97.0,97.879997,513800,95.315787
2015-08-04,97.599998,97.949997,95.730003,96.690002,781800,94.156967
2015-08-05,97.07,97.099998,95.410004,95.639999,803000,93.134471
2015-08-06,95.639999,95.800003,93.849998,95.169998,863900,92.676783
