Date,Open_SNI,High_SNI,Low_SNI,Close_SNI,Volume_SNI,AdjClose_SNI
2015-06-05,67.68,68.75,67.230003,68.730003,1406900,67.590231
2015-06-08,68.75,68.75,67.519997,67.760002,1068300,66.636316
2015-06-09,67.800003,67.949997,66.970001,67.279999,1196000,66.164273
2015-06-10,67.489998,67.68,66.699997,66.739998,941900,65.633227
2015-06-11,66.760002,67.019997,66.459999,66.889999,698500,65.780741
2015-06-12,66.660004,66.849998,66.150002,66.68,585800,65.574224
2015-06-15,66.18,67.470001,66.120003,67.360001,960800,66.242948
2015-06-16,67.419998,67.57,66.830002,67.089996,573100,65.977421
2015-06-17,67.230003,67.68,66.830002,67.519997,492700,66.400291
2015-06-18,67.669998,67.870003,67.330002,67.68,860700,66.557641
2015-06-19,67.519997,67.720001,67.120003,67.25,1310600,66.134771
2015-06-22,67.660004,67.970001,67.080002,67.160004,850000,66.046268
2015-06-23,67.449997,67.5,66.699997,67.25,1715300,66.134771
2015-06-24,67.279999,67.410004,66.550003,66.660004,1053800,65.554559
2015-06-25,67.010002,67.089996,66.349998,66.650002,1066000,65.544723
2015-06-26,66.800003,67.349998,66.489998,67.010002,920000,65.898754
2015-06-29,66.559998,66.800003,64.589996,64.760002,1189500,63.686066
2015-06-30,65.190002,65.529999,64.470001,65.370003,1192200,64.285951
2015-07-01,65.830002,67.139999,65.529999,67.050003,1436700,65.938091
2015-07-02,67.68,68.449997,66.449997,67.089996,1331100,65.977421
2015-07-06,66.599998,68.050003,66.489998,66.779999,1002500,65.672564
2015-07-07,66.970001,67.269997,65.419998,67.199997,949400,66.085598
2015-07-08,66.730003,66.93,65.040001,65.32,1358900,64.236777
2015-07-09,65.919998,66.769997,65.360001,65.419998,1436700,64.335117
2015-07-10,65.870003,66.129997,65.370003,65.839996,820800,64.74815
2015-07-13,66.099998,66.650002,65.970001,66.309998,799400,65.210357
2015-07-14,66.080002,66.599998,65.709999,66.220001,836400,65.121854
2015-07-15,66.239998,66.57,65.760002,66.309998,843900,65.210357
2015-07-16,66.75,66.93,66.150002,66.769997,1001700,65.662728
2015-07-17,66.529999,66.949997,64.489998,64.860001,1396400,63.784406
2015-07-20,64.980003,65.610001,63.790001,64.290001,1037600,63.223859
2015-07-21,64.290001,64.459999,63.130001,63.330002,1177400,62.27978
2015-07-22,63.07,63.400002,62.419998,62.75,1418300,61.709396
2015-07-23,62.709999,62.950001,61.689999,61.82,956900,60.794819
2015-07-24,61.830002,61.939999,60.790001,61.200001,1293900,60.185101
2015-07-27,60.470001,62.52,60.400002,61.880001,2027900,60.853825
2015-07-28,62.220001,62.27,61.389999,62.049999,843800,61.021004
2015-07-29,62.139999,62.580002,61.490002,61.93,822000,60.902995
2015-07-30,61.709999,62.419998,61.310001,62.209999,631200,61.178351
2015-07-31,62.360001,62.639999,61.990002,62.580002,871400,61.542217
2015-08-03,62.73,62.830002,61.91,62.59,1222900,61.55205
2015-08-04,63.209999,64.519997,60.119999,61.169998,3213100,60.155596
2015-08-05,62.060001,62.060001,56.639999,57.540001,3903100,56.585796
2015-08-06,58.0,59.639999,53.869999,58.59,4436400,57.618383
2015-08-07,58.200001,60.369999,57.75,58.759998,3448300,57.785562
2015-08-10,59.169998,59.580002,58.119999,59.169998,1722800,58.188763
2015-08-11,58.84,59.130001,57.98,58.799999,1704100,57.8249
2015-08-12,58.330002,59.32,58.32,58.919998,1590900,57.942909
2015-08-13,58.830002,58.98,57.709999,57.959999,1437000,56.99883
2015-08-14,57.779999,58.130001,57.049999,57.52,1230500,56.566128
2015-08-17,57.400002,58.84,57.240002,58.669998,950100,57.697055
2015-08-18,58.540001,58.68,56.959999,57.009998,1813700,56.064583
2015-08-19,56.77,57.580002,56.549999,57.07,1272800,56.123589
2015-08-20,56.360001,56.360001,54.080002,54.23,2109800,53.330686
2015-08-21,53.75,55.139999,53.290001,54.0,1823500,53.104501
2015-08-24,51.740002,53.669998,51.32,51.720001,2071300,50.862312
2015-08-25,52.849998,52.849998,51.200001,51.380001,2426100,50.52795
2015-08-26,52.419998,52.630001,51.639999,52.0,2655200,51.137667
2015-08-27,52.66,52.98,51.220001,52.669998,2716600,52.026671
2015-08-28,52.68,53.66,52.259998,53.18,1606200,52.530444
2015-08-31,53.080002,53.43,52.25,53.09,1255900,52.441543
2015-09-01,52.07,52.59,51.389999,51.779999,1520500,51.147542
2015-09-02,52.34,52.869999,51.790001,52.830002,1451400,52.18472
2015-09-03,53.0,54.529999,52.84,53.779999,1617000,53.123114
2015-09-04,53.02,53.52,52.52,52.869999,1129000,52.224229
2015-09-08,53.75,54.349998,53.43,53.860001,1154300,53.202138
2015-09-09,54.52,54.599998,53.43,53.59,1429400,52.935436
2015-09-10,53.66,53.869999,53.049999,53.349998,1091300,52.698365
2015-09-11,53.23,53.470001,52.310001,53.16,635400,52.510688
2015-09-14,53.16,53.16,52.34,52.619999,793600,51.977282
2015-09-15,52.77,53.169998,52.619999,53.080002,890100,52.431667
2015-09-16,53.09,53.939999,53.0,53.23,991200,52.579832
2015-09-17,53.400002,53.82,52.82,52.93,1208200,52.283497
2015-09-18,52.330002,53.59,52.18,52.919998,2351200,52.273617
2015-09-21,53.139999,53.27,52.099998,52.5,1174900,51.858749
2015-09-22,51.950001,51.970001,50.98,51.029999,1243600,50.406703
2015-09-23,51.040001,51.209999,49.360001,49.389999,1609100,48.786735
2015-09-24,49.07,50.080002,48.799999,49.84,2122400,49.231239
2015-09-25,50.150002,50.290001,49.200001,49.580002,1702400,48.974417
2015-09-28,49.470001,49.700001,48.200001,48.27,909900,47.680416
2015-09-29,48.439999,48.66,47.619999,48.139999,1308300,47.552003
2015-09-30,48.669998,49.529999,48.639999,49.189999,1665500,48.589177
2015-10-01,49.189999,49.34,47.950001,48.419998,1790900,47.828582
2015-10-02,47.939999,49.919998,47.720001,49.799999,1715300,49.191727
2015-10-05,49.349998,51.709999,49.0,51.299999,2009200,50.673406
2015-10-06,51.299999,52.009998,51.18,51.66,1736300,51.029009
2015-10-07,52.07,54.790001,51.650002,54.619999,2326400,53.952854
2015-10-08,54.689999,56.25,54.389999,55.75,3387900,55.069053
2015-10-09,55.689999,56.34,55.27,56.060001,1517700,55.375268
2015-10-12,56.200001,56.290001,54.720001,55.139999,1434100,54.466503
2015-10-13,54.950001,55.860001,54.540001,55.240002,963900,54.565284
2015-10-14,55.25,56.07,54.779999,55.220001,1035600,54.545527
2015-10-15,55.360001,56.509998,55.16,56.439999,912400,55.750623
2015-10-16,56.619999,56.619999,55.799999,56.080002,837100,55.395024
2015-10-19,55.849998,56.41,55.720001,55.959999,1117900,55.276487
2015-10-20,55.869999,57.09,55.529999,56.560001,1090100,55.86916
2015-10-21,56.82,56.91,55.919998,56.02,760100,55.335755
2015-10-22,56.09,56.700001,55.75,56.669998,628700,55.977814
2015-10-23,57.060001,57.060001,56.459999,56.990002,877400,56.293909
2015-10-26,56.959999,57.279999,56.759998,57.139999,828600,56.442074
2015-10-27,57.0,57.740002,55.939999,56.779999,1248900,56.086471
2015-10-28,56.810001,58.18,56.580002,58.110001,1264800,57.400227
2015-10-29,58.0,59.580002,57.830002,59.279999,1749600,58.555935
2015-10-30,59.290001,60.34,58.580002,60.080002,1693400,59.346166
2015-11-02,60.060001,60.439999,59.509998,59.790001,1436900,59.059708
2015-11-03,59.75,61.400002,59.009998,61.240002,1296300,60.491998
2015-11-04,61.48,62.299999,58.490002,59.57,3698500,58.842394
2015-11-05,59.57,59.759998,56.98,58.259998,1824700,57.548393
2015-11-06,58.040001,59.130001,57.639999,59.040001,1325700,58.318868
2015-11-09,61.0,62.0,57.189999,58.380001,3084000,57.66693
2015-11-10,58.150002,58.720001,57.130001,58.619999,1593700,57.903997
