Date,Open_TSS,High_TSS,Low_TSS,Close_TSS,Volume_TSS,AdjClose_TSS
2015-06-05,41.07,41.470001,40.799999,41.439999,713700,41.085645
2015-06-08,41.369999,41.400002,40.889999,40.959999,387900,40.60975
2015-06-09,40.93,41.09,40.709999,40.880001,849200,40.530436
2015-06-10,41.09,41.950001,40.91,41.740002,888400,41.383083
2015-06-11,41.869999,41.959999,41.599998,41.860001,647300,41.502056
2015-06-12,41.66,41.880001,41.529999,41.599998,592000,41.244277
2015-06-15,41.18,41.290001,40.849998,41.16,722700,40.808041
2015-06-16,41.07,41.810001,40.970001,41.75,828900,41.493805
2015-06-17,41.82,42.0,41.52,41.75,627700,41.493805
2015-06-18,41.810001,42.490002,41.810001,42.439999,781900,42.179569
2015-06-19,42.43,42.669998,42.23,42.330002,1095700,42.070247
2015-06-22,42.650002,43.0,42.490002,42.689999,620200,42.428035
2015-06-23,42.77,42.869999,42.439999,42.529999,702400,42.269017
2015-06-24,42.43,42.57,42.189999,42.349998,907500,42.090121
2015-06-25,42.41,42.630001,42.299999,42.5,531800,42.239202
2015-06-26,42.540001,42.759998,42.400002,42.720001,1706700,42.457853
2015-06-29,42.380001,42.57,41.630001,41.75,1867700,41.493805
2015-06-30,42.07,42.080002,41.57,41.77,1296700,41.513682
2015-07-01,42.080002,42.200001,41.880001,42.02,974800,41.762148
2015-07-02,42.099998,42.099998,41.709999,41.950001,672000,41.692578
2015-07-06,41.529999,42.18,41.52,42.049999,621600,41.791963
2015-07-07,42.169998,42.220001,41.580002,42.16,1001900,41.901288
2015-07-08,41.82,41.959999,41.419998,41.52,721700,41.265216
2015-07-09,42.09,42.119999,41.66,41.740002,764700,41.483868
2015-07-10,42.18,42.450001,41.950001,42.34,659700,42.080184
2015-07-13,42.5,42.779999,42.389999,42.700001,612700,42.437976
2015-07-14,42.669998,43.220001,42.48,43.119999,651300,42.855397
2015-07-15,43.150002,43.25,42.93,43.189999,629200,42.924967
2015-07-16,43.43,43.900002,43.209999,43.849998,843200,43.580917
2015-07-17,43.849998,43.990002,43.529999,43.970001,884300,43.700183
2015-07-20,44.07,44.740002,43.900002,44.720001,1321000,44.445581
2015-07-21,44.650002,45.34,44.59,45.279999,2508300,45.002142
2015-07-22,45.119999,45.470001,44.799999,44.959999,1419800,44.684106
2015-07-23,45.040001,45.099998,44.27,44.509998,1462000,44.236866
2015-07-24,44.549999,44.759998,44.25,44.720001,1207300,44.445581
2015-07-27,44.43,44.549999,43.759998,43.939999,1357700,43.670364
2015-07-28,44.299999,45.060001,43.91,44.779999,1378200,44.50521
2015-07-29,45.41,47.77,45.139999,46.830002,3339000,46.542633
2015-07-30,46.18,46.48,45.439999,46.240002,1613600,45.956254
2015-07-31,46.360001,46.43,45.98,46.220001,1268200,45.936376
2015-08-03,46.290001,46.560001,45.93,46.540001,1372300,46.254412
2015-08-04,46.5,47.200001,46.5,47.07,1258400,46.781159
2015-08-05,47.25,47.709999,47.099998,47.540001,1407800,47.248276
2015-08-06,47.549999,47.689999,46.580002,46.720001,793800,46.433308
2015-08-07,46.720001,46.959999,46.400002,46.950001,1122100,46.661896
2015-08-10,47.25,47.68,47.189999,47.360001,1001900,47.06938
2015-08-11,47.0,47.209999,46.68,47.07,872600,46.781159
2015-08-12,46.759998,47.369999,46.439999,47.259998,892500,46.969991
2015-08-13,47.310001,47.709999,47.23,47.470001,499100,47.178705
2015-08-14,47.470001,48.220001,47.380001,48.139999,780600,47.844592
2015-08-17,48.0,48.41,47.66,48.23,732600,47.93404
2015-08-18,48.310001,48.669998,48.09,48.639999,760500,48.341524
