Date,Open_TJX,High_TJX,Low_TJX,Close_TJX,Volume_TJX,AdjClose_TJX
2015-06-05,65.550003,65.970001,65.330002,65.629997,2271400,64.826311
2015-06-08,65.410004,65.739998,65.239998,65.260002,1691200,64.460847
2015-06-09,65.230003,65.400002,64.519997,64.699997,2404000,63.907699
2015-06-10,65.059998,65.620003,64.900002,65.519997,2315400,64.717657
2015-06-11,65.849998,66.160004,65.449997,65.529999,2048900,64.727537
2015-06-12,65.410004,65.650002,65.160004,65.370003,1542700,64.5695
2015-06-15,64.860001,65.18,64.720001,65.07,2312100,64.273171
2015-06-16,65.0,65.5,64.830002,65.360001,1993400,64.559621
2015-06-17,65.5,65.93,65.209999,65.709999,1774600,64.905333
2015-06-18,65.949997,67.199997,65.709999,67.160004,3238600,66.337581
2015-06-19,66.889999,67.260002,66.559998,66.629997,3020400,65.814065
2015-06-22,67.019997,67.150002,66.470001,66.540001,1525600,65.725171
2015-06-23,66.75,67.57,66.559998,67.510002,2215400,66.683294
2015-06-24,67.660004,67.919998,67.559998,67.580002,2848200,66.752436
2015-06-25,67.709999,67.879997,67.260002,67.290001,2616400,66.465987
2015-06-26,67.330002,68.239998,67.330002,68.019997,2985400,67.187043
2015-06-29,67.470001,67.760002,66.010002,66.080002,3358000,65.270805
2015-06-30,66.730003,66.790001,65.900002,66.169998,3178800,65.359699
2015-07-01,66.5,67.470001,66.220001,67.419998,2784900,66.594392
2015-07-02,67.309998,67.760002,66.650002,66.800003,2148700,65.981989
2015-07-06,66.169998,67.379997,66.019997,66.910004,3428700,66.090643
2015-07-07,67.120003,68.300003,66.940002,68.220001,3088700,67.384599
2015-07-08,67.760002,68.18,67.379997,67.389999,2159700,66.564761
2015-07-09,68.18,68.269997,67.669998,67.669998,2515900,66.841331
2015-07-10,68.480003,68.480003,67.690002,68.129997,2345400,67.295697
2015-07-13,68.690002,69.190002,68.349998,69.160004,2295200,68.31309
2015-07-14,69.160004,69.300003,68.599998,69.129997,2033000,68.283451
2015-07-15,69.089996,69.120003,68.589996,68.720001,2394100,67.878476
2015-07-16,69.0,69.57,68.620003,69.370003,2109000,68.520517
2015-07-17,69.260002,69.300003,68.610001,68.739998,2001000,67.898227
2015-07-20,68.949997,69.220001,68.699997,69.099998,1688800,68.25382
2015-07-21,68.910004,69.230003,68.440002,68.529999,2177900,67.6908
2015-07-22,68.57,69.160004,68.400002,68.610001,2049100,67.769822
2015-07-23,68.809998,68.849998,68.18,68.239998,1482300,67.40435
2015-07-24,68.400002,68.410004,67.360001,67.440002,1932400,66.614151
2015-07-27,67.400002,67.629997,67.040001,67.339996,1796300,66.51537
2015-07-28,67.639999,67.989998,67.040001,67.860001,1685000,67.029006
2015-07-29,68.019997,69.550003,67.879997,69.459999,3820400,68.609412
2015-07-30,69.349998,69.68,68.900002,69.620003,2940000,68.767456
