Date,Open_HOT,High_HOT,Low_HOT,Close_HOT,Volume_HOT,AdjClose_HOT
2015-06-05,83.400002,84.800003,83.0,84.550003,3475800,82.798066
2015-06-08,84.18,84.18,82.550003,82.709999,2635100,80.996188
2015-06-09,82.75,82.919998,82.099998,82.169998,3827500,80.467377
2015-06-10,82.220001,82.709999,82.010002,82.139999,1636800,80.437999
2015-06-11,82.309998,83.07,82.239998,82.940002,1367700,81.221426
2015-06-12,82.400002,82.839996,82.0,82.18,1033600,80.477172
2015-06-15,82.010002,82.239998,81.620003,81.760002,1586000,80.065876
2015-06-16,82.150002,82.389999,81.800003,82.239998,1203000,80.535926
2015-06-17,82.199997,82.5,81.449997,81.900002,1481800,80.202975
2015-06-18,82.029999,83.029999,81.93,82.790001,2796700,81.074532
2015-06-19,82.57,83.059998,82.32,82.489998,1824900,80.780746
2015-06-22,82.790001,83.080002,82.32,82.830002,2257900,81.113705
2015-06-23,82.949997,83.120003,82.209999,82.68,2138900,80.966811
2015-06-24,82.709999,83.589996,82.360001,82.389999,2747300,80.682819
2015-06-25,82.510002,82.769997,82.059998,82.220001,2111400,80.516344
2015-06-26,82.639999,82.879997,82.199997,82.690002,2943500,80.976606
2015-06-29,81.550003,82.199997,80.449997,80.550003,3273000,78.880949
2015-06-30,81.459999,81.459999,80.309998,81.089996,2077000,79.409753
2015-07-01,81.779999,82.739998,81.709999,82.0,1615500,80.300901
2015-07-02,82.339996,82.459999,81.75,82.269997,1258000,80.565303
2015-07-06,81.639999,82.620003,81.550003,82.07,1482300,80.36945
2015-07-07,82.25,82.489998,81.099998,82.139999,2430100,80.437999
2015-07-08,81.57,81.769997,80.519997,80.580002,2888500,78.910326
2015-07-09,81.68,82.239998,80.349998,80.379997,1450900,78.714466
2015-07-10,81.139999,81.940002,81.099998,81.760002,2297600,80.065876
2015-07-13,82.440002,82.699997,82.0,82.480003,2284500,80.770958
2015-07-14,82.959999,84.459999,82.639999,84.139999,2514100,82.396558
2015-07-15,83.93,84.580002,83.68,84.099998,1772100,82.357386
2015-07-16,85.309998,85.900002,84.360001,84.849998,3216300,83.091845
2015-07-17,84.849998,85.800003,84.519997,85.620003,3006700,83.845895
2015-07-20,85.769997,85.769997,84.739998,84.790001,1042500,83.033091
2015-07-21,84.720001,84.980003,83.900002,84.239998,979000,82.494484
2015-07-22,84.099998,85.0,83.910004,84.870003,1575400,83.111435
2015-07-23,84.900002,84.980003,82.379997,82.709999,2555100,80.996188
2015-07-24,82.870003,82.870003,81.290001,81.589996,1801800,79.899393
2015-07-27,80.889999,81.32,79.529999,79.910004,1991700,78.254211
2015-07-28,80.870003,81.68,80.129997,80.699997,3230300,79.027835
2015-07-29,81.07,82.900002,81.040001,82.650002,2500600,80.937434
2015-07-30,83.75,86.959999,77.620003,78.199997,8417100,76.579637
2015-07-31,78.879997,80.050003,77.860001,79.459999,3640900,77.813531
2015-08-03,79.949997,80.080002,77.620003,78.330002,1852400,76.706948
2015-08-04,78.459999,78.849998,77.720001,78.199997,1929900,76.579637
2015-08-05,78.599998,78.989998,76.620003,76.830002,3788900,75.238029
2015-08-06,77.0,77.0,75.57,75.910004,2408900,74.337094
2015-08-07,76.089996,76.480003,75.639999,76.379997,1203300,74.797349
2015-08-10,77.089996,77.290001,76.470001,77.239998,3332300,75.639529
2015-08-11,76.589996,77.0,76.080002,76.410004,1354100,74.826733
2015-08-12,75.480003,76.059998,74.239998,75.830002,2755000,74.25875
2015-08-13,75.949997,76.370003,75.269997,75.779999,1447800,74.209783
2015-08-14,75.800003,76.050003,75.059998,75.389999,1056000,73.827864
2015-08-17,75.339996,77.739998,74.769997,77.459999,2112600,75.854972
2015-08-18,77.199997,77.510002,76.660004,76.860001,899400,75.267406
2015-08-19,76.260002,77.589996,76.239998,76.959999,1603800,75.365332
2015-08-20,75.93,76.389999,74.800003,74.800003,1633600,73.250093
2015-08-21,74.150002,74.589996,73.160004,73.169998,2096300,71.653863
2015-08-24,66.449997,70.980003,66.389999,69.949997,3975600,68.500583
2015-08-25,72.0,72.040001,69.620003,69.620003,2796000,68.177426
2015-08-26,71.32,71.32,69.400002,71.089996,2490600,69.61696
2015-08-27,71.879997,73.050003,71.260002,72.669998,2295900,71.164223
2015-08-28,72.339996,73.529999,72.099998,73.290001,1169500,71.771379
2015-08-31,72.769997,72.959999,71.449997,71.470001,1629900,69.989091
2015-09-01,70.050003,70.5,68.410004,68.849998,2503200,67.423377
2015-09-02,69.559998,70.25,69.129997,70.199997,2402700,68.745402
2015-09-03,70.440002,71.900002,70.0,71.050003,1633300,69.577796
2015-09-04,70.110001,70.860001,69.709999,70.419998,2054600,68.960845
2015-09-08,71.449997,72.400002,70.970001,72.330002,1832100,70.831272
2015-09-09,72.650002,73.230003,71.849998,72.110001,2849000,70.983853
2015-09-10,72.010002,72.279999,71.440002,71.910004,1359100,70.78698
