Date,Open_PAYX,High_PAYX,Low_PAYX,Close_PAYX,Volume_PAYX,AdjClose_PAYX
2015-06-05,48.169998,48.610001,48.040001,48.43,2454400,46.804336
2015-06-08,48.310001,48.5,48.02,48.060001,1206600,46.446756
2015-06-09,48.080002,48.09,47.650002,47.689999,1965500,46.089174
2015-06-10,47.869999,48.360001,47.790001,48.099998,1816800,46.485411
2015-06-11,48.09,48.43,47.790001,48.25,2313700,46.630377
2015-06-12,47.939999,48.25,47.889999,48.0,1587200,46.388769
2015-06-15,47.740002,47.790001,47.18,47.490002,1701100,45.89589
2015-06-16,47.27,47.889999,47.139999,47.709999,1062200,46.108503
2015-06-17,47.900002,48.029999,47.610001,47.799999,996600,46.195482
2015-06-18,47.889999,48.41,47.889999,48.240002,1802400,46.620715
2015-06-19,48.25,48.360001,48.0,48.099998,2446000,46.485411
2015-06-22,48.349998,49.060001,48.310001,48.790001,1814100,47.152252
2015-06-23,48.830002,48.869999,48.599998,48.799999,1240800,47.161915
2015-06-24,48.639999,48.75,48.080002,48.150002,1346600,46.533736
2015-06-25,48.189999,48.41,48.029999,48.23,1744000,46.611048
2015-06-26,48.34,48.509998,47.790001,47.990002,1675200,46.379106
2015-06-29,47.549999,47.759998,46.75,46.799999,2111300,45.229049
2015-06-30,47.099998,47.470001,46.52,46.880001,3013300,45.306366
2015-07-01,46.0,47.830002,44.380001,47.310001,4253200,45.721932
2015-07-02,47.799999,48.189999,47.279999,47.650002,3003500,46.050519
2015-07-06,47.490002,48.25,47.389999,48.169998,3088400,46.553061
2015-07-07,48.25,48.450001,47.279999,48.009998,2936700,46.398432
2015-07-08,47.66,47.91,47.290001,47.32,2079400,45.731595
2015-07-09,47.82,48.130001,47.330002,47.43,1922000,45.837903
2015-07-10,47.950001,48.110001,47.57,47.779999,1371800,46.176153
2015-07-13,47.970001,48.439999,47.970001,48.389999,1553900,46.765677
2015-07-14,48.369999,48.389999,48.02,48.169998,1271500,46.553061
2015-07-15,48.23,48.369999,47.68,47.759998,2484600,46.156824
2015-07-16,47.68,47.950001,47.349998,47.91,2797700,46.30179
2015-07-17,47.82,47.82,47.240002,47.450001,2456000,45.857232
2015-07-20,47.610001,47.630001,47.139999,47.299999,2103200,45.712266
2015-07-21,47.279999,47.380001,47.040001,47.27,1677000,45.683274
2015-07-22,47.240002,47.549999,47.18,47.27,1234500,45.683274
2015-07-23,47.23,47.25,46.59,46.650002,1636500,45.084086
2015-07-24,46.529999,46.82,46.029999,46.110001,2246600,44.562212
2015-07-27,46.0,46.48,45.34,46.279999,2188800,44.726504
2015-07-28,46.48,46.630001,46.16,46.610001,1439400,45.045428
2015-07-29,46.549999,46.880001,46.279999,46.709999,2281900,45.14207
2015-07-30,46.23,46.57,45.709999,46.23,2654000,45.083559
2015-07-31,46.450001,46.509998,46.130001,46.400002,1961600,45.249345
2015-08-03,46.16,47.700001,45.939999,47.52,4018800,46.341569
2015-08-04,47.639999,48.400002,46.299999,47.689999,3880400,46.507352
2015-08-05,48.0,48.66,47.849998,48.27,2691700,47.07297
2015-08-06,48.5,48.5,47.360001,47.560001,2189200,46.380578
2015-08-07,47.299999,47.68,47.220001,47.619999,1774400,46.439088
2015-08-10,47.869999,48.360001,47.869999,48.099998,1388700,46.907184
2015-08-11,47.830002,48.279999,47.560001,47.880001,2145900,46.692643
2015-08-12,47.299999,47.970001,47.200001,47.810001,1930700,46.624379
2015-08-13,47.779999,48.330002,47.630001,48.130001,1807100,46.936443
2015-08-14,48.27,48.389999,48.0,48.299999,1259300,47.102225
2015-08-17,48.130001,48.41,47.740002,48.369999,1609300,47.170489
2015-08-18,48.23,48.630001,48.220001,48.450001,1079300,47.248507
2015-08-19,48.150002,48.450001,47.669998,48.009998,1519800,46.819416
2015-08-20,47.720001,47.970001,47.27,47.299999,1545600,46.127024
2015-08-21,47.0,47.23,45.68,45.689999,2869900,44.556949
2015-08-24,43.099998,43.990002,41.59,43.990002,5152100,42.89911
2015-08-25,44.950001,44.950001,42.919998,42.919998,5178800,41.855641
2015-08-26,43.98,44.66,43.189999,44.619999,3443700,43.513484
2015-08-27,45.040001,45.509998,44.5,45.25,2642000,44.127862
2015-08-28,44.950001,45.369999,44.700001,44.950001,2621800,43.835302
2015-08-31,44.799999,45.060001,44.59,44.66,2209500,43.552493
2015-09-01,43.810001,44.27,43.189999,43.459999,2863900,42.382251
2015-09-02,44.220001,44.490002,43.720001,44.490002,2000400,43.386711
2015-09-03,44.560001,45.009998,44.529999,44.700001,1501200,43.591502
2015-09-04,43.830002,44.549999,43.830002,44.310001,1659000,43.211174
