Date,Open_MYL,High_MYL,Low_MYL,Close_MYL,Volume_MYL,AdjClose_MYL
2015-06-05,74.470001,74.620003,73.32,74.139999,7507800,74.139999
2015-06-08,74.010002,74.379997,73.480003,73.650002,4937900,73.650002
2015-06-09,73.779999,74.18,73.43,73.800003,3633500,73.800003
2015-06-10,73.879997,74.25,73.379997,74.059998,4535000,74.059998
2015-06-11,74.18,74.330002,73.629997,74.110001,3743700,74.110001
2015-06-12,74.019997,74.400002,73.18,73.699997,3552400,73.699997
2015-06-15,73.639999,73.769997,72.559998,73.589996,3121500,73.589996
2015-06-16,72.889999,73.010002,71.580002,72.050003,8753500,72.050003
2015-06-17,72.239998,72.849998,71.18,71.230003,4491700,71.230003
2015-06-18,71.720001,72.989998,71.5,72.559998,5491800,72.559998
2015-06-19,72.339996,72.870003,71.440002,71.620003,10459800,71.620003
2015-06-22,71.949997,72.260002,71.330002,71.419998,2289100,71.419998
2015-06-23,71.980003,72.0,70.57,71.019997,3040600,71.019997
2015-06-24,71.019997,71.449997,70.599998,70.860001,4750800,70.860001
2015-06-25,70.900002,71.209999,69.849998,70.360001,2530800,70.360001
2015-06-26,70.68,70.860001,69.010002,69.059998,9251200,69.059998
2015-06-29,68.150002,68.989998,67.330002,67.629997,4020800,67.629997
2015-06-30,68.279999,68.459999,67.370003,67.860001,4672800,67.860001
2015-07-01,68.519997,69.760002,67.919998,69.699997,3595400,69.699997
2015-07-02,69.669998,70.410004,69.339996,70.120003,2574100,70.120003
2015-07-06,69.139999,73.900002,69.0,70.75,8299800,70.75
2015-07-07,71.209999,71.580002,69.599998,71.489998,4377300,71.489998
2015-07-08,71.220001,71.989998,68.889999,68.959999,4609200,68.959999
2015-07-09,69.709999,70.529999,68.639999,70.349998,4417700,70.349998
2015-07-10,71.370003,72.989998,70.629997,71.220001,5804400,71.220001
2015-07-13,71.599998,71.730003,70.110001,71.059998,4221800,71.059998
2015-07-14,71.080002,71.949997,70.5,71.419998,4323100,71.419998
2015-07-15,71.199997,71.419998,68.279999,70.059998,4503300,70.059998
2015-07-16,70.459999,70.809998,68.050003,68.440002,8371300,68.440002
2015-07-17,68.400002,69.010002,68.0,68.470001,5457700,68.470001
2015-07-20,68.32,68.449997,66.760002,66.980003,6750900,66.980003
2015-07-21,67.610001,67.610001,66.599998,67.209999,3688800,67.209999
2015-07-22,67.199997,68.089996,66.690002,67.900002,3492600,67.900002
2015-07-23,66.989998,68.040001,66.360001,66.559998,5788100,66.559998
2015-07-24,66.440002,67.339996,65.459999,65.940002,5386300,65.940002
2015-07-27,56.040001,57.580002,55.400002,56.369999,34543200,56.369999
2015-07-28,56.740002,57.0,53.810001,56.349998,17876400,56.349998
2015-07-29,56.5,58.049999,55.619999,57.240002,16199800,57.240002
2015-07-30,57.400002,57.599998,56.34,56.349998,9049100,56.349998
2015-07-31,56.48,56.639999,55.610001,55.990002,5640900,55.990002
2015-08-03,55.889999,56.73,54.98,55.200001,6919300,55.200001
2015-08-04,54.93,55.389999,53.889999,54.669998,7903000,54.669998
2015-08-05,55.0,55.16,54.099998,54.599998,8430600,54.599998
2015-08-06,55.349998,55.990002,52.59,55.400002,16214400,55.400002
2015-08-07,55.900002,56.41,55.16,56.349998,9934400,56.349998
2015-08-10,56.98,57.810001,56.82,57.529999,9656100,57.529999
2015-08-11,57.380001,57.77,56.419998,57.130001,7071000,57.130001
2015-08-12,56.25,56.84,54.23,55.360001,10441700,55.360001
2015-08-13,55.09,55.400002,54.169998,54.220001,5794600,54.220001
2015-08-14,56.0,56.130001,53.68,54.360001,6859100,54.360001
2015-08-17,54.369999,55.560001,54.049999,55.490002,6530700,55.490002
2015-08-18,55.66,56.439999,54.849998,55.75,9083500,55.75
2015-08-19,55.66,55.73,54.689999,55.09,6790900,55.09
2015-08-20,54.5,54.830002,53.02,53.029999,8020800,53.029999
2015-08-21,52.360001,53.139999,51.200001,51.5,8589100,51.5
2015-08-24,47.880001,51.259998,45.5,49.810001,10869300,49.810001
2015-08-25,51.98,52.040001,49.07,49.110001,8587300,49.110001
2015-08-26,50.23,51.419998,48.389999,51.130001,12172700,51.130001
2015-08-27,51.52,52.93,50.419998,51.490002,8263100,51.490002
2015-08-28,51.639999,51.93,49.82,50.369999,7615300,50.369999
2015-08-31,50.59,51.66,49.450001,49.59,5784900,49.59
2015-09-01,48.560001,49.66,47.900002,48.290001,6601900,48.290001
2015-09-02,49.0,49.43,47.599998,48.619999,6139700,48.619999
2015-09-03,49.049999,49.509998,47.240002,47.419998,6766800,47.419998
2015-09-04,46.73,48.389999,46.549999,48.049999,6034800,48.049999
2015-09-08,48.75,49.43,48.0,48.720001,6259700,48.720001
2015-09-09,48.98,49.34,47.41,47.560001,5545800,47.560001
2015-09-10,47.490002,48.259998,47.009998,47.799999,5993700,47.799999
2015-09-11,47.43,48.77,47.279999,48.650002,4578800,48.650002
2015-09-14,48.470001,49.07,48.27,49.060001,4711900,49.060001
2015-09-15,49.209999,50.07,48.950001,49.560001,5833500,49.560001
