Date,Open_FDX,High_FDX,Low_FDX,Close_FDX,Volume_FDX,AdjClose_FDX
2015-06-05,179.520004,183.029999,178.600006,182.240005,1940400,181.056172
2015-06-08,181.919998,182.0,179.639999,179.889999,1617700,178.721432
2015-06-09,179.949997,181.600006,179.0,180.369995,991300,179.198309
2015-06-10,180.339996,183.899994,179.690002,182.320007,1869400,181.135654
2015-06-11,184.289993,185.190002,182.839996,184.979996,1918600,183.778363
2015-06-12,184.050003,184.820007,182.759995,183.630005,1680000,182.437142
2015-06-15,182.529999,183.270004,181.449997,182.660004,1408000,181.473442
2015-06-16,182.020004,183.5,179.839996,182.130005,2428100,181.194887
2015-06-17,178.029999,178.880005,174.509995,176.729996,4032200,175.822603
2015-06-18,176.559998,180.190002,176.559998,178.389999,2986600,177.474084
2015-06-19,177.360001,178.339996,175.940002,175.940002,2448700,175.036666
2015-06-22,176.759995,177.649994,176.0,176.279999,1732600,175.374917
2015-06-23,176.699997,176.830002,174.660004,175.270004,1532500,174.370108
2015-06-24,175.0,175.779999,172.419998,173.419998,1750000,172.5296
2015-06-25,173.630005,174.020004,172.589996,172.800003,1527400,171.912788
2015-06-26,173.669998,174.110001,173.169998,173.660004,1678900,172.768373
2015-06-29,171.619995,173.119995,170.690002,171.020004,2335800,170.141929
2015-06-30,172.320007,172.839996,169.960007,170.399994,1551800,169.525102
2015-07-01,172.110001,172.460007,169.639999,169.809998,1412100,168.938135
2015-07-02,170.199997,171.350006,169.949997,171.130005,1182000,170.251365
2015-07-06,170.0,171.220001,167.889999,168.75,1945300,167.883579
2015-07-07,169.369995,170.729996,167.759995,170.339996,1754300,169.465412
2015-07-08,168.320007,169.979996,166.669998,166.990005,1338400,166.132621
2015-07-09,168.779999,169.800003,167.440002,167.710007,1321300,166.848926
2015-07-10,170.0,170.449997,167.880005,168.460007,1490300,167.595075
2015-07-13,169.690002,171.240005,169.160004,170.970001,1327400,170.092182
2015-07-14,171.0,171.889999,170.089996,171.240005,1207400,170.3608
2015-07-15,171.240005,171.979996,169.029999,169.130005,1389600,168.261633
2015-07-16,170.259995,170.509995,169.440002,169.490005,1043300,168.619785
2015-07-17,169.490005,170.809998,169.320007,170.229996,1394000,169.355976
2015-07-20,170.600006,170.600006,169.5,170.210007,1016600,169.33609
2015-07-21,170.399994,171.970001,169.949997,170.559998,933600,169.684284
2015-07-22,170.710007,171.0,167.589996,168.5,1311700,167.634863
2015-07-23,168.850006,168.889999,166.570007,166.860001,1076600,166.003284
