Date,Open_SWN,High_SWN,Low_SWN,Close_SWN,Volume_SWN,AdjClose_SWN
2015-06-05,24.370001,24.9,24.17,24.370001,5809100,24.370001
2015-06-08,24.49,24.76,24.049999,24.450001,5137800,24.450001
2015-06-09,24.77,25.459999,24.540001,24.559999,6469400,24.559999
2015-06-10,24.91,24.959999,24.0,24.34,7804400,24.34
2015-06-11,24.379999,24.4,23.82,23.84,5436900,23.84
2015-06-12,23.66,23.709999,22.950001,23.01,5923400,23.01
2015-06-15,22.92,23.25,22.73,23.02,6853500,23.02
2015-06-16,23.040001,23.709999,22.85,23.690001,10100700,23.690001
2015-06-17,23.93,24.07,23.08,23.41,9736200,23.41
2015-06-18,23.549999,23.780001,23.0,23.23,8863600,23.23
2015-06-19,22.98,23.42,22.98,23.35,10460000,23.35
2015-06-22,23.52,24.219999,23.219999,24.030001,10536200,24.030001
2015-06-23,24.16,24.620001,23.969999,24.32,8407200,24.32
2015-06-24,24.200001,24.459999,23.85,23.969999,4617200,23.969999
2015-06-25,24.040001,24.040001,23.34,23.370001,4830700,23.370001
2015-06-26,23.290001,23.34,23.0,23.32,10402800,23.32
2015-06-29,23.309999,23.43,22.4,22.49,8011400,22.49
2015-06-30,22.83,22.879999,22.559999,22.73,6077200,22.73
2015-07-01,22.73,22.84,21.940001,22.040001,4746800,22.040001
2015-07-02,22.09,22.67,22.01,22.17,3304500,22.17
2015-07-06,21.719999,22.02,21.379999,21.709999,5997700,21.709999
2015-07-07,21.58,22.110001,21.040001,22.07,6503200,22.07
2015-07-08,21.860001,22.15,20.889999,21.01,5207700,21.01
2015-07-09,21.540001,21.83,21.280001,21.33,7216900,21.33
2015-07-10,21.540001,21.690001,20.889999,20.92,5495000,20.92
2015-07-13,20.959999,21.6,20.9,21.540001,6484000,21.540001
2015-07-14,21.459999,22.26,21.41,22.129999,7849400,22.129999
2015-07-15,22.08,22.700001,21.799999,21.82,9762400,21.82
2015-07-16,21.93,22.200001,21.799999,21.92,7201500,21.92
2015-07-17,21.83,21.879999,21.030001,21.059999,11855000,21.059999
2015-07-20,20.860001,20.860001,19.73,19.809999,8442800,19.809999
2015-07-21,20.129999,20.73,20.1,20.43,9397400,20.43
2015-07-22,20.18,20.74,19.889999,19.940001,9231000,19.940001
2015-07-23,19.889999,20.049999,19.459999,19.75,16458900,19.75
2015-07-24,19.639999,19.67,18.5,18.549999,12633800,18.549999
2015-07-27,18.25,18.950001,18.16,18.33,11011400,18.33
2015-07-28,18.379999,20.07,17.6,19.57,19474000,19.57
2015-07-29,19.52,19.52,18.77,19.27,10100600,19.27
2015-07-30,19.17,19.559999,18.92,19.059999,7902700,19.059999
2015-07-31,18.83,19.08,18.57,18.6,7939400,18.6
2015-08-03,18.290001,18.5,17.530001,17.610001,8991400,17.610001
2015-08-04,18.01,18.01,16.98,17.18,10762700,17.18
2015-08-05,17.629999,17.85,16.51,16.57,9388400,16.57
2015-08-06,16.58,17.610001,16.200001,17.450001,8816500,17.450001
2015-08-07,17.299999,17.82,16.780001,16.9,5863300,16.9
2015-08-10,17.09,18.41,16.92,18.26,9595600,18.26
2015-08-11,18.26,18.26,17.48,18.110001,7470500,18.110001
2015-08-12,18.15,19.08,18.059999,18.49,11741800,18.49
2015-08-13,18.209999,18.33,17.629999,17.700001,8116500,17.700001
2015-08-14,17.77,18.09,17.18,17.219999,7708100,17.219999
2015-08-17,17.059999,17.59,16.959999,17.52,6115100,17.52
2015-08-18,17.43,17.77,17.309999,17.629999,4846500,17.629999
2015-08-19,17.49,17.67,16.950001,17.299999,6977400,17.299999
2015-08-20,17.25,17.35,16.58,16.59,6576200,16.59
2015-08-21,16.440001,16.76,16.280001,16.4,7002500,16.4
