Date,Open_CVX,High_CVX,Low_CVX,Close_CVX,Volume_CVX,AdjClose_CVX
2015-06-05,101.18,103.099998,100.989998,101.589996,6080900,96.850152
2015-06-08,101.290001,101.389999,99.949997,100.419998,8213900,95.734742
2015-06-09,100.699997,101.25,100.220001,100.419998,7157000,95.734742
2015-06-10,102.519997,102.580002,101.519997,101.830002,7588400,97.078959
2015-06-11,101.870003,102.199997,100.940002,101.120003,5582900,96.402086
2015-06-12,100.519997,100.690002,99.629997,99.870003,6475500,95.210407
2015-06-15,99.449997,100.059998,99.129997,99.290001,6178100,94.657466
2015-06-16,99.199997,100.449997,98.809998,100.040001,8763700,95.372474
2015-06-17,100.830002,101.169998,99.519997,99.760002,8231100,95.105539
2015-06-18,100.260002,100.900002,100.150002,100.25,7168000,95.572675
2015-06-19,99.720001,100.169998,99.459999,99.470001,10512000,94.829068
2015-06-22,99.830002,100.370003,99.370003,100.290001,6416100,95.61081
2015-06-23,99.959999,100.43,99.540001,100.089996,5697900,95.420137
2015-06-24,99.980003,100.68,99.269997,99.269997,7451900,94.638395
2015-06-25,99.449997,99.660004,98.290001,98.339996,6062800,93.751786
2015-06-26,98.239998,98.690002,97.809998,98.599998,10015500,93.999657
2015-06-29,97.5,97.959999,96.599998,96.690002,8764600,92.178775
2015-06-30,97.449997,97.660004,96.220001,96.470001,9925400,91.969038
2015-07-01,96.300003,96.620003,95.550003,96.089996,7295300,91.606763
2015-07-02,96.360001,96.669998,95.720001,95.870003,6419100,91.397034
2015-07-06,95.059998,95.559998,94.480003,94.769997,8341600,90.34835
2015-07-07,94.410004,95.480003,93.5,95.269997,11774900,90.825022
2015-07-08,94.589996,95.089996,93.260002,93.559998,7719100,89.194805
2015-07-09,94.900002,95.209999,93.760002,93.779999,7909000,89.404542
2015-07-10,94.529999,94.949997,94.07,94.410004,5631900,90.005153
2015-07-13,94.309998,94.889999,94.150002,94.599998,5038800,90.186283
2015-07-14,94.400002,95.790001,94.389999,95.550003,5218600,91.091964
2015-07-15,95.040001,95.699997,93.889999,94.239998,6490400,89.843079
2015-07-16,94.279999,94.730003,93.900002,94.480003,6422700,90.071887
2015-07-17,94.230003,94.389999,92.900002,93.150002,8214200,88.803938
2015-07-20,93.300003,93.489998,92.589996,92.940002,6006900,88.603737
2015-07-21,93.0,94.139999,93.0,93.900002,7043100,89.518946
2015-07-22,93.510002,94.330002,93.290001,93.510002,9327500,89.147143
2015-07-23,93.57,94.07,92.699997,92.940002,7360700,88.603737
2015-07-24,92.779999,92.779999,90.349998,90.599998,11158400,86.37291
2015-07-27,89.860001,90.089996,88.739998,89.139999,10342700,84.981029
2015-07-28,89.449997,92.690002,89.43,92.400002,11536900,88.088931
2015-07-29,91.980003,93.400002,91.440002,93.25,9821500,88.899271
2015-07-30,93.449997,93.809998,92.75,93.029999,6435700,88.689535
2015-07-31,91.519997,91.75,88.010002,88.480003,19063400,84.351826
2015-08-03,87.279999,87.330002,85.32,85.599998,14142200,81.606193
2015-08-04,85.739998,86.900002,84.68,85.209999,8537200,81.23439
2015-08-05,85.440002,86.0,83.870003,84.029999,11254600,80.109444
2015-08-06,83.559998,85.580002,82.889999,85.190002,9805000,81.215326
2015-08-07,84.709999,85.260002,83.43,83.75,7422000,79.842509
2015-08-10,84.199997,86.099998,83.879997,85.889999,8342000,81.882663
2015-08-11,84.379997,85.980003,83.599998,85.779999,9797400,81.777795
2015-08-12,85.0,87.110001,84.919998,86.790001,11316300,82.740674
2015-08-13,86.029999,86.339996,85.449997,85.849998,9562400,81.844529
2015-08-14,85.779999,86.419998,85.290001,85.989998,7748900,81.977996
2015-08-17,84.459999,84.510002,83.110001,83.230003,12602500,80.346548
2015-08-18,83.080002,83.769997,82.82,83.440002,9093400,80.549272
2015-08-19,82.870003,82.910004,80.669998,80.910004,13129000,78.106923
2015-08-20,80.660004,81.290001,79.239998,79.239998,11857200,76.494774
2015-08-21,78.870003,79.589996,75.709999,75.760002,18383600,73.13534
2015-08-24,70.550003,75.379997,69.580002,72.120003,24191900,69.621447
2015-08-25,74.93,75.019997,69.839996,70.019997,21128000,67.594194
2015-08-26,71.720001,73.099998,70.949997,73.089996,17400400,70.557835
2015-08-27,75.0,78.120003,74.559998,77.639999,21539600,74.950206
2015-08-28,77.720001,81.199997,77.580002,80.43,23735400,77.643549
2015-08-31,80.010002,81.080002,77.919998,80.989998,16880400,78.184146
2015-09-01,78.760002,79.389999,77.519997,78.190002,17954200,75.481155
2015-09-02,79.75,79.75,77.230003,78.059998,14255900,75.355654
2015-09-03,78.699997,79.419998,77.690002,78.260002,12282600,75.548729
2015-09-04,77.300003,77.629997,76.449997,76.669998,11210000,74.01381
2015-09-08,77.529999,77.559998,76.239998,76.839996,9316500,74.177919
2015-09-09,77.43,78.199997,74.75,74.919998,11297400,72.324438
2015-09-10,75.730003,75.800003,74.309998,75.660004,11475200,73.038806
2015-09-11,75.940002,76.25,75.089996,75.790001,11032100,73.1643
2015-09-14,75.519997,76.0,74.959999,75.769997,10235500,73.144989
2015-09-15,76.43,77.690002,76.209999,77.169998,11678100,74.496488
2015-09-16,77.82,79.209999,77.769997,79.019997,12593500,76.282394
2015-09-17,79.120003,80.470001,78.599998,79.410004,12324300,76.65889
2015-09-18,77.910004,78.699997,76.970001,77.739998,18635900,75.04674
2015-09-21,78.300003,78.730003,77.839996,78.089996,8523500,75.384613
2015-09-22,76.839996,77.690002,76.489998,77.25,9692300,74.573718
2015-09-23,77.400002,77.529999,75.760002,76.120003,9043000,73.482869
2015-09-24,75.449997,77.309998,75.099998,76.889999,10302600,74.22619
2015-09-25,77.870003,78.160004,76.919998,77.699997,10862600,75.008125
2015-09-28,76.660004,76.93,75.75,75.769997,10567000,73.144989
2015-09-29,76.040001,76.660004,75.279999,76.25,8797800,73.608363
2015-09-30,77.150002,79.019997,77.0,78.879997,14108800,76.147245
2015-10-01,79.720001,80.889999,77.809998,78.339996,11111900,75.625952
2015-10-02,77.739998,81.550003,77.309998,81.550003,13051900,78.72475
2015-10-05,82.410004,84.190002,82.349998,84.029999,14196800,81.118828
2015-10-06,84.18,87.629997,84.07,86.989998,18897100,83.976279
2015-10-07,88.25,89.510002,86.279999,88.120003,17670500,85.067136
2015-10-08,87.889999,90.139999,87.800003,89.910004,11299100,86.795123
2015-10-09,90.199997,90.400002,88.669998,89.57,10011100,86.466899
2015-10-12,89.860001,89.980003,87.870003,88.739998,7917500,85.665652
2015-10-13,87.800003,88.940002,87.290001,88.379997,8012500,85.318123
2015-10-14,88.230003,89.970001,87.709999,89.760002,9734500,86.650318
2015-10-15,89.650002,90.870003,88.440002,90.720001,8960400,87.577059
2015-10-16,91.550003,91.660004,90.019997,91.290001,7754600,88.127311
2015-10-19,90.360001,90.540001,89.220001,90.029999,8900400,86.910961
2015-10-20,89.5,90.489998,89.389999,89.989998,8221100,86.872346
2015-10-21,89.440002,90.629997,89.139999,89.330002,7423400,86.235215
2015-10-22,89.739998,91.809998,89.739998,91.620003,8971700,88.44588
2015-10-23,90.75,91.93,90.089996,91.239998,8134800,88.079041
2015-10-26,90.870003,90.879997,88.580002,88.769997,8606600,85.694611
2015-10-27,87.730003,87.959999,86.739998,87.699997,9328800,84.661681
2015-10-28,88.209999,90.120003,87.919998,89.790001,8236500,86.679278
2015-10-29,89.32,90.93,89.139999,89.889999,6686000,86.775812
2015-10-30,91.139999,91.980003,89.410004,90.879997,11559300,87.731512
2015-11-02,90.610001,95.279999,90.480003,94.959999,14277300,91.670165
2015-11-03,95.419998,98.639999,95.419998,98.139999,17669200,94.739996
2015-11-04,98.019997,98.099998,96.080002,96.769997,11931300,93.417456
2015-11-05,96.050003,96.550003,94.330002,94.550003,11184800,91.274373
2015-11-06,93.709999,94.07,91.760002,94.029999,9634200,90.772384
2015-11-09,93.480003,94.449997,92.099998,92.32,7659100,89.121626
2015-11-10,92.099998,93.5,91.839996,93.230003,6823100,90.000104
2015-11-11,93.389999,93.709999,91.860001,92.190002,6085300,88.996133
2015-11-12,90.75,91.150002,89.25,89.860001,8951300,86.746853
2015-11-13,89.57,89.970001,88.190002,88.68,7676600,85.607733
2015-11-16,87.790001,91.470001,87.790001,91.449997,10101100,89.359969
2015-11-17,91.269997,92.5,90.699997,91.029999,7575800,88.949569
2015-11-18,91.440002,92.75,91.029999,92.209999,6886900,90.102602
2015-11-19,92.029999,92.370003,90.43,90.830002,6096700,88.754143
