Date,Open_CNC,High_CNC,Low_CNC,Close_CNC,Volume_CNC,AdjClose_CNC
2015-06-05,72.900002,73.620003,72.099998,73.389999,1118500,73.389999
2015-06-08,73.760002,74.379997,73.169998,73.25,1170100,73.25
2015-06-09,73.18,73.309998,71.82,72.93,1067800,72.93
2015-06-10,73.400002,74.330002,72.839996,73.900002,1066600,73.900002
2015-06-11,74.699997,76.080002,74.610001,75.779999,1764800,75.779999
2015-06-12,75.089996,76.470001,74.800003,75.389999,1038600,75.389999
2015-06-15,75.279999,78.349998,74.940002,77.760002,1964200,77.760002
2015-06-16,77.870003,79.480003,77.82,79.220001,1460900,79.220001
2015-06-17,79.669998,80.0,78.25,78.489998,1012200,78.489998
2015-06-18,78.839996,79.940002,78.510002,79.07,1194000,79.07
2015-06-19,79.18,80.419998,78.660004,79.480003,3403900,79.480003
2015-06-22,80.68,81.470001,80.239998,80.330002,1077900,80.330002
2015-06-23,80.610001,80.839996,79.440002,79.889999,1192000,79.889999
2015-06-24,79.889999,80.080002,78.169998,78.32,926800,78.32
2015-06-25,78.669998,81.800003,78.309998,81.480003,1732400,81.480003
2015-06-26,81.870003,82.18,80.330002,80.360001,1386900,80.360001
2015-06-29,79.459999,81.010002,78.800003,80.489998,1283100,80.489998
2015-06-30,81.300003,81.739998,80.010002,80.400002,1218000,80.400002
2015-07-01,81.309998,81.699997,80.400002,80.900002,900300,80.900002
2015-07-02,82.800003,83.0,73.809998,74.440002,8725500,74.440002
2015-07-06,74.029999,74.050003,68.110001,69.839996,7521300,69.839996
2015-07-07,70.150002,71.480003,67.089996,70.220001,4232900,70.220001
2015-07-08,70.230003,72.279999,70.0,70.68,2439200,70.68
2015-07-09,71.760002,72.279999,70.809998,70.849998,2087100,70.849998
2015-07-10,71.25,73.050003,71.199997,72.910004,2172700,72.910004
2015-07-13,74.0,74.290001,72.190002,73.0,2228100,73.0
2015-07-14,73.110001,74.199997,72.510002,73.900002,2087400,73.900002
2015-07-15,74.68,75.690002,73.93,74.529999,2564500,74.529999
2015-07-16,75.389999,75.389999,73.25,74.620003,1322300,74.620003
2015-07-17,74.629997,75.459999,74.190002,75.169998,1138900,75.169998
2015-07-20,75.169998,75.209999,74.059998,74.599998,1302900,74.599998
2015-07-21,72.260002,72.849998,70.5,71.779999,2362500,71.779999
2015-07-22,71.730003,72.449997,71.209999,71.379997,1664700,71.379997
2015-07-23,72.0,72.209999,70.43,70.620003,1419600,70.620003
2015-07-24,70.760002,71.279999,68.440002,69.040001,1811900,69.040001
2015-07-27,69.279999,69.709999,68.790001,69.099998,2272700,69.099998
2015-07-28,70.290001,70.489998,67.440002,69.669998,3182700,69.669998
2015-07-29,69.980003,70.43,68.510002,69.209999,2207300,69.209999
2015-07-30,69.269997,70.080002,68.230003,69.93,1521800,69.93
2015-07-31,70.18,71.370003,69.690002,70.129997,1421900,70.129997
2015-08-03,70.459999,71.690002,70.300003,70.970001,1523400,70.970001
2015-08-04,70.940002,71.239998,70.010002,70.489998,1445400,70.489998
2015-08-05,71.010002,72.610001,70.849998,71.459999,1486400,71.459999
2015-08-06,71.82,71.879997,69.970001,70.489998,1714500,70.489998
2015-08-07,70.309998,71.550003,69.419998,71.510002,1484300,71.510002
2015-08-10,71.879997,72.089996,70.830002,71.690002,898500,71.690002
