Date,Open_BDX,High_BDX,Low_BDX,Close_BDX,Volume_BDX,AdjClose_BDX
2015-06-05,139.449997,140.169998,139.0,140.029999,996400,138.199433
2015-06-08,140.330002,140.940002,139.470001,139.570007,1048400,137.745455
2015-06-09,139.300003,139.729996,137.820007,137.929993,1305900,136.126879
2015-06-10,138.110001,140.279999,137.869995,140.050003,1498000,138.219176
2015-06-11,140.619995,141.289993,140.139999,140.860001,986400,139.018584
2015-06-12,140.279999,140.550003,139.539993,139.600006,990500,137.775061
2015-06-15,138.899994,139.740005,137.699997,138.580002,1332200,136.768391
2015-06-16,138.419998,139.479996,137.809998,139.240005,900900,137.419767
2015-06-17,139.75,140.149994,139.080002,139.759995,650700,137.932958
2015-06-18,140.059998,141.270004,140.059998,140.809998,942200,138.969235
2015-06-19,140.690002,142.389999,140.690002,141.830002,1950200,139.975905
2015-06-22,142.949997,143.529999,142.429993,142.970001,1210200,141.101002
2015-06-23,143.080002,143.839996,142.759995,143.169998,936400,141.298384
2015-06-24,142.809998,142.990005,141.699997,141.699997,1024400,139.8476
2015-06-25,141.789993,142.360001,141.089996,141.910004,908900,140.054861
2015-06-26,142.300003,142.509995,141.279999,142.039993,831300,140.183151
2015-06-29,142.5,143.75,141.720001,141.779999,1168200,139.926556
2015-06-30,143.0,143.0,141.330002,141.649994,1029700,139.79825
2015-07-01,143.059998,143.660004,142.160004,143.220001,995400,141.347733
2015-07-02,143.860001,143.979996,142.149994,143.179993,1116900,141.308248
2015-07-06,141.809998,143.539993,141.600006,142.649994,1410700,140.785178
2015-07-07,143.029999,143.490005,141.389999,143.240005,976600,141.367476
2015-07-08,142.539993,142.990005,140.770004,141.139999,1153200,139.294923
2015-07-09,142.740005,143.320007,141.789993,141.830002,699100,139.975905
2015-07-10,143.199997,144.919998,142.699997,144.270004,1129200,142.38401
2015-07-13,144.610001,146.070007,144.270004,145.949997,950800,144.042041
2015-07-14,146.300003,147.350006,145.789993,147.229996,827200,145.305307
2015-07-15,147.330002,147.990005,146.589996,146.75,766500,144.831586
2015-07-16,147.389999,148.330002,146.899994,148.0,624700,146.065245
2015-07-17,148.0,148.229996,147.279999,148.050003,575300,146.114594
2015-07-20,148.449997,148.449997,147.380005,148.160004,455700,146.223157
2015-07-21,147.990005,148.929993,146.809998,147.509995,862900,145.581645
2015-07-22,147.600006,148.309998,147.470001,148.009995,625900,146.075109
2015-07-23,148.179993,148.929993,147.529999,148.169998,714800,146.233021
