Date,Open_NTRS,High_NTRS,Low_NTRS,Close_NTRS,Volume_NTRS,AdjClose_NTRS
2015-06-05,74.720001,75.75,74.690002,75.25,1133300,73.703526
2015-06-08,75.139999,75.959999,75.089996,75.660004,1512200,74.105104
2015-06-09,75.510002,76.059998,75.209999,75.879997,977000,74.320576
2015-06-10,76.300003,77.510002,76.139999,77.260002,1245400,75.672221
2015-06-11,77.349998,77.629997,77.120003,77.5,865600,75.907286
2015-06-12,77.470001,77.709999,76.970001,77.589996,1451300,75.995433
2015-06-15,76.949997,77.599998,76.629997,77.239998,1195700,75.652627
2015-06-16,76.93,77.599998,76.93,77.330002,685000,75.740782
2015-06-17,77.550003,77.769997,76.830002,76.879997,1152300,75.300025
2015-06-18,77.370003,77.82,76.480003,77.699997,1442800,76.103173
2015-06-19,77.339996,77.860001,77.169998,77.559998,1728000,75.966051
2015-06-22,78.0,78.580002,77.809998,78.209999,979700,76.602694
2015-06-23,78.449997,78.879997,78.0,78.400002,856800,76.788792
2015-06-24,78.339996,78.610001,77.580002,77.709999,964300,76.11297
2015-06-25,78.099998,78.400002,77.370003,77.690002,899500,76.093384
2015-06-26,78.059998,78.849998,77.730003,78.639999,2107400,77.023857
2015-06-29,77.68,77.989998,76.139999,76.279999,1419300,74.712357
2015-06-30,77.0,77.440002,76.080002,76.459999,1265100,74.888659
2015-07-01,77.360001,77.57,76.519997,76.949997,909200,75.368586
2015-07-02,77.07,77.739998,75.690002,76.68,1145000,75.104138
2015-07-06,75.989998,76.18,75.489998,75.989998,742600,74.428316
2015-07-07,76.199997,76.360001,74.419998,75.870003,803100,74.310787
2015-07-08,75.309998,75.519997,73.919998,74.050003,1398900,72.528191
2015-07-09,74.809998,75.589996,74.459999,74.739998,988700,73.204005
2015-07-10,75.639999,76.720001,75.330002,76.379997,1989700,74.810301
2015-07-13,76.629997,77.300003,76.43,77.160004,922700,75.574277
2015-07-14,76.870003,77.379997,76.610001,77.239998,1108200,75.652627
2015-07-15,77.580002,77.970001,77.089996,77.709999,845500,76.11297
2015-07-16,78.239998,78.75,77.919998,78.660004,882900,77.043451
2015-07-17,78.440002,78.779999,77.529999,77.919998,947000,76.318653
2015-07-20,78.209999,78.669998,77.919998,78.339996,867600,76.73002
2015-07-21,78.260002,78.910004,77.610001,78.050003,1441300,76.445986
2015-07-22,77.260002,78.900002,77.129997,77.970001,2117400,76.367628
2015-07-23,78.300003,79.25,77.650002,78.0,1870300,76.397011
2015-07-24,77.989998,78.089996,76.849998,76.970001,997000,75.38818
2015-07-27,76.809998,76.839996,75.620003,75.769997,1045400,74.212836
2015-07-28,76.349998,76.650002,75.720001,76.5,984700,74.927837
2015-07-29,76.419998,77.050003,76.260002,76.75,830200,75.1727
2015-07-30,76.720001,77.389999,76.510002,77.260002,878400,75.672221
2015-07-31,77.849998,77.870003,76.379997,76.489998,883900,74.918041
2015-08-03,76.769997,77.019997,75.980003,76.620003,623900,75.045374
2015-08-04,76.519997,77.349998,76.199997,77.199997,1097100,75.613449
2015-08-05,77.699997,78.18,77.099998,77.209999,1005100,75.623245
2015-08-06,77.459999,77.849998,76.889999,77.150002,747900,75.564481
2015-08-07,77.360001,77.879997,76.900002,77.660004,895200,76.064002
2015-08-10,78.260002,78.699997,78.029999,78.529999,693300,76.916117
2015-08-11,77.980003,78.07,77.290001,77.669998,747100,76.073791
2015-08-12,76.739998,76.739998,75.160004,76.599998,1125000,75.025781
2015-08-13,76.790001,77.43,76.449997,76.989998,603200,75.407765
2015-08-14,76.839996,77.739998,76.839996,77.699997,669900,76.103173
2015-08-17,77.239998,77.970001,76.849998,77.629997,639900,76.034612
2015-08-18,77.419998,77.980003,77.290001,77.599998,602100,76.00523
2015-08-19,77.169998,78.209999,76.860001,77.339996,1479900,75.750571
2015-08-20,76.779999,76.809998,75.019997,75.029999,1024000,73.488046
2015-08-21,74.459999,74.610001,72.519997,72.519997,1563700,71.029628
2015-08-24,69.029999,70.349998,66.68,67.160004,4231400,65.779789
2015-08-25,68.980003,69.739998,65.169998,65.25,2943800,63.909038
2015-08-26,67.18,69.199997,65.669998,68.019997,2281800,66.622108
2015-08-27,68.919998,70.279999,68.919998,70.07,1623100,68.629981
2015-08-28,69.519997,70.190002,69.099998,70.139999,1025600,68.698542
2015-08-31,69.589996,70.129997,68.870003,69.839996,1729800,68.404704
2015-09-01,67.959999,68.57,67.260002,68.0,1901400,66.602522
2015-09-02,68.860001,69.82,67.800003,68.93,1239300,67.872735
2015-09-03,69.099998,70.400002,69.0,69.43,1126300,68.365066
2015-09-04,68.389999,68.760002,67.839996,68.279999,1159500,67.232704
2015-09-08,69.730003,70.620003,69.040001,70.550003,1184600,69.46789
2015-09-09,71.139999,71.75,69.519997,69.669998,976300,68.601383
2015-09-10,69.360001,70.25,68.790001,69.900002,1483300,68.827858
2015-09-11,69.470001,70.059998,69.0,70.029999,630900,68.955862
2015-09-14,69.989998,70.330002,69.709999,70.019997,1077000,68.946013
2015-09-15,70.139999,70.970001,69.870003,70.790001,715700,69.704207
2015-09-16,70.629997,70.900002,69.650002,70.790001,852400,69.704207
2015-09-17,70.940002,71.800003,69.209999,69.419998,1786200,68.355217
2015-09-18,68.449997,68.449997,66.910004,67.129997,2719300,66.100341
2015-09-21,67.769997,68.459999,67.32,68.389999,1430900,67.341017
2015-09-22,67.239998,67.889999,66.790001,67.339996,1106500,66.307119
2015-09-23,67.349998,68.050003,66.459999,67.489998,1172700,66.45482
2015-09-24,66.980003,67.269997,66.050003,67.120003,1225800,66.0905
2015-09-25,67.93,69.449997,67.889999,69.050003,1982800,67.990897
2015-09-28,68.480003,68.860001,67.0,67.150002,1848100,66.120039
2015-09-29,67.269997,67.410004,66.550003,67.25,937600,66.218503
2015-09-30,68.040001,68.25,67.330002,68.160004,1098800,67.114549
2015-10-01,68.139999,68.779999,67.440002,68.209999,1180700,67.163778
2015-10-02,67.080002,67.410004,64.769997,67.389999,1989100,66.356355
2015-10-05,67.949997,68.940002,67.779999,68.779999,1379100,67.725035
