Date,Open_ATVI,High_ATVI,Low_ATVI,Close_ATVI,Volume_ATVI,AdjClose_ATVI
2015-06-05,25.629999,25.83,25.549999,25.77,2612500,25.561985
2015-06-08,25.77,25.780001,25.23,25.440001,6261000,25.234648
2015-06-09,25.450001,25.879999,25.200001,25.52,7873400,25.314003
2015-06-10,25.5,25.6,25.15,25.5,5329200,25.294164
2015-06-11,25.08,25.389999,24.93,25.299999,13168900,25.095777
2015-06-12,25.25,25.440001,25.059999,25.4,8228100,25.19497
2015-06-15,25.26,25.27,24.48,24.540001,11421100,24.341914
2015-06-16,24.790001,24.9,24.65,24.74,8906500,24.540298
2015-06-17,24.879999,24.969999,24.68,24.870001,6207600,24.66925
2015-06-18,24.91,25.27,24.9,25.139999,7218100,24.937069
2015-06-19,25.190001,25.200001,24.879999,25.01,6717100,24.808119
2015-06-22,25.16,25.26,25.110001,25.23,4433300,25.026343
2015-06-23,25.24,25.469999,25.16,25.42,3777200,25.214809
2015-06-24,25.389999,25.559999,25.24,25.440001,6549000,25.234648
2015-06-25,25.459999,25.65,25.34,25.4,3254300,25.19497
2015-06-26,25.57,25.65,24.959999,25.040001,11468800,24.837878
2015-06-29,24.709999,24.870001,24.440001,24.49,4749700,24.292316
2015-06-30,24.65,24.68,24.15,24.209999,7165600,24.014576
2015-07-01,24.4,24.959999,24.32,24.73,8808500,24.530379
2015-07-02,24.700001,24.75,24.469999,24.629999,4763200,24.431185
2015-07-06,24.41,25.01,24.370001,24.82,3735300,24.619652
2015-07-07,25.01,25.25,24.370001,25.049999,7117100,24.847795
2015-07-08,24.84,25.15,24.75,24.799999,8784000,24.599813
2015-07-09,25.09,25.24,24.9,25.129999,9879800,24.927149
2015-07-10,25.370001,25.610001,25.23,25.360001,5420800,25.155294
2015-07-13,25.540001,25.889999,25.48,25.889999,6138100,25.681015
2015-07-14,25.82,26.209999,25.68,26.059999,9132000,25.849643
2015-07-15,25.940001,26.09,25.559999,25.77,5554700,25.561985
2015-07-16,25.889999,26.0,25.74,25.85,3601100,25.641339
2015-07-17,25.98,26.02,25.639999,25.809999,3550200,25.601661
2015-07-20,25.809999,26.41,25.76,26.25,6105300,26.03811
2015-07-21,26.25,26.450001,26.08,26.09,4711100,25.879401
2015-07-22,25.99,26.09,25.84,25.950001,3259600,25.740532
2015-07-23,25.950001,26.26,25.809999,25.940001,3524500,25.730612
2015-07-24,26.030001,26.27,25.84,26.18,5567600,25.968675
2015-07-27,26.040001,26.1,25.5,25.610001,8092700,25.403276
2015-07-28,25.799999,25.870001,25.379999,25.709999,4401200,25.502467
2015-07-29,25.620001,26.030001,25.5,25.98,3334400,25.770289
2015-07-30,25.85,26.18,25.709999,26.059999,5150600,25.849643
2015-07-31,26.040001,26.139999,25.66,25.790001,5169800,25.581824
2015-08-03,25.879999,25.99,25.33,25.52,5906600,25.314003
2015-08-04,25.57,25.84,25.440001,25.67,8484600,25.462791
2015-08-05,27.73,29.200001,27.68,28.709999,24987100,28.478251
2015-08-06,28.799999,29.08,28.49,28.709999,9293000,28.478251
2015-08-07,28.66,28.83,28.24,28.780001,6945200,28.547688
2015-08-10,28.879999,29.18,28.790001,28.809999,5999600,28.577445
2015-08-11,28.6,28.860001,28.27,28.459999,6280300,28.230269
2015-08-12,28.209999,28.76,27.82,28.66,8297900,28.428656
2015-08-13,28.57,29.059999,28.42,28.85,7351700,28.617123
2015-08-14,28.74,28.889999,28.469999,28.68,2596900,28.448495
2015-08-17,28.68,29.42,28.440001,29.299999,5885600,29.063489
2015-08-18,29.5,29.700001,29.09,29.219999,4312000,28.984135
2015-08-19,29.209999,29.34,28.76,28.98,4980300,28.746072
2015-08-20,28.639999,28.73,27.93,27.98,5904000,27.754144
2015-08-21,27.540001,27.77,27.17,27.219999,8386700,27.000279
2015-08-24,25.01,27.07,24.040001,26.16,8461300,25.948836
2015-08-25,27.35,27.35,26.030001,26.18,6895700,25.968675
2015-08-26,26.860001,27.41,26.16,27.290001,8077600,27.069716
2015-08-27,27.52,28.33,27.25,27.93,7476200,27.704549
2015-08-28,29.690001,30.0,28.91,29.219999,133082400,28.984135
2015-08-31,29.34,29.35,28.540001,28.629999,13981100,28.398897
2015-09-01,27.860001,28.280001,27.51,27.860001,12062800,27.635114
2015-09-02,28.75,28.77,27.99,28.370001,14410500,28.140998
2015-09-03,28.379999,29.040001,28.379999,28.6,10380600,28.369141
2015-09-04,28.209999,28.719999,27.969999,28.1,10456300,27.873177
2015-09-08,28.629999,28.889999,28.35,28.870001,8110700,28.636962
2015-09-09,29.1,29.24,28.620001,28.690001,6723900,28.458414
2015-09-10,28.51,29.26,28.35,29.059999,5553800,28.825427
2015-09-11,28.83,29.16,28.51,29.15,4479900,28.9147
2015-09-14,29.15,29.280001,28.98,29.209999,4787700,28.974215
2015-09-15,29.33,30.08,29.27,29.799999,8044600,29.559453
2015-09-16,29.799999,30.59,29.790001,30.52,8173600,30.273642
2015-09-17,30.370001,31.469999,30.370001,30.969999,10016800,30.720009
2015-09-18,30.610001,31.24,30.469999,31.1,11173100,30.848961
2015-09-21,31.110001,31.65,31.110001,31.52,8410300,31.26557
2015-09-22,31.26,31.459999,31.1,31.41,8119800,31.156458
2015-09-23,31.33,31.690001,31.0,31.620001,7788000,31.364764
2015-09-24,31.360001,31.700001,30.969999,31.49,9845100,31.235812
2015-09-25,31.709999,32.5,31.59,32.060001,12107900,31.801212
2015-09-28,32.220001,32.450001,31.200001,31.309999,12049300,31.057265
