Date,Open_BHI,High_BHI,Low_BHI,Close_BHI,Volume_BHI,AdjClose_BHI
2015-06-05,63.389999,65.029999,63.18,64.68,2867500,63.79053
2015-06-08,64.43,65.199997,63.990002,64.010002,1609700,63.129745
2015-06-09,64.599998,64.970001,63.990002,64.029999,1943100,63.149467
2015-06-10,64.82,65.580002,64.730003,65.089996,1966300,64.194888
2015-06-11,65.370003,65.370003,64.290001,64.400002,1253500,63.514381
2015-06-12,64.010002,64.529999,63.830002,64.129997,1432200,63.24809
2015-06-15,63.41,64.449997,63.18,63.779999,2752100,62.902905
2015-06-16,63.82,64.209999,63.400002,63.599998,3977000,62.72538
2015-06-17,64.379997,64.769997,63.599998,63.810001,2919500,62.932495
2015-06-18,64.169998,64.519997,62.169998,62.310001,6746600,61.453123
2015-06-19,61.830002,62.669998,61.330002,61.93,4032300,61.078347
2015-06-22,62.59,62.59,61.240002,62.41,3288900,61.551746
2015-06-23,62.060001,63.169998,61.990002,62.889999,4449600,62.025145
2015-06-24,62.599998,63.220001,62.580002,62.639999,2244400,61.778583
2015-06-25,62.459999,62.630001,61.919998,62.060001,1993800,61.206561
2015-06-26,61.84,61.990002,61.32,61.900002,3623200,61.048761
2015-06-29,61.18,61.73,61.02,61.110001,2159300,60.269624
2015-06-30,61.610001,61.889999,61.049999,61.700001,2788100,60.851511
2015-07-01,61.75,61.959999,59.48,60.009998,4174600,59.184749
2015-07-02,60.189999,60.68,59.830002,60.349998,2565100,59.520073
2015-07-06,59.209999,60.290001,59.009998,59.299999,3464700,58.484514
2015-07-07,59.09,60.75,58.529999,60.68,2986000,59.845537
2015-07-08,60.599998,60.630001,59.48,59.740002,5344200,58.918465
2015-07-09,60.669998,60.77,59.869999,60.150002,2561800,59.322827
2015-07-10,60.450001,60.66,59.669998,59.709999,2622200,58.888875
2015-07-13,59.639999,60.450001,59.41,60.299999,3525000,59.470762
2015-07-14,60.299999,61.459999,60.110001,61.130001,2610000,60.28935
2015-07-15,60.82,60.860001,59.48,59.5,4155300,58.681764
2015-07-16,59.950001,60.0,58.68,58.869999,2326200,58.060427
2015-07-17,58.57,59.099998,57.869999,58.32,3680700,57.517991
2015-07-20,58.880001,60.279999,58.880001,59.459999,4831900,58.642313
2015-07-21,59.459999,61.439999,59.360001,60.639999,4019600,59.806086
2015-07-22,60.41,61.700001,52.799999,58.279999,27297500,57.47854
2015-07-23,58.900002,59.75,58.490002,59.259998,4051000,58.445063
2015-07-24,59.450001,59.639999,58.400002,58.66,4466800,57.853315
2015-07-27,57.720001,58.360001,57.220001,57.740002,3354500,56.945969
2015-07-28,57.900002,58.630001,57.0,58.549999,2859700,57.744828
2015-07-29,58.060001,59.75,57.700001,59.669998,5948200,58.849424
2015-07-30,59.630001,60.169998,58.34,58.689999,2551500,57.882902
2015-07-31,58.490002,58.950001,58.119999,58.150002,2468800,57.350331
2015-08-03,57.490002,57.619999,55.400002,55.549999,5326400,54.786083
2015-08-04,55.889999,56.349998,54.959999,55.299999,4635100,54.539521
2015-08-05,55.779999,56.860001,55.66,56.330002,2869800,55.555359
2015-08-06,55.959999,56.75,55.389999,56.560001,2619200,55.782196
2015-08-07,56.0,56.759998,55.560001,55.720001,2289600,54.953747
2015-08-10,55.75,57.900002,55.59,57.830002,2825600,57.034731
2015-08-11,56.580002,57.709999,56.48,57.540001,2379800,56.748719
2015-08-12,57.32,59.009998,55.98,58.599998,3105300,57.794139
2015-08-13,58.189999,58.380001,56.860001,56.900002,2462100,56.11752
2015-08-14,56.790001,57.990002,56.790001,57.330002,2363800,56.541607
2015-08-17,57.040001,57.419998,56.549999,56.759998,2434100,55.979443
2015-08-18,56.779999,57.27,56.5,56.650002,1760200,55.870958
2015-08-19,56.040001,56.16,53.919998,54.09,4342000,53.346162
2015-08-20,53.759998,54.189999,51.349998,51.360001,5902200,50.653705
2015-08-21,51.189999,51.889999,49.439999,49.52,4832900,48.839008
2015-08-24,47.360001,48.66,44.110001,45.759998,7055800,45.130713
2015-08-25,47.5,48.889999,47.009998,47.740002,5486500,47.083488
2015-08-26,48.810001,49.34,47.700001,49.200001,4411500,48.523409
2015-08-27,50.349998,53.860001,50.049999,53.75,5948000,53.010837
2015-08-28,53.560001,55.049999,53.07,54.720001,4012600,53.967499
2015-08-31,54.139999,56.049999,53.450001,56.0,3728900,55.402016
2015-09-01,54.099998,55.330002,53.580002,54.380001,5127300,53.799316
2015-09-02,55.169998,55.220001,53.41,54.740002,2968500,54.155472
2015-09-03,54.759998,55.939999,54.32,54.82,5413000,54.234616
2015-09-04,53.959999,54.41,53.119999,53.259998,3728700,52.691273
2015-09-08,54.290001,54.43,53.380001,54.009998,4247700,53.433264
2015-09-09,54.5,55.110001,52.880001,52.990002,3346500,52.424159
2015-09-10,53.119999,54.330002,52.209999,53.68,3043500,53.10679
2015-09-11,53.68,53.68,52.209999,53.080002,4253400,52.513198
2015-09-14,52.639999,53.779999,52.549999,53.18,2735300,52.612129
2015-09-15,53.43,53.900002,53.040001,53.419998,1979300,52.849564
2015-09-16,53.669998,55.779999,53.57,55.66,2543200,55.065646
2015-09-17,55.57,56.139999,55.009998,55.290001,2220100,54.699598
2015-09-18,54.189999,54.450001,53.16,53.470001,4364500,52.899033
2015-09-21,54.299999,55.029999,53.48,54.73,5218400,54.145577
