Date,Open_HSY,High_HSY,Low_HSY,Close_HSY,Volume_HSY,AdjClose_HSY
2015-06-05,91.190002,91.339996,90.790001,90.870003,1371300,88.518468
2015-06-08,91.0,91.93,90.709999,91.57,964800,89.20035
2015-06-09,91.43,91.57,90.980003,91.07,857200,88.713289
2015-06-10,91.330002,91.900002,91.07,91.110001,931400,88.752255
2015-06-11,91.120003,91.370003,90.589996,90.760002,895000,88.411314
2015-06-12,90.620003,91.519997,90.279999,91.040001,1420800,88.684067
2015-06-15,90.68,91.470001,90.269997,90.860001,712900,88.508724
2015-06-16,90.82,92.650002,90.790001,92.099998,1075900,89.716634
2015-06-17,92.040001,92.900002,91.800003,92.470001,817700,90.077061
2015-06-18,92.660004,93.019997,92.190002,92.260002,1134300,89.872497
2015-06-19,90.370003,91.449997,88.709999,89.040001,5668100,86.735823
2015-06-22,89.540001,89.589996,88.779999,89.239998,2170300,86.930644
2015-06-23,89.349998,89.480003,89.099998,89.120003,1136100,86.813754
2015-06-24,89.099998,89.110001,88.18,88.239998,1236500,85.956522
2015-06-25,88.43,88.5,87.790001,87.860001,1395800,85.586358
2015-06-26,88.290001,88.870003,88.120003,88.550003,987500,86.258505
2015-06-29,87.809998,88.760002,87.800003,87.910004,1192200,85.635068
2015-06-30,88.440002,89.660004,88.080002,88.830002,1403200,86.531258
2015-07-01,89.209999,89.559998,88.519997,89.559998,1184300,87.242363
2015-07-02,89.809998,90.389999,89.599998,90.040001,1253500,87.709945
2015-07-06,89.690002,89.93,88.25,88.919998,1019200,86.618925
2015-07-07,89.209999,91.419998,88.949997,91.290001,1592500,88.927597
2015-07-08,90.900002,91.18,90.040001,90.370003,954400,88.031407
2015-07-09,91.199997,91.43,90.620003,90.809998,1155600,88.460015
2015-07-10,92.150002,92.389999,91.120003,91.870003,1164900,89.49259
2015-07-13,92.0,92.470001,91.739998,92.129997,738900,89.745856
2015-07-14,92.209999,92.900002,92.160004,92.43,766200,90.038096
2015-07-15,92.419998,92.449997,91.519997,91.68,813700,89.307504
2015-07-16,92.330002,92.529999,91.980003,92.32,641500,89.930942
2015-07-17,91.720001,91.75,90.959999,91.510002,618900,89.141905
2015-07-20,91.510002,91.599998,91.089996,91.330002,570100,88.966563
2015-07-21,91.379997,91.379997,90.370003,90.720001,783800,88.372348
2015-07-22,90.730003,91.339996,90.519997,91.089996,575700,88.732768
2015-07-23,90.970001,91.309998,90.489998,90.650002,428700,88.30416
2015-07-24,90.300003,90.480003,89.75,90.199997,538000,87.8658
2015-07-27,89.949997,91.07,89.5,90.669998,721400,88.323639
2015-07-28,91.040001,92.040001,90.739998,92.019997,767500,89.638702
2015-07-29,92.089996,92.629997,91.709999,92.5,614200,90.106284
2015-07-30,92.43,93.010002,92.129997,92.860001,714200,90.456968
2015-07-31,93.139999,93.339996,92.779999,92.889999,1217600,90.486191
2015-08-03,92.879997,92.889999,91.839996,92.519997,859700,90.125763
2015-08-04,92.419998,92.900002,92.169998,92.800003,889200,90.398523
2015-08-05,91.599998,93.010002,91.099998,92.660004,1449800,90.262147
2015-08-06,92.809998,93.190002,91.480003,92.199997,2026800,89.814044
2015-08-07,90.839996,91.300003,88.040001,89.730003,1997000,87.407969
2015-08-10,90.160004,92.449997,90.160004,91.809998,1496300,89.434137
2015-08-11,91.43,91.720001,90.800003,91.440002,813700,89.073717
2015-08-12,91.040001,92.290001,90.290001,92.260002,991100,89.872497
2015-08-13,91.870003,92.019997,90.459999,90.480003,952700,88.138561
2015-08-14,90.540001,91.449997,90.269997,91.349998,835600,88.986042
2015-08-17,91.089996,92.510002,90.800003,92.309998,1244200,89.921198
2015-08-18,92.300003,93.699997,92.0,93.440002,2055500,91.021961
2015-08-19,92.610001,93.230003,91.599998,92.080002,1474300,89.697154
2015-08-20,91.230003,92.540001,91.199997,91.589996,1230800,89.219829
2015-08-21,90.629997,90.959999,89.370003,89.519997,1873800,87.762029
2015-08-24,86.190002,86.589996,82.410004,86.470001,2255700,84.771929
2015-08-25,87.709999,88.18,85.050003,85.129997,1457500,83.45824
2015-08-26,86.370003,88.360001,85.93,88.190002,1459400,86.458153
2015-08-27,88.959999,90.629997,88.830002,90.239998,1488800,88.467892
2015-08-28,90.099998,90.480003,89.510002,90.199997,1180700,88.428676
2015-08-31,89.720001,89.870003,89.209999,89.519997,909600,87.762029
