Date,Open_TXN,High_TXN,Low_TXN,Close_TXN,Volume_TXN,AdjClose_TXN
2015-06-05,53.98,54.259998,53.580002,53.790001,3650400,52.345169
2015-06-08,53.669998,53.720001,52.709999,52.82,4795400,51.401223
2015-06-09,52.84,53.290001,52.439999,52.919998,4414300,51.498536
2015-06-10,53.139999,54.389999,52.919998,54.189999,6930600,52.734423
2015-06-11,54.169998,54.259998,53.57,53.639999,4711200,52.199197
2015-06-12,53.349998,53.509998,52.990002,53.009998,4174100,51.586118
2015-06-15,52.450001,53.110001,52.32,53.049999,4895300,51.625045
2015-06-16,52.91,53.200001,52.66,53.09,2702200,51.663971
2015-06-17,53.310001,53.529999,52.869999,53.290001,3465700,51.8586
2015-06-18,53.48,54.369999,53.34,54.220001,5911000,52.76362
2015-06-19,54.25,54.59,53.540001,54.509998,9948600,53.045827
2015-06-22,54.619999,55.52,54.619999,55.5,9503400,54.009237
2015-06-23,55.310001,55.599998,54.709999,54.830002,5055800,53.357235
2015-06-24,54.650002,54.810001,53.93,53.990002,4203500,52.539798
2015-06-25,54.23,54.419998,53.740002,53.799999,3759600,52.354899
2015-06-26,53.389999,53.75,52.43,52.900002,7860300,51.479076
2015-06-29,52.560001,52.66,51.470001,51.52,6566400,50.136143
2015-06-30,51.98,51.990002,51.299999,51.509998,5260600,50.126409
2015-07-01,52.150002,52.310001,51.759998,51.91,9820200,50.515666
2015-07-02,52.189999,52.240002,51.77,51.970001,3642400,50.574056
2015-07-06,51.450001,52.009998,51.060001,51.389999,4251200,50.009633
2015-07-07,51.310001,51.459999,49.98,51.209999,8205800,49.834468
2015-07-08,50.619999,50.689999,49.459999,49.529999,11806400,48.199594
2015-07-09,50.049999,50.400002,48.09,48.110001,22612200,46.817737
2015-07-10,48.93,49.27,48.599998,49.009998,8448900,47.693561
2015-07-13,49.200001,49.549999,49.0,49.330002,4937600,48.004969
2015-07-14,49.389999,50.0,49.310001,49.759998,6500100,48.423415
2015-07-15,49.23,49.799999,49.150002,49.490002,5461600,48.160671
2015-07-16,49.48,49.650002,48.779999,49.360001,7401200,48.034162
2015-07-17,49.27,49.450001,48.77,49.360001,7021300,48.034162
2015-07-20,51.060001,51.060001,49.830002,50.09,8876900,48.744553
2015-07-21,50.029999,51.080002,49.900002,50.23,10632900,48.880792
2015-07-22,48.299999,49.639999,48.0,49.299999,15381500,47.975772
2015-07-23,49.84,51.259998,49.59,50.509998,13271800,49.15327
2015-07-24,50.48,50.560001,48.880001,49.029999,10960300,47.713024
2015-07-27,48.880001,49.360001,48.470001,49.029999,9394200,47.713024
2015-07-28,49.150002,50.57,48.849998,50.080002,7636600,48.734823
2015-07-29,49.720001,50.200001,49.18,49.959999,6855300,48.950375
2015-07-30,49.59,50.43,49.5,50.240002,5629400,49.224719
2015-07-31,50.380001,50.380001,49.810001,49.98,7466900,48.969971
2015-08-03,50.080002,50.240002,49.700001,50.09,5325800,49.077749
2015-08-04,50.18,50.369999,49.380001,49.84,5746600,48.832801
2015-08-05,50.110001,51.119999,50.07,50.860001,7238800,49.832188
2015-08-06,50.759998,50.91,49.84,50.25,6055900,49.234515
2015-08-07,49.830002,50.380001,49.66,50.32,5324400,49.3031
2015-08-10,52.240002,52.450001,51.049999,52.080002,10496600,51.027535
2015-08-11,51.540001,51.549999,50.34,50.639999,8013000,49.616633
2015-08-12,50.189999,51.360001,49.799999,51.110001,7268100,50.077136
2015-08-13,51.16,51.310001,50.529999,50.630001,4007500,49.606837
2015-08-14,50.5,50.84,50.060001,50.639999,4536700,49.616633
2015-08-17,50.450001,51.029999,50.18,50.900002,3364000,49.871381
2015-08-18,50.459999,50.77,49.669998,49.91,6978500,48.901386
2015-08-19,50.130001,50.150002,49.049999,49.200001,6906300,48.205735
2015-08-20,48.650002,48.779999,47.369999,47.43,10206500,46.471504
2015-08-21,46.959999,47.630001,45.959999,45.959999,12109500,45.031209
2015-08-24,45.02,47.040001,43.75,44.889999,15487000,43.982833
2015-08-25,46.02,46.32,43.490002,43.52,14458300,42.64052
2015-08-26,44.830002,45.470001,43.75,45.41,19075800,44.492325
2015-08-27,45.779999,47.150002,45.5,47.060001,9822000,46.108982
2015-08-28,46.84,48.0,46.5,47.990002,8242700,47.020188
2015-08-31,47.75,48.439999,47.310001,47.84,10145900,46.873218
2015-09-01,46.400002,47.57,46.009998,46.34,13136100,45.403531
2015-09-02,47.240002,47.349998,46.41,47.349998,6012600,46.393119
2015-09-03,47.669998,48.02,47.279999,47.459999,5289100,46.500896
2015-09-04,46.689999,47.189999,46.41,46.529999,6603400,45.58969
2015-09-08,47.630001,48.759998,47.540001,48.689999,7993000,47.706039
2015-09-09,49.02,49.630001,47.470001,47.610001,8250100,46.647866
2015-09-10,47.360001,47.959999,46.900002,47.41,8543100,46.451907
2015-09-11,47.200001,47.630001,46.82,47.57,6567300,46.608674
2015-09-14,47.869999,48.0,47.549999,47.830002,4750800,46.863422
2015-09-15,48.0,48.740002,47.66,48.299999,7104300,47.323921
2015-09-16,48.330002,48.77,47.799999,48.700001,4624500,47.715839
2015-09-17,48.630001,49.029999,48.09,48.150002,5693500,47.176955
2015-09-18,47.75,48.639999,47.099998,47.799999,17206500,46.834025
2015-09-21,47.869999,48.080002,47.049999,47.450001,6105200,46.4911
2015-09-22,46.68,46.990002,46.279999,46.610001,6161600,45.668075
2015-09-23,46.610001,46.799999,46.27,46.580002,4335300,45.638683
2015-09-24,46.169998,46.919998,45.330002,46.75,8535000,45.805245
2015-09-25,47.02,47.549999,46.799999,47.169998,8924200,46.216756
2015-09-28,47.049999,47.439999,46.880001,46.950001,10728200,46.001204
2015-09-29,47.16,47.610001,46.790001,47.529999,7413600,46.569481
2015-09-30,48.09,49.549999,47.919998,49.52,9120400,48.519268
2015-10-01,49.84,49.869999,47.889999,48.439999,10007400,47.461091
2015-10-02,47.779999,48.790001,47.119999,48.77,8229700,47.784424
2015-10-05,49.130001,50.41,49.0,50.130001,6812500,49.116941
2015-10-06,50.130001,50.639999,49.23,50.459999,5796400,49.44027
2015-10-07,51.0,51.599998,50.310001,51.040001,7065300,50.008551
2015-10-08,50.68,51.540001,50.360001,51.52,6431500,50.47885
2015-10-09,51.349998,51.759998,50.639999,50.869999,5720100,49.841985
2015-10-12,50.73,51.419998,50.560001,51.34,4075300,50.302488
2015-10-13,50.990002,51.419998,50.810001,50.91,7162000,49.881177
2015-10-14,51.110001,53.150002,51.029999,52.650002,10558500,51.586016
2015-10-15,52.950001,53.099998,52.310001,52.43,7153400,51.37046
2015-10-16,52.290001,52.66,52.0,52.57,5653200,51.507631
2015-10-19,52.560001,52.93,52.240002,52.639999,5701700,51.576216
2015-10-20,52.450001,52.599998,52.18,52.43,5666900,51.37046
