Date,Open_STX,High_STX,Low_STX,Close_STX,Volume_STX,AdjClose_STX
2015-06-05,54.240002,54.540001,53.779999,54.43,2500900,50.342664
2015-06-08,54.27,54.34,52.669998,53.040001,3769500,49.057044
2015-06-09,53.169998,53.209999,52.23,52.619999,4191500,48.668582
2015-06-10,53.080002,53.91,52.759998,53.59,3034800,49.565742
2015-06-11,53.830002,54.5,53.509998,54.299999,2895600,50.222425
2015-06-12,53.91,54.310001,53.41,53.549999,2264700,49.528745
2015-06-15,53.220001,53.77,52.77,53.369999,3213600,49.362262
2015-06-16,53.200001,53.52,53.049999,53.200001,2639300,49.205029
2015-06-17,53.18,53.689999,52.779999,53.18,2008200,49.186531
2015-06-18,53.290001,54.220001,53.02,54.139999,2252300,50.07444
2015-06-19,54.029999,54.16,53.25,53.349998,4805300,49.343763
2015-06-22,53.689999,54.0,53.330002,53.869999,1853500,49.824715
2015-06-23,53.799999,53.990002,52.09,52.290001,5030400,48.363364
2015-06-24,52.27,52.490002,51.630001,51.970001,3168400,48.067395
2015-06-25,51.919998,51.919998,50.369999,50.689999,5463700,46.883512
2015-06-26,50.0,50.990002,49.509998,50.060001,6308500,46.300823
2015-06-29,48.970001,50.0,48.619999,49.02,6360400,45.33892
2015-06-30,49.59,49.59,47.419998,47.5,7949600,43.933061
2015-07-01,47.869999,48.110001,46.84,47.57,5134900,43.997804
2015-07-02,47.810001,48.810001,47.650002,48.150002,4713700,44.534252
2015-07-06,47.48,47.68,46.709999,47.02,4603800,43.489106
2015-07-07,47.040001,47.970001,45.720001,47.82,6126800,44.229031
2015-07-08,47.540001,47.630001,46.060001,46.400002,4723200,42.915665
2015-07-09,47.130001,47.279999,46.040001,46.040001,2672200,42.582698
2015-07-10,46.560001,46.689999,45.560001,45.950001,3489500,42.499457
2015-07-13,45.240002,46.880001,44.459999,46.279999,8885300,42.804674
2015-07-14,46.630001,47.98,46.52,47.610001,6537000,44.034801
2015-07-15,47.84,48.5,47.040001,47.299999,5312900,43.748079
2015-07-16,47.360001,48.34,47.349998,47.900002,4873600,44.303025
2015-07-17,47.900002,48.650002,47.310001,48.150002,6084800,44.534252
2015-07-20,48.25,48.25,47.009998,47.73,5942700,44.145789
2015-07-21,47.75,48.610001,47.709999,48.110001,3694100,44.497255
2015-07-22,47.98,49.200001,47.240002,49.060001,7763600,45.375917
2015-07-23,47.330002,49.200001,46.77,48.009998,8724200,44.404762
2015-07-24,48.18,48.240002,46.82,47.32,5298900,43.766578
2015-07-27,47.139999,48.23,46.639999,47.91,4880500,44.312273
2015-07-28,48.099998,48.98,47.779999,48.869999,4486600,45.200182
2015-07-29,48.75,49.59,48.32,49.419998,4949500,45.70888
2015-07-30,50.380001,51.77,50.220001,51.290001,7974300,47.438458
2015-07-31,51.09,52.880001,50.110001,50.599998,8155300,46.80027
2015-08-03,50.790001,51.689999,50.610001,51.459999,4790600,47.59569
2015-08-04,51.240002,51.84,50.830002,51.389999,4558700,47.530947
2015-08-05,51.419998,52.09,50.950001,51.860001,5239500,47.965654
2015-08-06,51.970001,52.48,51.259998,51.32,3895800,47.466204
2015-08-07,50.759998,51.0,49.450001,49.490002,5325400,46.260391
