Date,Open_DLPH,High_DLPH,Low_DLPH,Close_DLPH,Volume_DLPH,AdjClose_DLPH
2015-06-05,87.290001,87.639999,86.919998,87.32,2101900,85.998428
2015-06-08,87.080002,87.730003,86.790001,86.839996,1445800,85.525689
2015-06-09,87.160004,87.580002,86.25,86.57,1405500,85.259779
2015-06-10,86.860001,88.449997,86.660004,88.300003,1303300,86.963599
2015-06-11,88.660004,88.669998,87.620003,87.760002,1418100,86.431771
2015-06-12,87.699997,88.0,87.220001,87.57,1296700,86.244644
2015-06-15,87.360001,87.949997,86.82,87.309998,1707100,85.988577
2015-06-16,87.57,88.010002,86.82,87.669998,1533200,86.343129
2015-06-17,87.860001,89.110001,87.830002,88.839996,1922200,87.49542
2015-06-18,88.989998,89.720001,88.059998,89.050003,1690100,87.702248
2015-06-19,88.769997,89.879997,88.470001,89.160004,6052300,87.810584
2015-06-22,90.57,90.57,88.709999,88.830002,1991600,87.485577
2015-06-23,89.32,89.32,88.160004,88.540001,3199300,87.199965
2015-06-24,88.459999,88.779999,87.220001,87.919998,2715700,86.589346
2015-06-25,88.739998,89.629997,88.199997,88.739998,1924700,87.396935
2015-06-26,88.730003,88.849998,87.900002,88.610001,12230000,87.268905
2015-06-29,87.209999,87.830002,84.139999,84.529999,3760600,83.250653
2015-06-30,85.019997,85.519997,84.269997,85.089996,3097900,83.802175
2015-07-01,85.480003,86.059998,85.260002,86.0,1835900,84.698406
2015-07-02,86.07,86.309998,85.18,85.989998,2010500,84.688555
2015-07-06,85.150002,86.110001,84.260002,84.809998,2497100,83.526414
2015-07-07,84.910004,84.910004,82.32,84.040001,3283500,82.768071
2015-07-08,82.309998,82.43,78.080002,78.230003,6163000,77.046007
2015-07-09,81.68,81.68,77.800003,77.940002,4182600,76.760395
2015-07-10,79.25,79.559998,78.800003,79.199997,4100400,78.00132
2015-07-13,80.029999,80.629997,79.360001,79.989998,2762900,78.779364
2015-07-14,79.839996,80.459999,79.760002,80.220001,1847700,79.005887
2015-07-15,80.239998,80.720001,79.919998,80.720001,2044000,79.498319
2015-07-16,80.209999,80.260002,76.760002,76.800003,4812600,75.637649
2015-07-17,76.849998,78.010002,75.919998,77.940002,3221700,76.760395
2015-07-20,77.669998,78.239998,76.970001,78.07,3706500,76.888425
2015-07-21,78.010002,78.480003,77.739998,78.379997,2313900,77.193731
2015-07-22,78.150002,78.370003,77.239998,77.5,1748400,76.327052
2015-07-23,78.0,78.809998,77.57,77.82,3058300,76.642209
2015-07-24,78.660004,79.150002,77.139999,77.360001,1966500,76.189172
2015-07-27,76.57,76.739998,74.940002,75.370003,2478900,74.229292
2015-07-28,75.279999,77.75,75.269997,77.349998,2650700,76.179321
2015-07-29,77.470001,78.510002,77.349998,78.400002,2432200,77.213432
2015-07-30,76.580002,78.260002,75.900002,77.5,3034500,76.327052
2015-07-31,79.010002,79.190002,77.120003,78.080002,3300800,76.898276
2015-08-03,78.389999,78.550003,76.849998,77.160004,1815500,75.992202
2015-08-04,77.190002,78.440002,77.129997,77.82,2007200,76.642209
2015-08-05,78.300003,78.610001,77.230003,77.489998,1903300,76.317201
2015-08-06,77.709999,78.139999,76.669998,77.370003,2078700,76.199022
2015-08-07,77.699997,80.0,77.440002,79.190002,2677400,77.991477
2015-08-10,80.769997,81.629997,79.82,81.160004,2486400,80.1848
2015-08-11,79.480003,79.620003,77.32,77.709999,2955500,76.77625
2015-08-12,76.82,76.82,74.669998,76.330002,2970500,75.412834
2015-08-13,76.010002,77.870003,75.889999,77.029999,3033300,76.10442
2015-08-14,77.160004,77.190002,75.980003,76.220001,2469100,75.304155
2015-08-17,76.089996,77.75,75.830002,77.720001,1575600,76.786132
2015-08-18,77.989998,78.349998,77.529999,77.849998,1707200,76.914567
2015-08-19,77.559998,77.82,76.489998,77.0,1798900,76.074782
2015-08-20,76.0,76.790001,74.540001,74.610001,1890200,73.7135
2015-08-21,73.660004,74.589996,71.970001,72.07,3124200,71.20402
2015-08-24,68.610001,72.970001,66.269997,70.519997,3915500,69.672641
2015-08-25,73.120003,73.790001,70.169998,70.230003,2575800,69.386132
2015-08-26,72.330002,73.540001,71.139999,73.470001,2515200,72.587199
2015-08-27,74.290001,75.970001,73.519997,75.029999,3251200,74.128452
2015-08-28,74.790001,75.790001,74.639999,75.349998,1950100,74.444606
2015-08-31,75.400002,76.940002,75.209999,75.519997,2033500,74.612562
2015-09-01,73.589996,74.360001,71.550003,72.029999,2403700,71.164499
2015-09-02,72.900002,73.089996,71.529999,72.779999,1691300,71.905487
2015-09-03,73.300003,74.519997,72.830002,73.260002,1427000,72.379723
2015-09-04,71.839996,72.510002,71.0,72.010002,1677800,71.144743
2015-09-08,78.339996,78.339996,72.510002,75.550003,2164500,74.642208
2015-09-09,76.43,78.349998,75.489998,75.669998,1855900,74.760761
2015-09-10,75.43,75.660004,73.82,75.239998,2471000,74.335928
2015-09-11,75.139999,76.410004,74.110001,76.400002,2142100,75.481993
2015-09-14,76.389999,76.699997,75.989998,76.330002,1392200,75.412834
2015-09-15,76.239998,77.529999,76.199997,77.190002,2058700,76.262501
2015-09-16,77.5,79.830002,77.389999,79.639999,2045600,78.68306
2015-09-17,79.449997,80.349998,78.860001,79.209999,2262700,78.258226
2015-09-18,78.019997,78.510002,77.129997,77.650002,3309800,76.716973
2015-09-21,78.18,78.18,76.370003,77.230003,1712400,76.302022
2015-09-22,76.360001,76.370003,73.07,74.440002,3516100,73.545545
2015-09-23,75.010002,75.010002,73.169998,74.099998,1446700,73.209626
2015-09-24,72.519997,73.489998,71.07,72.879997,2402000,72.004284
2015-09-25,73.830002,74.110001,72.93,73.260002,1852500,72.379723
2015-09-28,72.43,72.489998,70.18,70.370003,1821300,69.524449
2015-09-29,70.559998,73.110001,69.580002,72.940002,3040100,72.063569
2015-09-30,74.599998,76.129997,74.389999,76.040001,2620200,75.126318
2015-10-01,76.470001,77.559998,75.18,77.440002,2810100,76.509497
2015-10-02,76.029999,78.040001,75.760002,77.980003,1874100,77.04301
2015-10-05,78.620003,79.0,77.709999,78.629997,1806400,77.685193
2015-10-06,78.830002,78.980003,77.769997,78.059998,1743200,77.122043
2015-10-07,78.620003,79.959999,78.559998,79.739998,1880200,78.781856
2015-10-08,79.5,81.550003,79.360001,80.900002,2410900,79.927922
2015-10-09,81.300003,82.419998,81.0,81.889999,1975700,80.906024
2015-10-12,81.269997,82.480003,81.099998,81.779999,1175000,80.797345
2015-10-13,81.669998,81.870003,79.709999,79.839996,2158000,78.880653
2015-10-14,79.809998,80.68,79.190002,80.160004,1558200,79.196816
2015-10-15,80.82,80.970001,79.669998,80.82,1444200,79.848881
2015-10-16,81.010002,81.129997,79.559998,81.099998,1993400,80.125516
2015-10-19,80.790001,81.599998,80.400002,81.57,1621700,80.589869
2015-10-20,81.620003,83.080002,81.169998,82.269997,2059900,81.281455
2015-10-21,82.959999,83.050003,81.660004,81.910004,1367300,80.925788
2015-10-22,82.25,84.650002,81.900002,84.550003,2647200,83.534065
2015-10-23,84.019997,85.25,84.019997,85.059998,2479800,84.037932
2015-10-26,84.809998,85.089996,84.160004,85.029999,1920600,84.008294
2015-10-27,84.540001,85.010002,84.080002,84.279999,2512500,83.267306
2015-10-28,84.720001,86.190002,83.830002,86.160004,2940100,85.124721
2015-10-29,84.519997,84.519997,79.970001,80.040001,4875700,79.078255
2015-10-30,80.18,83.639999,80.18,83.190002,3669400,82.190406
2015-11-02,83.589996,84.650002,82.790001,84.419998,1789700,83.405623
2015-11-03,84.07,84.389999,82.370003,83.419998,1870200,82.417639
