Date,Open_AON,High_AON,Low_AON,Close_AON,Volume_AON,AdjClose_AON
2015-06-05,101.139999,101.790001,100.580002,100.970001,714300,99.687247
2015-06-08,100.720001,101.190002,100.43,100.470001,643900,99.193599
2015-06-09,100.5,101.07,100.379997,100.610001,642200,99.33182
2015-06-10,100.790001,102.599998,100.620003,102.389999,832700,101.089205
2015-06-11,102.410004,103.300003,102.260002,103.190002,942600,101.879044
2015-06-12,103.110001,103.410004,102.150002,102.230003,1569300,100.931241
2015-06-15,101.43,102.669998,101.330002,102.559998,1092700,101.257043
2015-06-16,102.389999,103.510002,102.230003,103.360001,927400,102.046883
2015-06-17,103.699997,104.199997,102.989998,103.720001,937600,102.40231
2015-06-18,104.110001,104.699997,103.800003,104.519997,1082600,103.192142
2015-06-19,104.309998,104.459999,102.989998,102.989998,1495100,101.681581
2015-06-22,103.440002,103.949997,103.32,103.690002,706200,102.372692
2015-06-23,103.730003,104.139999,103.580002,104.010002,892900,102.688627
2015-06-24,103.720001,103.93,103.410004,103.540001,1171300,102.224596
2015-06-25,104.0,104.0,103.040001,103.050003,794400,101.740824
2015-06-26,103.459999,103.5,102.580002,102.75,1996300,101.444632
2015-06-29,102.0,102.330002,99.970001,100.050003,1020900,98.778937
2015-06-30,101.059998,101.410004,99.510002,99.68,1393900,98.413634
2015-07-01,100.940002,101.400002,99.489998,99.709999,2251700,98.443252
2015-07-02,99.989998,100.089996,99.150002,99.510002,888100,98.245796
2015-07-06,98.540001,99.860001,98.379997,99.690002,781500,98.423509
2015-07-07,99.699997,100.230003,98.330002,100.18,723800,98.907282
2015-07-08,99.18,100.120003,99.07,99.260002,1475800,97.998972
2015-07-09,100.18,100.610001,99.830002,100.150002,1286000,98.877665
2015-07-10,101.550003,102.129997,100.910004,101.779999,1169000,100.486954
2015-07-13,102.57,102.739998,101.760002,102.029999,955300,100.733778
2015-07-14,102.0,102.290001,101.559998,102.059998,611800,100.763395
2015-07-15,102.57,102.690002,101.699997,101.860001,773500,100.565939
2015-07-16,102.800003,102.910004,102.190002,102.790001,663800,101.484125
2015-07-17,102.599998,102.860001,102.150002,102.410004,490100,101.108955
2015-07-20,102.360001,102.709999,101.919998,102.32,650700,101.020094
2015-07-21,102.43,102.970001,101.760002,102.129997,882600,100.832506
2015-07-22,102.25,102.480003,101.709999,101.919998,634700,100.625175
2015-07-23,102.010002,102.07,101.419998,101.57,642600,100.279623
2015-07-24,101.610001,101.959999,101.209999,101.279999,653200,99.993306
2015-07-27,100.970001,101.290001,100.379997,101.029999,656400,99.746482
2015-07-28,101.440002,101.480003,100.639999,101.160004,737500,99.874835
2015-07-29,101.300003,102.129997,101.260002,101.879997,840000,100.585682
2015-07-30,101.459999,102.07,101.059998,101.940002,1016000,100.942161
2015-07-31,102.0,103.379997,100.599998,100.769997,1216700,99.783608
2015-08-03,100.790001,100.900002,98.339996,99.540001,1297400,98.565652
2015-08-04,99.550003,101.110001,99.550003,100.199997,1233700,99.219188
2015-08-05,100.599998,101.779999,100.279999,101.330002,1199100,100.338132
2015-08-06,101.82,102.5,100.68,100.919998,1013600,99.932141
2015-08-07,100.68,101.480003,100.25,101.32,822900,100.328228
2015-08-10,102.220001,103.120003,102.220001,102.769997,864900,101.764031
2015-08-11,101.769997,101.980003,100.489998,101.32,1127000,100.328228
2015-08-12,100.589996,101.489998,99.580002,101.230003,735700,100.239112
2015-08-13,101.0,101.68,100.230003,101.220001,1037800,100.229208
2015-08-14,100.839996,102.190002,100.589996,101.300003,1157700,100.308427
2015-08-17,100.75,102.669998,100.480003,102.559998,1126000,101.556088
2015-08-18,102.43,102.830002,102.019997,102.43,717500,101.427363
2015-08-19,101.919998,102.669998,100.650002,101.040001,956100,100.05097
2015-08-20,100.089996,100.650002,99.209999,99.32,1237900,98.347805
2015-08-21,98.610001,99.400002,96.5,96.529999,1507100,95.585114
2015-08-24,91.830002,95.620003,90.040001,91.730003,2549800,90.832103
2015-08-25,93.879997,93.93,89.269997,89.389999,2751100,88.515004
2015-08-26,91.589996,92.800003,89.889999,92.620003,1696700,91.713391
2015-08-27,93.669998,94.449997,92.620003,94.389999,1468200,93.466062
2015-08-28,94.150002,94.830002,92.970001,93.540001,1476800,92.624383
2015-08-31,92.949997,93.800003,92.150002,93.440002,1432900,92.525364
2015-09-01,91.440002,92.099998,89.699997,90.279999,2148700,89.396292
2015-09-02,91.709999,91.839996,90.110001,91.050003,1298700,90.158759
2015-09-03,91.440002,92.019997,91.099998,91.449997,1410100,90.554837
2015-09-04,90.230003,90.730003,89.589996,90.290001,1359500,89.406196
2015-09-08,91.419998,92.779999,91.400002,92.690002,1342100,91.782705
2015-09-09,93.32,93.699997,91.309998,91.540001,965000,90.64396
2015-09-10,91.199997,91.919998,91.080002,91.68,1986200,90.782589
2015-09-11,91.339996,91.879997,90.419998,91.32,2153900,90.426113
2015-09-14,91.32,91.449997,90.510002,90.800003,1185400,89.911206
2015-09-15,91.190002,92.379997,90.410004,92.089996,1771600,91.188572
2015-09-16,91.970001,92.279999,91.230003,91.980003,1310300,91.079656
2015-09-17,92.239998,93.669998,91.970001,92.160004,1248100,91.257894
2015-09-18,90.489998,91.559998,89.0,89.309998,2550400,88.435785
2015-09-21,90.169998,90.889999,89.510002,90.400002,1521500,89.51512
2015-09-22,89.029999,90.0,89.0,89.529999,1902700,88.653633
2015-09-23,89.620003,89.709999,88.5,89.089996,936400,88.217938
2015-09-24,88.32,89.129997,87.75,88.949997,1378700,88.079309
2015-09-25,89.790001,90.809998,89.559998,90.019997,1086600,89.138835
2015-09-28,89.300003,90.059998,88.040001,88.410004,1404400,87.544601
2015-09-29,88.330002,88.800003,87.580002,88.400002,1241100,87.534697
2015-09-30,89.410004,89.779999,87.830002,88.610001,1960200,87.74264
2015-10-01,88.739998,89.300003,87.790001,88.559998,1455400,87.693127
2015-10-02,87.019997,89.800003,86.379997,89.779999,1583500,88.901186
2015-10-05,90.290001,91.639999,89.919998,91.519997,936700,90.624152
2015-10-06,91.0,91.889999,90.169998,90.290001,981200,89.406196
2015-10-07,90.760002,91.470001,90.220001,91.160004,1037500,90.267683
2015-10-08,90.879997,92.089996,90.43,91.93,793600,91.030142
2015-10-09,91.650002,92.330002,90.919998,91.290001,1043600,90.396408
2015-10-12,91.160004,91.550003,91.010002,91.279999,900000,90.386503
2015-10-13,90.910004,91.230003,90.220001,90.779999,1330200,89.891398
2015-10-14,90.559998,90.800003,89.919998,90.050003,840000,89.168547
2015-10-15,90.839996,91.730003,90.540001,91.25,1257900,90.356798
2015-10-16,91.949997,92.290001,91.059998,91.620003,950500,90.723179
2015-10-19,91.57,91.720001,90.379997,90.629997,1028600,89.742864
2015-10-20,90.099998,91.599998,90.099998,91.559998,1791900,90.663761
2015-10-21,92.07,92.370003,91.230003,91.32,1243100,90.426113
2015-10-22,91.82,93.339996,91.800003,92.410004,1016400,91.505447
2015-10-23,92.900002,93.169998,91.620003,92.489998,1651400,91.584658
2015-10-26,92.669998,92.919998,92.089996,92.720001,802800,91.81241
2015-10-27,91.900002,92.790001,91.559998,92.779999,993300,91.871821
2015-10-28,93.199997,94.82,92.660004,94.790001,998500,93.862148
2015-10-29,94.220001,94.93,93.540001,94.830002,809500,94.199894
2015-10-30,93.0,93.690002,92.050003,93.309998,2369100,92.689989
2015-11-02,93.370003,94.849998,92.919998,94.699997,1235100,94.070753
2015-11-03,94.290001,95.139999,93.769997,94.620003,3179200,93.99129
2015-11-04,94.620003,95.129997,94.330002,94.459999,1516600,93.83235
2015-11-05,94.459999,95.25,94.459999,94.800003,1485400,94.170094
2015-11-06,95.75,95.75,93.410004,93.57,2044000,92.948264
2015-11-09,93.400002,93.660004,92.18,92.43,1209700,91.815839
2015-11-10,92.260002,93.089996,91.75,92.980003,728200,92.362188
2015-11-11,93.25,94.050003,92.709999,93.889999,796200,93.266137
2015-11-12,93.190002,93.730003,92.800003,92.800003,949000,92.183384
2015-11-13,92.839996,93.349998,92.330002,93.099998,1728400,92.481386
2015-11-16,92.769997,94.370003,92.389999,94.370003,878000,93.742951
2015-11-17,94.260002,94.32,93.540001,93.669998,1259800,93.047598
2015-11-18,93.75,95.059998,93.639999,95.010002,1031700,94.378698
2015-11-19,94.860001,95.349998,93.480003,93.82,3081700,93.196603
2015-11-20,93.919998,95.089996,93.440002,94.860001,1213400,94.229693
2015-11-23,94.860001,95.269997,94.459999,94.720001,711900,94.090624
2015-11-24,94.089996,95.169998,93.739998,94.75,930200,94.120424
2015-11-25,94.660004,94.839996,94.169998,94.510002,506500,93.88202
2015-11-27,94.68,94.940002,94.169998,94.650002,414400,94.02109
2015-11-30,94.32,95.110001,94.32,94.739998,1145700,94.110488
2015-12-01,95.040001,95.82,94.779999,95.699997,754900,95.064108
2015-12-02,95.580002,95.669998,94.360001,94.529999,958200,93.901884
2015-12-03,94.529999,94.989998,93.150002,93.68,1295200,93.057534
2015-12-04,94.029999,96.690002,93.75,96.650002,932200,96.0078
2015-12-07,96.190002,96.900002,95.919998,96.739998,1119900,96.097199
2015-12-08,96.019997,96.269997,94.970001,95.099998,1159300,94.468096
2015-12-09,94.43,95.800003,93.989998,94.230003,1025900,93.603882
2015-12-10,94.230003,94.389999,93.510002,93.830002,1049300,93.206538
2015-12-11,92.660004,94.010002,92.300003,93.300003,1775800,92.680061
2015-12-14,93.589996,94.489998,92.199997,94.080002,1301400,93.454877
2015-12-15,94.82,96.949997,94.620003,96.690002,1730600,96.047535
2015-12-16,97.139999,97.790001,95.580002,96.919998,1733700,96.276003
2015-12-17,96.760002,97.410004,93.25,93.269997,2858600,92.650254
2015-12-18,92.650002,93.25,90.809998,90.989998,3309000,90.385405
2015-12-21,91.470001,92.169998,89.940002,90.800003,1224000,90.196673
2015-12-22,90.849998,91.669998,89.199997,91.07,1299700,90.464875
2015-12-23,91.400002,91.779999,90.029999,91.760002,1264400,91.150293
2015-12-24,91.809998,92.529999,91.190002,92.050003,276100,91.438367
2015-12-28,91.739998,92.18,91.230003,92.0,709600,91.388696
2015-12-29,92.699997,93.940002,92.629997,93.839996,806000,93.216466
2015-12-30,93.82,94.160004,93.269997,93.540001,662100,92.918464
2015-12-31,93.110001,93.510002,92.190002,92.209999,856600,91.5973
2016-01-04,90.709999,90.879997,89.720001,90.709999,1469200,90.107267
2016-01-05,90.720001,91.449997,90.360001,91.260002,1558700,90.653615
2016-01-06,90.400002,90.589996,89.279999,89.879997,1442500,89.28278
2016-01-07,88.330002,88.970001,88.150002,88.57,1949300,87.981487
2016-01-08,88.809998,89.089996,86.830002,87.019997,1179600,86.441783
2016-01-11,87.529999,87.699997,85.559998,86.410004,1208200,85.835843
2016-01-12,87.199997,87.290001,85.720001,87.150002,1093300,86.570924
2016-01-13,87.709999,87.889999,85.519997,85.910004,1196400,85.339165
2016-01-14,86.110001,88.089996,85.800003,87.389999,1135500,86.809327
2016-01-15,87.650002,87.650002,85.089996,86.089996,1676500,85.517962
2016-01-19,86.760002,87.080002,85.57,85.980003,1089400,85.4087
2016-01-20,84.580002,85.839996,83.830002,84.940002,1576900,84.37561
2016-01-21,85.230003,85.959999,84.239998,84.620003,894700,84.057736
2016-01-22,85.919998,86.68,85.720001,86.410004,949300,85.835843
2016-01-25,86.190002,86.629997,85.239998,85.739998,1454000,85.170289
2016-01-26,86.190002,86.75,85.650002,86.029999,1112800,85.458363
2016-01-27,86.019997,86.389999,85.25,85.910004,1412300,85.339165
2016-01-28,86.099998,87.989998,85.43,86.089996,947700,85.817639
2016-01-29,86.730003,87.980003,86.300003,87.830002,1882300,87.55214
2016-02-01,87.529999,87.970001,86.989998,87.580002,838800,87.302931
2016-02-02,86.489998,87.010002,85.910004,86.199997,900100,85.927292
2016-02-03,87.059998,88.110001,86.309998,87.739998,1414200,87.46242
2016-02-04,87.449997,89.040001,87.209999,88.949997,1255900,88.668592
