Date,Open_KR,High_KR,Low_KR,Close_KR,Volume_KR,AdjClose_KR
2015-06-05,72.050003,72.080002,70.940002,71.010002,6111600,35.09954
2015-06-08,71.190002,71.269997,70.650002,70.690002,4816600,34.941367
2015-06-09,70.57,71.220001,70.239998,70.699997,5260000,34.946307
2015-06-10,70.739998,71.389999,70.709999,71.290001,5462600,35.237941
2015-06-11,71.739998,72.410004,71.400002,71.779999,4870000,35.480142
2015-06-12,71.449997,71.959999,71.099998,71.650002,3816800,35.415885
2015-06-15,71.089996,72.150002,70.790001,71.739998,6076200,35.46037
2015-06-16,71.669998,72.529999,71.440002,72.349998,6143800,35.761887
2015-06-17,72.599998,73.07,72.410004,72.910004,10727000,36.038692
2015-06-18,74.769997,75.029999,72.970001,73.540001,17429000,36.350093
2015-06-19,73.5,74.470001,73.360001,73.949997,8856200,36.55275
2015-06-22,74.290001,74.599998,73.919998,74.290001,5238000,36.720811
2015-06-23,74.32,74.349998,73.279999,73.449997,7117600,36.305605
2015-06-24,73.540001,73.599998,72.879997,72.940002,6861400,36.05352
2015-06-25,72.989998,74.32,72.459999,72.949997,10389000,36.05846
2015-06-26,73.190002,73.970001,72.940002,73.110001,17716400,36.137548
2015-06-29,72.970001,73.559998,72.459999,72.669998,6720400,35.920059
2015-06-30,73.029999,73.309998,72.489998,72.510002,7073600,35.840975
2015-07-01,73.089996,73.470001,72.639999,73.230003,6849600,36.196864
2015-07-02,73.43,73.699997,72.860001,73.110001,3868200,36.137548
2015-07-06,72.790001,73.809998,72.760002,73.57,5766600,36.364921
2015-07-07,73.900002,75.599998,73.5,75.389999,9252000,37.264529
2015-07-08,75.07,75.610001,74.550003,75.150002,7201400,37.145901
2015-07-09,75.949997,76.25,75.510002,75.57,7666400,37.353501
2015-07-10,76.0,76.82,75.959999,76.339996,4920200,37.734103
2015-07-13,76.959999,77.290001,76.459999,76.949997,5120200,38.03562
2015-07-14,38.41,38.5,38.119999,38.200001,4073500,37.763763
2015-07-15,38.080002,38.619999,38.080002,38.330002,5212100,37.89228
2015-07-16,38.349998,38.689999,38.32,38.59,4231800,38.149309
2015-07-17,38.59,38.77,38.5,38.720001,4424600,38.277825
2015-07-20,38.84,39.34,38.720001,39.169998,5143500,38.722683
2015-07-21,39.209999,39.32,38.75,38.959999,5365400,38.515082
2015-07-22,38.950001,39.299999,38.759998,39.009998,4138700,38.564511
2015-07-23,39.130001,39.279999,38.619999,38.669998,4612100,38.228393
2015-07-24,38.650002,38.919998,38.330002,38.360001,4367600,37.921936
2015-07-27,38.169998,38.41,37.389999,38.200001,5173900,37.763763
2015-07-28,38.509998,38.869999,38.279999,38.720001,4573100,38.277825
2015-07-29,38.779999,39.0,38.650002,38.799999,4499000,38.35691
2015-07-30,38.549999,39.07,38.189999,39.0,4466600,38.554627
2015-07-31,39.110001,39.259998,38.849998,39.240002,5008300,38.791887
2015-08-03,39.23,39.400002,39.02,39.400002,4273800,38.95006
2015-08-04,39.25,39.27,38.25,38.560001,8692200,38.119653
2015-08-05,38.799999,39.169998,38.509998,39.080002,7534800,38.633715
2015-08-06,39.110001,39.150002,38.380001,38.720001,6630000,38.277825
2015-08-07,38.619999,38.66,37.509998,37.82,9152100,37.388102
2015-08-10,38.080002,38.240002,37.389999,37.540001,8510900,37.1113
2015-08-11,37.389999,37.84,37.209999,37.389999,6218300,36.963012
2015-08-12,37.119999,39.43,37.09,37.799999,9703100,37.473563
2015-08-13,37.84,38.220001,37.68,38.209999,6596800,37.880022
2015-08-14,38.02,38.360001,37.970001,38.349998,4164200,38.018813
2015-08-17,38.189999,38.669998,38.029999,38.650002,4261800,38.316225
2015-08-18,38.529999,38.73,38.439999,38.599998,4157100,38.266654
2015-08-19,38.43,38.450001,37.150002,37.360001,8805900,37.037364
2015-08-20,37.169998,37.73,36.639999,36.68,8090600,36.363236
2015-08-21,35.93,36.279999,34.91,34.93,12100000,34.628349
2015-08-24,30.0,34.389999,27.32,33.77,14379900,33.478367
2015-08-25,35.189999,35.189999,33.66,33.66,8657900,33.369316
2015-08-26,34.389999,35.150002,33.779999,35.080002,10216400,34.777055
2015-08-27,35.630001,36.0,34.830002,35.529999,9008700,35.223166
2015-08-28,35.5,35.549999,34.700001,34.939999,7224600,34.638261
2015-08-31,34.869999,35.040001,34.330002,34.5,7900600,34.202062
2015-09-01,33.98,34.080002,33.630001,33.849998,8431100,33.557674
2015-09-02,34.310001,34.950001,34.200001,34.650002,7550600,34.350768
2015-09-03,34.75,35.040001,34.41,34.57,5743000,34.271457
2015-09-04,34.299999,34.360001,33.91,34.07,5895000,33.775775
2015-09-08,34.66,35.07,34.470001,35.049999,8393400,34.747312
2015-09-09,35.349998,35.369999,34.400002,34.400002,7978400,34.102927
2015-09-10,34.43,35.610001,34.310001,35.400002,13536200,35.094291
2015-09-11,37.41,37.75,36.09,37.290001,18439300,36.967969
2015-09-14,37.27,37.720001,37.110001,37.419998,8572100,37.096844
2015-09-15,37.43,37.490002,36.740002,37.16,8286200,36.839091
2015-09-16,37.400002,37.400002,36.950001,37.18,5448600,36.858918
2015-09-17,37.25,37.950001,37.060001,37.5,5021800,37.176155
2015-09-18,37.259998,37.610001,36.599998,36.73,10157300,36.412804
2015-09-21,37.060001,37.130001,36.369999,36.66,6190200,36.343409
2015-09-22,36.369999,36.459999,35.849998,36.41,6105200,36.095568
2015-09-23,36.470001,36.52,35.950001,36.380001,5020500,36.065828
2015-09-24,36.040001,36.310001,35.689999,35.959999,6556800,35.649453
2015-09-25,36.220001,36.740002,35.869999,36.110001,4302100,35.798159
2015-09-28,35.880001,35.990002,35.560001,35.75,6347800,35.441267
2015-09-29,35.75,36.169998,35.290001,35.610001,6487800,35.302477
2015-09-30,35.98,36.25,35.639999,36.07,7100900,35.758504
2015-10-01,36.119999,36.799999,35.689999,36.68,7629200,36.363236
2015-10-02,36.349998,37.16,35.779999,37.139999,5472900,36.819263
2015-10-05,37.220001,38.099998,37.0,38.07,6246500,37.741232
2015-10-06,38.029999,38.09,37.040001,37.130001,5122500,36.809351
2015-10-07,37.349998,37.799999,37.119999,37.509998,3564200,37.186067
2015-10-08,37.490002,38.060001,37.34,38.0,7381300,37.671837
2015-10-09,38.040001,38.349998,37.740002,38.029999,5881700,37.701576
2015-10-12,38.02,38.400002,37.790001,38.200001,5285900,37.87011
2015-10-13,38.16,38.380001,37.34,37.439999,6425000,37.116671
2015-10-14,37.48,37.580002,35.849998,36.330002,14507400,36.01626
2015-10-15,36.639999,37.080002,36.299999,37.07,14991400,36.749868
2015-10-16,37.169998,37.540001,36.889999,37.509998,6128900,37.186067
2015-10-19,37.5,38.049999,37.349998,37.830002,5977800,37.503307
2015-10-20,37.93,37.990002,37.580002,37.720001,9169500,37.394256
2015-10-21,37.849998,38.099998,37.700001,38.080002,6253700,37.751148
2015-10-22,38.259998,38.509998,38.09,38.290001,13418900,37.959333
2015-10-23,38.5,38.509998,37.68,37.82,9870300,37.493391
2015-10-26,37.900002,37.98,37.490002,37.549999,5738800,37.225722
2015-10-27,37.240002,37.34,36.200001,36.990002,8212800,36.670561
2015-10-28,37.169998,37.77,36.810001,37.700001,10635800,37.374428
2015-10-29,37.700001,37.810001,37.529999,37.650002,5910000,37.324861
2015-10-30,37.549999,37.939999,37.369999,37.799999,6503300,37.473563
2015-11-02,37.799999,38.209999,37.549999,38.200001,6024100,37.87011
2015-11-03,37.959999,38.150002,37.669998,37.759998,4939300,37.433908
2015-11-04,37.93,37.990002,36.880001,37.009998,6064500,36.690384
2015-11-05,37.189999,37.200001,36.689999,37.07,7525200,36.749868
2015-11-06,37.049999,37.580002,36.869999,37.57,9655000,37.24555
2015-11-09,37.349998,37.5,36.93,37.200001,6826800,36.878746
2015-11-10,37.150002,37.41,37.029999,37.27,4597700,37.052726
2015-11-11,37.43,37.5,36.82,37.029999,7531700,36.814123
2015-11-12,36.990002,37.240002,36.5,36.509998,23727000,36.297154
2015-11-13,36.450001,36.669998,36.0,36.049999,10345200,35.839837
2015-11-16,36.049999,36.599998,36.02,36.540001,15024100,36.326982
2015-11-17,36.68,37.130001,36.419998,37.02,7165200,36.804183
2015-11-18,37.02,37.57,36.950001,37.540001,7738400,37.321152
2015-11-19,37.549999,37.75,37.07,37.32,4862400,37.102433
2015-11-20,37.450001,37.709999,37.150002,37.310001,6591000,37.092493
2015-11-23,37.290001,37.380001,37.029999,37.25,4246900,37.032842
2015-11-24,37.02,37.32,37.02,37.119999,8125700,36.903599
2015-11-25,37.119999,37.400002,37.110001,37.169998,5036500,36.953306
2015-11-27,37.369999,38.169998,37.240002,38.009998,4311600,37.788409
2015-11-30,38.049999,38.25,37.509998,37.66,10115100,37.440451
2015-12-01,38.009998,38.349998,37.849998,38.200001,10858200,37.977304
2015-12-02,38.240002,38.34,37.900002,38.110001,10442400,37.887829
2015-12-03,38.720001,40.330002,38.360001,39.91,15217500,39.677334
2015-12-04,39.900002,40.580002,39.68,40.549999,9627000,40.313603
2015-12-07,40.880001,41.68,40.84,41.43,11458200,41.188474
2015-12-08,41.279999,41.599998,40.799999,41.41,10734500,41.16859
2015-12-09,41.110001,41.650002,40.709999,41.25,7321600,41.009523
2015-12-10,41.360001,41.599998,41.060001,41.130001,12588700,40.890223
2015-12-11,40.720001,41.450001,40.720001,41.080002,15768000,40.840516
2015-12-14,41.23,41.869999,41.110001,41.860001,7609100,41.615967
2015-12-15,42.09,42.580002,41.919998,42.310001,10409400,42.063345
2015-12-16,42.48,42.560001,41.849998,42.43,9160600,42.182644
2015-12-17,42.369999,42.380001,41.93,41.939999,5612000,41.695499
2015-12-18,41.560001,41.73,40.639999,40.639999,12849200,40.403078
2015-12-21,41.060001,41.240002,40.639999,41.209999,7827700,40.969755
2015-12-22,41.48,42.139999,41.41,42.099998,5900800,41.854566
2015-12-23,42.279999,42.459999,42.029999,42.310001,4511100,42.063345
2015-12-24,42.310001,42.669998,42.27,42.459999,1718700,42.212468
2015-12-28,42.299999,42.599998,42.150002,42.450001,3138900,42.202528
2015-12-29,42.59,42.669998,42.330002,42.639999,4015100,42.391419
2015-12-30,42.689999,42.75,42.259998,42.310001,3417900,42.063345
2015-12-31,42.09,42.139999,41.669998,41.830002,4331900,41.586143
2016-01-04,41.16,41.27,40.669998,41.16,9929600,40.920047
2016-01-05,41.290001,42.110001,41.259998,42.09,7329300,41.844626
2016-01-06,41.759998,42.419998,41.75,42.049999,9802700,41.804858
2016-01-07,41.330002,41.52,40.880001,41.07,9434000,40.830572
2016-01-08,41.259998,41.349998,40.650002,40.799999,8231100,40.562145
2016-01-11,41.080002,41.439999,40.860001,41.279999,6406500,41.039347
2016-01-12,41.529999,41.689999,40.669998,41.240002,7319600,40.999583
2016-01-13,41.209999,41.34,39.139999,39.200001,13204000,38.971475
2016-01-14,39.580002,39.619999,38.240002,39.029999,10458400,38.802464
2016-01-15,38.169998,38.810001,38.060001,38.490002,9029200,38.265615
2016-01-19,38.650002,38.830002,37.790001,38.189999,6815600,37.96736
2016-01-20,37.68,38.080002,36.439999,37.849998,11294500,37.629342
2016-01-21,37.869999,37.869999,36.919998,37.150002,9592700,36.933426
2016-01-22,37.549999,37.889999,36.830002,37.119999,13226200,36.903599
2016-01-25,37.259998,37.349998,36.580002,36.669998,10866600,36.456221
2016-01-26,36.66,36.970001,36.5,36.779999,7348400,36.565581
2016-01-27,36.889999,37.889999,36.810001,37.459999,10231400,37.241617
2016-01-28,37.540001,37.98,37.27,37.82,8502500,37.599518
2016-01-29,38.0,38.84,37.889999,38.810001,8222900,38.583749
2016-02-01,38.740002,40.259998,38.610001,40.110001,10922300,39.876169
2016-02-02,39.75,40.23,39.52,40.150002,8112000,39.915937
2016-02-03,40.290001,40.470001,39.560001,40.18,8518800,39.945761
2016-02-04,39.720001,39.889999,38.849998,38.959999,7303300,38.732872
2016-02-05,39.0,39.139999,37.470001,37.630001,9774100,37.410628
2016-02-08,37.080002,37.150002,35.419998,36.82,15707000,36.605348
2016-02-09,36.259998,37.099998,36.259998,36.73,11550700,36.515873
2016-02-10,36.740002,37.759998,36.66,36.849998,9110700,36.740201
2016-02-11,36.419998,36.990002,35.779999,36.43,9589800,36.321454
2016-02-12,37.139999,38.34,36.91,38.330002,7527300,38.215795
