Date,Open_DOW,High_DOW,Low_DOW,Close_DOW,Volume_DOW,AdjClose_DOW
2015-06-05,52.650002,52.82,51.939999,52.07,8140000,50.243644
2015-06-08,52.099998,52.099998,51.32,51.400002,7461300,49.597146
2015-06-09,51.560001,51.869999,51.34,51.52,4724900,49.712936
2015-06-10,51.900002,52.279999,51.860001,51.990002,9566700,50.166452
2015-06-11,52.07,52.439999,51.900002,52.16,5082100,50.330487
2015-06-12,52.080002,52.139999,51.610001,51.84,4533800,50.021712
2015-06-15,51.549999,51.970001,51.18,51.860001,5892300,50.041011
2015-06-16,52.0,52.650002,51.639999,52.59,9464900,50.745405
2015-06-17,52.82,53.529999,52.709999,53.349998,13688500,51.478747
2015-06-18,53.369999,53.77,53.240002,53.59,12859500,51.71033
2015-06-19,53.599998,53.740002,53.27,53.279999,8983700,51.411202
2015-06-22,53.59,53.77,53.27,53.439999,6454900,51.56559
2015-06-23,53.41,53.689999,53.32,53.57,8564300,51.691031
2015-06-24,53.400002,53.459999,52.790001,53.099998,5795600,51.237516
2015-06-25,53.189999,53.389999,52.93,53.220001,5450500,51.353309
2015-06-26,52.740002,52.849998,52.470001,52.669998,6396000,51.226868
2015-06-29,51.849998,52.080002,50.700001,50.790001,9687400,49.398381
2015-06-30,51.330002,51.630001,50.919998,51.169998,6907200,49.767967
2015-07-01,51.66,51.939999,51.259998,51.389999,5888900,49.98194
2015-07-02,51.610001,51.650002,50.919998,51.380001,5333600,49.972216
2015-07-06,50.77,51.25,50.389999,50.57,7404900,49.184408
2015-07-07,50.540001,51.07,49.060001,50.84,13835100,49.447011
2015-07-08,50.18,50.419998,49.32,49.52,7872900,48.163178
2015-07-09,50.459999,50.740002,50.119999,50.259998,8290700,48.8829
2015-07-10,51.040001,51.529999,50.459999,51.41,8610100,50.001393
2015-07-13,51.700001,52.130001,51.459999,51.939999,5993200,50.51687
2015-07-14,51.98,53.200001,51.799999,53.040001,7087900,51.586732
2015-07-15,52.82,52.919998,52.029999,52.099998,6805100,50.672486
2015-07-16,52.34,52.599998,52.029999,52.23,5298600,50.798925
2015-07-17,52.029999,52.029999,50.869999,51.169998,8595400,49.767967
2015-07-20,51.110001,51.290001,50.32,50.52,7067600,49.135779
2015-07-21,50.509998,51.09,49.759998,50.099998,8283600,48.727285
2015-07-22,50.09,50.18,49.509998,50.0,9836100,48.630026
2015-07-23,49.459999,50.060001,47.099998,47.759998,20221000,46.451399
2015-07-24,47.990002,48.07,45.32,45.970001,16283300,44.710447
2015-07-27,45.509998,46.380001,44.939999,45.630001,12812800,44.379763
2015-07-28,45.84,47.0,45.259998,46.650002,9990500,45.371816
2015-07-29,46.93,47.540001,46.68,47.43,7933900,46.130443
2015-07-30,47.560001,47.59,47.169998,47.419998,9108800,46.120715
2015-07-31,47.689999,47.799999,46.939999,47.060001,8471500,45.770582
2015-08-03,46.810001,46.869999,46.02,46.459999,7436000,45.187019
2015-08-04,46.610001,47.25,46.439999,46.689999,6749700,45.410717
2015-08-05,47.279999,47.580002,46.849998,47.130001,5034700,45.838664
2015-08-06,47.040001,47.349998,46.529999,46.599998,6650800,45.323183
2015-08-07,46.299999,46.630001,45.369999,45.5,6686900,44.253324
2015-08-10,45.98,46.740002,45.610001,46.639999,6858800,45.362088
2015-08-11,45.740002,45.779999,45.040001,45.290001,9515800,44.049078
2015-08-12,45.09,45.93,44.869999,45.700001,9627000,44.447844
2015-08-13,45.610001,45.639999,44.84,44.970001,7924200,43.737847
2015-08-14,45.110001,45.169998,44.59,44.900002,5994100,43.669765
2015-08-17,44.669998,45.540001,44.279999,45.470001,6570300,44.224147
2015-08-18,45.189999,45.360001,44.459999,44.75,8188500,43.523873
2015-08-19,44.419998,44.52,43.689999,44.130001,7135200,42.920862
