Date,Open_LNC,High_LNC,Low_LNC,Close_LNC,Volume_LNC,AdjClose_LNC
2015-06-05,59.209999,59.689999,58.459999,59.43,2713500,58.289711
2015-06-08,59.310001,60.040001,59.029999,59.32,1916700,58.181821
2015-06-09,59.400002,60.220001,59.240002,59.790001,1786100,58.642805
2015-06-10,60.220001,61.389999,60.07,61.150002,2832900,59.976711
2015-06-11,61.139999,62.080002,60.970001,61.59,2504600,60.408267
2015-06-12,61.330002,61.66,60.900002,61.220001,1337400,60.045367
2015-06-15,60.560001,61.049999,60.209999,60.630001,1201000,59.466688
2015-06-16,60.470001,61.130001,60.349998,60.810001,1138100,59.643234
2015-06-17,61.099998,61.369999,60.169998,60.27,1816100,59.113594
2015-06-18,60.540001,60.860001,60.080002,60.529999,2154900,59.368604
2015-06-19,60.060001,60.650002,59.830002,59.959999,2035000,58.809541
2015-06-22,60.669998,61.060001,60.529999,61.009998,1618700,59.839394
2015-06-23,61.349998,61.799999,61.16,61.650002,1659200,60.467117
2015-06-24,61.369999,61.740002,60.84,60.869999,1246300,59.702081
2015-06-25,61.18,61.209999,60.360001,60.360001,683800,59.201868
2015-06-26,60.799999,61.009998,60.5,60.919998,1393100,59.751121
2015-06-29,59.310001,60.130001,58.619999,58.650002,1835000,57.524679
2015-06-30,59.580002,59.970001,58.689999,59.220001,2008900,58.083742
2015-07-01,60.380001,61.200001,59.580002,59.73,1483700,58.583954
2015-07-02,59.610001,59.860001,58.82,59.139999,948500,58.005275
2015-07-06,58.380001,59.02,58.110001,58.540001,1125800,57.416788
2015-07-07,58.52,58.73,56.98,58.41,2297500,57.289282
2015-07-08,57.169998,57.59,55.990002,56.23,2064600,55.340597
2015-07-09,57.41,57.669998,56.639999,57.0,1988400,56.098418
2015-07-10,57.720001,58.540001,57.720001,58.43,1394200,57.5058
2015-07-13,58.740002,59.389999,58.740002,58.93,1849600,57.997891
2015-07-14,58.619999,58.900002,58.5,58.540001,2261600,57.614061
2015-07-15,58.040001,58.779999,58.0,58.52,2745600,57.594376
2015-07-16,59.080002,59.509998,58.889999,59.099998,1539700,58.165201
2015-07-17,58.880001,59.119999,58.32,58.400002,1810700,57.476276
2015-07-20,58.509998,58.860001,58.130001,58.200001,1907500,57.279438
