Date,Open_APH,High_APH,Low_APH,Close_APH,Volume_APH,AdjClose_APH
2015-06-05,56.790001,57.27,56.57,57.139999,525400,56.569543
2015-06-08,57.09,57.220001,56.709999,56.860001,713200,56.415755
2015-06-09,56.59,56.959999,56.52,56.689999,560200,56.247081
2015-06-10,56.869999,57.48,56.82,57.389999,451500,56.941613
2015-06-11,57.5,57.630001,57.27,57.5,531400,57.050754
2015-06-12,57.150002,57.790001,56.939999,57.689999,1024700,57.239268
2015-06-15,57.27,57.27,56.66,56.990002,707500,56.54474
2015-06-16,57.0,57.459999,56.84,57.150002,686500,56.70349
2015-06-17,57.330002,57.509998,56.700001,57.029999,673500,56.584425
2015-06-18,57.220001,58.25,57.119999,58.200001,794200,57.745286
2015-06-19,57.919998,58.09,57.669998,57.689999,963800,57.239268
2015-06-22,58.09,58.169998,57.700001,57.93,481000,57.477395
2015-06-23,57.91,57.959999,57.5,57.73,665000,57.278956
2015-06-24,57.740002,57.849998,56.720001,56.790001,935800,56.346302
2015-06-25,56.900002,56.990002,56.110001,56.18,680400,55.741067
2015-06-26,56.240002,56.48,55.580002,55.68,1414700,55.244974
2015-06-29,55.630001,58.169998,55.5,56.84,5048300,56.395911
2015-06-30,57.48,58.639999,57.48,57.970001,2770500,57.517083
2015-07-01,58.5,58.509998,57.220001,57.450001,1591000,57.001145
2015-07-02,57.400002,57.759998,56.759998,56.990002,1440000,56.54474
2015-07-06,56.41,56.900002,55.790001,56.02,1765400,55.582317
2015-07-07,56.009998,56.25,55.119999,55.889999,1866200,55.453332
2015-07-08,55.330002,55.450001,54.189999,54.200001,1323200,53.776537
2015-07-09,55.060001,55.09,54.18,54.290001,915400,53.865834
2015-07-10,55.0,55.110001,54.23,54.509998,1070700,54.084113
2015-07-13,54.919998,55.41,54.720001,55.380001,981400,54.947318
2015-07-14,55.279999,55.470001,55.07,55.150002,850400,54.719116
2015-07-15,55.220001,55.560001,54.919998,55.0,1458300,54.570286
2015-07-16,55.360001,55.540001,54.84,54.950001,910300,54.520678
2015-07-17,55.02,55.080002,53.98,54.32,1687400,53.895599
2015-07-20,54.459999,54.549999,54.080002,54.349998,1299700,53.925363
2015-07-21,54.389999,54.77,53.990002,54.09,1761200,53.667396
2015-07-22,55.150002,56.880001,54.75,56.779999,2663200,56.336378
2015-07-23,56.990002,57.400002,56.25,56.259998,1082100,55.82044
2015-07-24,56.209999,56.639999,55.720001,55.860001,962800,55.423568
2015-07-27,55.68,55.869999,54.59,54.75,1307100,54.32224
2015-07-28,54.93,56.639999,54.82,56.549999,1706900,56.108175
2015-07-29,56.48,57.150002,55.91,57.049999,1439700,56.604269
2015-07-30,57.060001,57.200001,56.689999,56.91,760400,56.465363
2015-07-31,57.099998,57.41,56.299999,56.41,643700,55.96927
2015-08-03,56.209999,56.450001,55.529999,55.939999,660400,55.502941
2015-08-04,55.91,56.07,55.459999,55.599998,564400,55.165597
2015-08-05,55.990002,56.419998,55.77,56.09,605300,55.65177
2015-08-06,55.98,56.5,55.66,55.740002,497300,55.304506
2015-08-07,55.599998,55.77,55.09,55.560001,556300,55.125912
2015-08-10,56.619999,56.990002,55.959999,56.630001,797500,56.187552
2015-08-11,56.07,56.25,55.66,55.919998,932300,55.483097
2015-08-12,55.529999,55.880001,54.77,55.75,782200,55.314427
2015-08-13,55.799999,56.130001,55.439999,55.450001,692100,55.016771
2015-08-14,55.369999,55.610001,55.110001,55.57,540100,55.135833
2015-08-17,55.220001,55.790001,55.07,55.790001,684400,55.354115
2015-08-18,55.790001,55.869999,55.110001,55.200001,545800,54.768724
2015-08-19,54.84,55.360001,54.360001,55.23,943300,54.798489
2015-08-20,54.700001,55.07,54.119999,54.119999,1135100,53.697161
2015-08-21,53.68,53.77,51.810001,51.84,1714800,51.434975
2015-08-24,48.759998,54.139999,47.439999,49.060001,2208600,48.676697
2015-08-25,50.779999,51.09,49.560001,49.59,3373500,49.202555
2015-08-26,50.959999,51.119999,48.91,50.59,1823300,50.194742
2015-08-27,51.200001,53.23,51.110001,53.220001,2675800,52.804195
2015-08-28,53.029999,53.650002,52.509998,52.880001,1550000,52.466851
2015-08-31,52.560001,53.130001,52.240002,52.360001,1079600,51.950913
2015-09-01,51.099998,51.400002,50.130001,50.380001,2216500,49.986383
2015-09-02,51.060001,51.939999,50.540001,51.939999,1669000,51.534193
2015-09-03,51.98,52.740002,51.790001,51.98,1345300,51.573881
2015-09-04,51.259998,51.369999,50.41,50.75,1320400,50.489477
2015-09-08,51.610001,52.009998,51.049999,51.610001,1956000,51.345063
2015-09-09,52.169998,52.34,50.48,50.610001,1845300,50.350197
2015-09-10,50.310001,51.73,50.119999,51.400002,1697900,51.136142
2015-09-11,51.0,51.560001,50.939999,51.549999,1718900,51.28537
2015-09-14,51.59,51.790001,51.16,51.509998,1355500,51.245574
2015-09-15,51.889999,52.48,51.610001,52.279999,1201900,52.011622
2015-09-16,52.139999,52.759998,51.990002,52.709999,1287400,52.439415
2015-09-17,52.790001,53.740002,52.689999,52.849998,1572400,52.578696
2015-09-18,52.099998,52.599998,51.82,51.939999,2115800,51.673367
2015-09-21,52.080002,52.509998,51.57,52.009998,899900,51.743008
2015-09-22,51.139999,51.41,50.48,50.689999,1028000,50.429784
2015-09-23,50.619999,50.939999,50.18,50.48,722500,50.220863
2015-09-24,49.98,50.220001,49.299999,50.060001,1356800,49.803021
2015-09-25,50.549999,51.060001,50.34,50.619999,960900,50.360144
2015-09-28,50.200001,50.380001,49.259998,49.470001,1283300,49.216049
2015-09-29,49.5,49.959999,49.34,49.720001,973700,49.464766
2015-09-30,50.549999,51.060001,50.099998,50.959999,1564600,50.698398
2015-10-01,50.860001,51.02,49.48,50.029999,1735900,49.773172
2015-10-02,49.389999,50.509998,49.150002,50.509998,1981800,50.250708
2015-10-05,50.919998,51.860001,50.709999,51.779999,948500,51.514189
2015-10-06,51.860001,52.0,51.09,51.240002,972800,50.976964
2015-10-07,51.509998,52.25,51.189999,51.66,1392700,51.394806
2015-10-08,51.57,52.150002,51.25,52.110001,962800,51.842497
2015-10-09,52.080002,52.400002,51.759998,51.93,684100,51.66342
2015-10-12,51.869999,52.09,51.52,52.029999,739100,51.762905
2015-10-13,51.66,52.119999,51.610001,51.689999,608900,51.424651
2015-10-14,51.700001,52.299999,51.490002,51.900002,1037900,51.633575
2015-10-15,52.27,52.990002,51.91,52.82,1208000,52.548851
2015-10-16,53.0,53.470001,52.830002,53.310001,1487800,53.036337
2015-10-19,53.119999,53.240002,52.759998,53.080002,1178700,52.807518
2015-10-20,53.0,53.490002,52.880001,53.41,1338200,53.135822
2015-10-21,50.0,51.5,49.009998,50.43,4713600,50.17112
2015-10-22,50.57,52.75,50.5,52.080002,3045900,51.812652
2015-10-23,52.369999,53.529999,52.139999,53.529999,2615000,53.255205
2015-10-26,53.299999,53.849998,53.25,53.830002,1518800,53.553668
2015-10-27,53.610001,54.0,53.580002,53.990002,1600900,53.712847
2015-10-28,53.889999,54.43,53.509998,54.43,1936400,54.150587
2015-10-29,54.290001,54.68,53.990002,54.400002,1221100,54.120742
2015-10-30,54.52,54.720001,54.16,54.220001,1101000,53.941666
2015-11-02,54.25,55.130001,54.25,55.07,1172900,54.787301
2015-11-03,54.91,55.240002,54.68,54.880001,1604800,54.598277
2015-11-04,54.959999,55.369999,54.709999,54.93,969700,54.64802
2015-11-05,54.84,55.189999,54.369999,54.700001,1042600,54.419201
2015-11-06,54.490002,55.25,54.450001,55.169998,1334100,54.886786
2015-11-09,54.889999,55.119999,54.349998,54.900002,1630600,54.618175
2015-11-10,54.610001,54.610001,54.0,54.439999,1027500,54.160534
2015-11-11,54.66,55.080002,54.43,54.73,725800,54.449046
2015-11-12,54.23,54.509998,53.91,53.91,762000,53.633256
2015-11-13,53.669998,54.02,52.970001,53.0,1080700,52.727927
2015-11-16,53.759998,54.650002,53.400002,54.529999,1115600,54.250072
2015-11-17,54.540001,54.599998,53.52,53.869999,1307000,53.59346
2015-11-18,54.029999,54.860001,53.68,54.799999,994200,54.518686
2015-11-19,54.950001,54.990002,54.529999,54.580002,1003600,54.299818
2015-11-20,54.82,54.98,54.360001,54.73,1077200,54.449046
2015-11-23,54.860001,55.450001,54.73,55.380001,1119800,55.095711
2015-11-24,55.09,55.23,54.459999,54.689999,1514100,54.40925
2015-11-25,54.669998,54.950001,54.610001,54.759998,604700,54.478891
2015-11-27,54.75,55.07,54.619999,54.959999,292700,54.677865
2015-11-30,55.189999,55.27,54.75,55.049999,953200,54.767403
2015-12-01,55.240002,55.68,55.189999,55.490002,955900,55.205147
2015-12-02,55.540001,55.68,54.52,54.59,864300,54.309765
2015-12-03,54.73,54.75,53.349998,53.619999,1036000,53.344743
2015-12-04,53.889999,54.84,53.68,54.790001,945000,54.508739
2015-12-07,54.599998,54.93,54.389999,54.709999,656800,54.429148
2015-12-08,54.169998,54.77,53.98,54.330002,957800,54.051101
2015-12-09,53.990002,54.549999,53.34,53.889999,1384500,53.613358
2015-12-10,53.779999,54.060001,53.34,53.560001,1296300,53.285054
2015-12-11,53.009998,53.189999,52.470001,52.610001,905500,52.477099
2015-12-14,52.580002,53.049999,52.130001,52.830002,974000,52.696545
2015-12-15,53.169998,53.259998,52.139999,52.43,1539500,52.297554
2015-12-16,52.700001,53.07,52.040001,52.869999,1321000,52.736441
2015-12-17,52.880001,53.5,52.709999,52.73,1337000,52.596795
2015-12-18,52.349998,52.459999,51.619999,51.639999,2203300,51.509548
2015-12-21,52.130001,52.619999,51.599998,52.099998,876000,51.968385
2015-12-22,52.43,53.09,52.220001,53.029999,945900,52.896036
2015-12-23,53.290001,53.709999,53.060001,53.540001,700900,53.40475
2015-12-24,53.509998,53.639999,53.220001,53.419998,259500,53.28505
2015-12-28,53.27,53.540001,52.77,53.169998,521500,53.035682
2015-12-29,53.580002,53.689999,53.060001,53.450001,517600,53.314977
2015-12-30,53.389999,53.540001,52.919998,52.93,488700,52.79629
