Date,Open_COG,High_COG,Low_COG,Close_COG,Volume_COG,AdjClose_COG
2015-06-05,33.849998,34.369999,33.799999,33.849998,7292200,33.730606
2015-06-08,33.84,34.009998,33.540001,33.810001,3279000,33.69075
2015-06-09,34.490002,34.560001,33.880001,33.889999,4201300,33.770466
2015-06-10,34.259998,34.299999,33.470001,33.950001,5109600,33.830256
2015-06-11,34.049999,34.200001,33.82,33.970001,3646700,33.850185
2015-06-12,33.759998,33.900002,33.669998,33.799999,4498700,33.680783
2015-06-15,33.650002,34.07,33.549999,33.900002,2376400,33.780433
2015-06-16,33.880001,34.16,33.740002,34.09,2783200,33.969761
2015-06-17,34.349998,34.48,33.790001,34.110001,2992000,33.989691
2015-06-18,34.220001,34.470001,33.459999,33.580002,6224100,33.461562
2015-06-19,33.389999,33.610001,33.080002,33.110001,6293600,32.993218
2015-06-22,33.240002,33.360001,32.849998,33.209999,4675800,33.092864
2015-06-23,33.130001,33.23,32.560001,32.619999,6428600,32.504945
2015-06-24,32.599998,33.029999,32.25,32.32,4798700,32.206004
2015-06-25,32.34,32.349998,31.74,31.91,4731500,31.79745
2015-06-26,31.799999,32.110001,31.75,31.98,4370800,31.867203
2015-06-29,31.67,31.99,31.459999,31.469999,3323000,31.359001
2015-06-30,31.639999,31.76,31.27,31.540001,5692700,31.428756
2015-07-01,31.51,31.68,30.77,31.0,4527200,30.89066
2015-07-02,31.24,31.41,30.98,31.030001,2823300,30.920555
2015-07-06,30.389999,30.889999,30.370001,30.6,3970700,30.492071
2015-07-07,30.370001,30.610001,30.0,30.51,3876900,30.402388
2015-07-08,30.34,30.459999,29.52,29.59,4177300,29.485633
2015-07-09,30.08,30.110001,29.58,29.58,3975000,29.475668
2015-07-10,29.799999,29.969999,29.299999,29.299999,3721000,29.196655
2015-07-13,29.49,29.799999,29.17,29.73,3987400,29.625139
2015-07-14,30.379999,30.379999,29.690001,29.9,4199900,29.794539
2015-07-15,29.700001,29.940001,29.27,29.41,4135100,29.306268
2015-07-16,29.549999,29.809999,29.389999,29.51,3262800,29.405915
2015-07-17,29.43,29.65,28.98,29.01,4237500,28.907679
2015-07-20,28.75,29.01,28.42,28.690001,5173500,28.588808
2015-07-21,28.9,29.139999,28.33,28.440001,6854300,28.33969
2015-07-22,28.27,28.450001,27.74,27.91,6632900,27.811558
2015-07-23,27.870001,28.120001,26.68,27.6,10888600,27.502652
2015-07-24,25.51,27.24,25.5,26.5,10313200,26.406532
2015-07-27,25.889999,27.23,25.76,26.440001,11266900,26.346744
2015-07-28,26.469999,27.33,26.07,26.799999,9116200,26.705473
2015-07-29,26.57,27.23,26.219999,26.4,8927000,26.306884
2015-07-30,26.370001,26.620001,25.9,26.02,5292200,25.928225
2015-07-31,25.870001,26.6,25.790001,26.16,6051200,26.067731
