Date,Open_MSFT,High_MSFT,Low_MSFT,Close_MSFT,Volume_MSFT,AdjClose_MSFT
2015-06-05,46.310001,46.52,45.84,46.139999,25438100,44.892269
2015-06-08,46.299999,46.43,45.669998,45.73,22121600,44.493357
2015-06-09,45.759998,45.939999,45.459999,45.650002,24406100,44.415522
2015-06-10,45.790001,46.830002,45.689999,46.610001,28417400,45.34956
2015-06-11,46.66,46.919998,46.130001,46.439999,27347800,45.184156
2015-06-12,46.220001,46.470001,45.900002,45.970001,23931000,44.726868
2015-06-15,45.450001,45.650002,45.02,45.48,33254500,44.250117
2015-06-16,45.349998,46.240002,45.299999,45.830002,27070300,44.590655
2015-06-17,45.73,46.07,45.360001,45.970001,28704100,44.726868
2015-06-18,46.220001,46.799999,46.169998,46.720001,32658300,45.456586
2015-06-19,46.790001,46.830002,45.990002,46.099998,63837000,44.85335
2015-06-22,46.330002,46.720001,46.16,46.23,20318100,44.979835
2015-06-23,46.130001,46.279999,45.619999,45.91,25896500,44.668489
2015-06-24,45.669998,46.25,45.549999,45.639999,34890900,44.40579
2015-06-25,46.029999,46.060001,45.5,45.650002,20616000,44.415522
2015-06-26,45.650002,46.279999,45.029999,45.259998,49835300,44.036065
2015-06-29,45.040001,45.23,44.360001,44.369999,34081700,43.170133
2015-06-30,44.709999,44.720001,43.939999,44.150002,35945400,42.956085
2015-07-01,44.459999,45.23,44.099998,44.450001,28343900,43.247972
2015-07-02,44.48,44.75,44.060001,44.400002,21752000,43.199325
2015-07-06,43.959999,44.48,43.950001,44.389999,23034000,43.189593
2015-07-07,44.34,44.490002,43.32,44.299999,36435800,43.102027
2015-07-08,44.439999,44.900002,44.029999,44.240002,39785900,43.043652
2015-07-09,44.75,45.220001,44.5,44.52,32424700,43.316079
2015-07-10,45.009998,45.139999,44.57,44.610001,25465800,43.403645
2015-07-13,44.98,45.619999,44.950001,45.540001,28178300,44.308496
2015-07-14,45.450001,45.959999,45.310001,45.619999,22880300,44.386331
2015-07-15,45.68,45.889999,45.43,45.759998,26629600,44.522544
2015-07-16,46.009998,46.689999,45.970001,46.66,26271700,45.398208
2015-07-17,46.549999,46.779999,46.259998,46.619999,29467100,45.359288
2015-07-20,46.650002,47.130001,46.439999,46.919998,30631900,45.651175
2015-07-21,46.779999,47.330002,46.48,47.279999,42781900,46.00144
2015-07-22,45.439999,46.93,45.200001,45.540001,59152400,44.308496
2015-07-23,45.27,46.23,45.099998,46.110001,33934000,44.863082
2015-07-24,45.91,46.32,45.799999,45.939999,32333200,44.697677
2015-07-27,45.939999,46.009998,45.25,45.349998,39701400,44.123632
2015-07-28,45.580002,45.639999,44.790001,45.34,34328900,44.113904
2015-07-29,45.400002,46.779999,45.259998,46.290001,40945900,45.038214
2015-07-30,46.259998,47.400002,45.93,46.880001,39777900,45.612259
